fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-08-28,"129,10","124,20","129,40","123,00",,"3,95%"
2020-08-27,"124,20","124,00","124,50","122,50","418,01K","0,00%"
2020-08-26,"124,20","122,00","124,80","121,30","133,88K","1,39%"
2020-08-25,"122,50","122,90","124,40","122,50","139,44K","0,41%"
2020-08-24,"122,00","119,40","122,60","119,40","91,95K","2,87%"
2020-08-21,"118,60","118,20","118,80","116,20","179,98K","1,45%"
2020-08-20,"116,90","116,50","117,80","115,90","96,91K","-0,93%"
2020-08-19,"118,00","117,40","118,40","116,50","96,10K","0,08%"
2020-08-18,"117,90","115,30","119,70","114,90","311,10K","2,25%"
2020-08-17,"115,30","119,10","120,10","114,90","272,65K","-3,92%"
2020-08-14,"120,00","121,20","121,20","117,60","140,62K","-0,99%"
2020-08-13,"121,20","122,00","122,90","121,20","183,27K","-1,30%"
2020-08-12,"122,80","122,70","123,30","122,00","116,91K","-0,65%"
2020-08-11,"123,60","118,70","123,60","118,70","582,26K","4,83%"
2020-08-10,"117,90","116,80","118,50","115,90","72,08K","1,64%"
2020-08-07,"116,00","117,70","117,90","115,40","129,88K","-2,11%"
2020-08-06,"118,50","117,80","118,70","116,10","336,33K","0,34%"
2020-08-05,"118,10","116,70","119,90","116,20","184,90K","2,07%"
2020-08-04,"115,70","113,20","116,70","113,20","534,39K","2,48%"
2020-08-03,"112,90","110,70","112,90","108,50","284,21K","2,36%"
