fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2015-02-12,"70,00","69,75","73,70","69,20","3,98M","0,00%","1.044.720,44","-1,07","23,78","1,15"
2015-02-13,"74,00","70,50","74,00","69,21","1,54M","5,71%","1.044.720,44","-1,07","23,78","1,15"
2015-02-16,"72,50","72,00","73,50","70,44","626,25K","-2,03%","1.044.720,44","-1,07","23,78","1,15"
2015-02-17,"74,90","73,07","75,27","72,20","1,36M","3,31%","1.044.720,44","-1,07","23,78","1,15"
2015-02-18,"76,87","75,40","77,50","75,05","984,99K","2,63%","1.044.720,44","-1,07","23,78","1,15"
2015-02-19,"77,15","76,54","77,15","75,08","667,34K","0,36%","1.044.720,44","-1,07","23,78","1,15"
2015-02-20,"78,00","76,50","78,00","76,19","375,04K","1,10%","1.044.720,44","-1,07","23,78","1,15"
2015-02-23,"77,77","77,78","79,45","77,77","465,58K","-0,29%","1.044.720,44","-1,07","23,78","1,15"
2015-02-24,"77,50","78,50","78,61","75,60","701,99K","-0,35%","1.044.720,44","-1,07","23,78","1,15"
2015-02-25,"78,13","78,11","78,28","76,50","863,77K","0,81%","1.044.720,44","-1,07","23,78","1,15"
2015-02-26,"80,64","77,26","80,75","76,14","660,65K","3,21%","1.044.720,44","-1,07","23,78","1,15"
2015-02-27,"83,06","80,90","83,68","80,64","5,84M","3,00%","1.044.720,44","-1,07","23,78","1,15"
2015-03-02,"82,50","83,00","83,50","82,24","525,40K","-0,67%","1.050.632,43","-0,66","23,78","1,15"
2015-03-03,"82,00","82,65","82,90","81,51","667,05K","-0,61%","1.050.632,43","-0,66","23,78","1,15"
2015-03-04,"83,48","82,57","83,60","81,62","256,05K","1,80%","1.050.632,43","-0,66","23,78","1,15"
2015-03-05,"84,61","83,89","85,98","82,88","628,39K","1,35%","1.050.632,43","-0,66","23,78","1,15"
2015-03-06,"84,90","84,80","85,10","83,50","491,78K","0,34%","1.050.632,43","-0,66","23,78","1,15"
2015-03-09,"85,05","84,70","85,10","83,70","311,25K","0,18%","1.050.632,43","-0,66","23,78","1,15"
2015-03-10,"83,00","84,56","85,00","82,15","635,91K","-2,41%","1.050.632,43","-0,66","23,78","1,15"
2015-03-11,"80,44","82,05","82,61","79,10","1,22M","-3,08%","1.050.632,43","-0,66","23,78","1,15"
2015-03-12,"81,30","80,50","81,66","78,61","1,01M","1,07%","1.050.632,43","-0,66","23,78","1,15"
2015-03-13,"81,50","81,85","83,00","81,15","313,32K","0,25%","1.050.632,43","-0,66","23,78","1,15"
2015-03-16,"80,50","82,12","82,12","80,20","254,16K","-1,23%","1.050.632,43","-0,66","23,78","1,15"
2015-03-17,"80,00","80,31","80,89","79,50","313,01K","-0,62%","1.050.632,43","-0,66","23,78","1,15"
2015-03-18,"79,94","79,65","80,05","79,00","427,70K","-0,07%","1.050.632,43","-0,66","23,78","1,15"
2015-03-19,"79,10","79,95","80,00","78,51","315,77K","-1,05%","1.050.632,43","-0,66","23,78","1,15"
2015-03-20,"80,25","79,61","80,95","79,26","718,83K","1,45%","1.050.632,43","-0,66","23,78","1,15"
2015-03-23,"80,80","80,50","82,00","80,30","89,02K","0,69%","1.050.632,43","-0,66","23,78","1,15"
2015-03-24,"81,95","80,98","82,95","80,26","396,55K","1,42%","1.050.632,43","-0,66","23,78","1,15"
2015-03-25,"80,35","81,68","82,68","80,35","836,23K","-1,95%","1.050.632,43","-0,66","23,78","1,15"
2015-03-26,"80,66","80,19","80,98","79,65","507,31K","0,39%","1.050.632,43","-0,66","23,78","1,15"
2015-03-27,"84,00","81,60","84,50","80,70","814,34K","4,14%","1.050.632,43","-0,66","23,78","1,15"
2015-03-30,"89,50","84,25","89,70","84,25","633,96K","6,55%","1.050.632,43","-0,66","23,78","1,15"
2015-03-31,"93,51","89,50","93,88","89,41","815,11K","4,48%","1.050.632,43","-0,66","23,78","1,15"
2015-04-01,"97,49","93,50","98,30","92,51","668,17K","4,26%","1.036.739,44","-0,64","22,37","1,07"
2015-04-02,"99,60","98,00","104,20","98,00","551,83K","2,16%","1.036.739,44","-0,64","22,37","1,07"
2015-04-07,"97,95","99,90","100,00","96,95","252,69K","-1,66%","1.036.739,44","-0,64","22,37","1,07"
2015-04-08,"94,90","97,97","98,40","93,10","566,14K","-3,11%","1.036.739,44","-0,64","22,37","1,07"
2015-04-09,"94,50","95,10","95,95","93,90","918,40K","-0,42%","1.036.739,44","-0,64","22,37","1,07"
2015-04-10,"99,42","95,50","99,42","94,60","516,12K","5,21%","1.036.739,44","-0,64","22,37","1,07"
2015-04-13,"98,50","98,19","99,28","97,80","678,23K","-0,93%","1.036.739,44","-0,64","22,37","1,07"
2015-04-14,"92,61","97,00","97,24","91,00","1,47M","-5,98%","1.036.739,44","-0,64","22,37","1,07"
2015-04-15,"90,37","92,50","92,97","90,31","585,78K","-2,42%","1.036.739,44","-0,64","22,37","1,07"
2015-04-16,"90,20","90,80","91,00","89,01","321,76K","-0,19%","1.036.739,44","-0,64","22,37","1,07"
2015-04-17,"90,50","90,15","90,95","88,20","389,35K","0,33%","1.036.739,44","-0,64","22,37","1,07"
2015-04-20,"88,50","90,90","91,90","88,00","248,05K","-2,21%","1.036.739,44","-0,64","22,37","1,07"
2015-04-21,"89,70","89,38","90,49","88,30","339,10K","1,36%","1.036.739,44","-0,64","22,37","1,07"
2015-04-22,"88,50","89,49","89,65","87,00","202,70K","-1,34%","1.036.739,44","-0,64","22,37","1,07"
2015-04-23,"86,65","88,50","88,56","86,03","438,29K","-2,09%","1.036.739,44","-0,64","22,37","1,07"
2015-04-24,"86,10","87,24","87,24","85,80","245,33K","-0,63%","1.036.739,44","-0,64","22,37","1,07"
2015-04-27,"88,95","86,44","89,83","86,20","412,68K","3,31%","1.036.739,44","-0,64","22,37","1,07"
2015-04-28,"86,80","88,50","89,93","86,05","548,18K","-2,42%","1.036.739,44","-0,64","22,37","1,07"
2015-04-29,"82,55","88,20","88,48","80,75","890,38K","-4,90%","1.036.739,44","-0,64","22,37","1,07"
2015-04-30,"83,91","83,49","84,76","82,75","397,02K","1,65%","1.036.739,44","-0,64","22,37","1,07"
2015-05-04,"88,52","85,46","88,90","85,16","551,74K","5,49%","1.044.562,17","-0,18","22,37","1,07"
2015-05-05,"86,45","88,31","89,15","85,90","537,82K","-2,34%","1.044.562,17","-0,18","22,37","1,07"
2015-05-06,"86,97","87,00","88,62","85,02","502,07K","0,60%","1.044.562,17","-0,18","22,37","1,07"
2015-05-07,"85,76","86,75","88,49","80,66","576,79K","-1,39%","1.044.562,17","-0,18","22,37","1,07"
2015-05-08,"87,50","87,20","87,85","85,40","325,74K","2,03%","1.044.562,17","-0,18","22,37","1,07"
2015-05-11,"88,35","87,71","90,00","87,05","347,03K","0,97%","1.044.562,17","-0,18","22,37","1,07"
2015-05-12,"88,60","88,00","89,01","87,80","393,12K","0,28%","1.044.562,17","-0,18","22,37","1,07"
2015-05-13,"89,16","89,00","89,89","88,36","235,04K","0,63%","1.044.562,17","-0,18","22,37","1,07"
2015-05-14,"93,76","90,10","94,40","90,00","425,09K","5,16%","1.044.562,17","-0,18","22,37","1,07"
2015-05-15,"94,30","93,76","94,80","93,15","272,35K","0,58%","1.044.562,17","-0,18","22,37","1,07"
2015-05-18,"94,70","94,88","95,65","93,46","362,33K","0,42%","1.044.562,17","-0,18","22,37","1,07"
2015-05-19,"94,35","95,00","95,98","94,16","419,13K","-0,37%","1.044.562,17","-0,18","22,37","1,07"
2015-05-20,"93,28","94,77","95,84","92,21","499,07K","-1,13%","1.044.562,17","-0,18","22,37","1,07"
2015-05-21,"93,30","93,28","95,00","92,40","383,59K","0,02%","1.044.562,17","-0,18","22,37","1,07"
2015-05-22,"92,25","93,26","94,45","92,25","308,30K","-1,13%","1.044.562,17","-0,18","22,37","1,07"
2015-05-25,"90,30","93,15","93,15","90,00","257,45K","-2,11%","1.044.562,17","-0,18","22,37","1,07"
2015-05-26,"91,51","90,75","93,89","89,55","582,15K","1,34%","1.044.562,17","-0,18","22,37","1,07"
2015-05-27,"94,79","91,31","94,98","90,65","626,02K","3,58%","1.044.562,17","-0,18","22,37","1,07"
2015-05-28,"96,75","95,00","97,00","94,15","331,59K","2,07%","1.044.562,17","-0,18","22,37","1,07"
2015-05-29,"95,40","96,00","96,45","92,70","1,03M","-1,40%","1.044.562,17","-0,18","22,37","1,07"
2015-06-01,"95,40","95,55","95,76","93,10","283,03K","0,00%","1.055.900,81","0,06","22,37","1,07"
2015-06-02,"94,00","95,26","95,26","93,74","353,03K","-1,47%","1.055.900,81","0,06","22,37","1,07"
2015-06-03,"95,27","94,78","96,00","94,25","411,65K","1,35%","1.055.900,81","0,06","22,37","1,07"
2015-06-04,"94,36","94,09","95,15","93,60","254,04K","-0,96%","1.055.900,81","0,06","22,37","1,07"
2015-06-05,"94,21","94,23","95,95","93,53","229,03K","-0,16%","1.055.900,81","0,06","22,37","1,07"
2015-06-08,"93,98","93,50","95,29","92,85","182,06K","-0,24%","1.055.900,81","0,06","22,37","1,07"
2015-06-09,"95,02","93,57","95,80","93,41","548,68K","1,11%","1.055.900,81","0,06","22,37","1,07"
2015-06-10,"95,49","94,00","96,81","94,00","346,17K","0,49%","1.055.900,81","0,06","22,37","1,07"
2015-06-11,"95,90","95,85","97,20","95,18","335,81K","0,43%","1.055.900,81","0,06","22,37","1,07"
2015-06-12,"94,69","95,40","96,19","94,40","213,48K","-1,26%","1.055.900,81","0,06","22,37","1,07"
2015-06-15,"93,15","93,87","94,80","93,15","343,52K","-1,63%","1.055.900,81","0,06","22,37","1,07"
2015-06-16,"95,75","92,80","96,00","92,70","430,36K","2,79%","1.055.900,81","0,06","22,37","1,07"
2015-06-17,"93,77","96,05","96,05","93,65","224,82K","-2,07%","1.055.900,81","0,06","22,37","1,07"
2015-06-18,"92,35","93,40","93,40","91,81","445,48K","-1,51%","1.055.900,81","0,06","22,37","1,07"
2015-06-19,"94,75","92,01","95,89","92,01","4,17M","2,60%","1.055.900,81","0,06","22,37","1,07"
2015-06-22,"95,90","96,00","96,88","95,46","460,00K","1,21%","1.055.900,81","0,06","22,37","1,07"
2015-06-23,"95,55","96,27","96,73","94,92","402,64K","-0,36%","1.055.900,81","0,06","22,37","1,07"
2015-06-24,"95,25","95,60","95,68","94,10","370,11K","-0,31%","1.055.900,81","0,06","22,37","1,07"
2015-06-25,"93,10","93,75","94,03","92,69","436,70K","-2,26%","1.055.900,81","0,06","22,37","1,07"
2015-06-26,"94,40","92,36","94,70","92,15","421,99K","1,40%","1.055.900,81","0,06","22,37","1,07"
2015-06-29,"92,50","90,20","93,40","88,00","663,86K","-2,01%","1.055.900,81","0,06","22,37","1,07"
2015-06-30,"93,74","92,40","95,50","91,56","836,51K","1,34%","1.055.900,81","0,06","22,37","1,07"
2015-07-01,"93,05","93,95","94,94","92,52","767,69K","-0,74%","1.043.141,35","0,07","21,18","0,91"
2015-07-02,"90,78","93,26","93,32","90,08","739,55K","-2,44%","1.043.141,35","0,07","21,18","0,91"
2015-07-03,"94,09","91,65","95,00","91,65","409,24K","3,65%","1.043.141,35","0,07","21,18","0,91"
2015-07-06,"94,50","92,43","95,50","91,61","345,65K","0,44%","1.043.141,35","0,07","21,18","0,91"
2015-07-07,"92,24","94,50","94,99","91,85","373,11K","-2,39%","1.043.141,35","0,07","21,18","0,91"
2015-07-08,"93,76","92,51","94,22","91,55","639,77K","1,65%","1.043.141,35","0,07","21,18","0,91"
2015-07-09,"94,05","94,00","95,05","93,68","470,85K","0,31%","1.043.141,35","0,07","21,18","0,91"
2015-07-10,"95,70","95,70","96,68","95,27","512,31K","1,75%","1.043.141,35","0,07","21,18","0,91"
2015-07-13,"98,17","96,73","98,56","96,21","253,62K","2,58%","1.043.141,35","0,07","21,18","0,91"
