"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","91,36","99,07","100,95","90,09","-","-15,52%"
"13.03.2020","108,15","106,85","117,30","106,40","642,59K","4,24%"
"12.03.2020","103,75","114,05","116,15","103,60","734,94K","-15,34%"
"11.03.2020","122,55","123,75","124,65","120,30","586,53K","0,33%"
"10.03.2020","122,15","132,00","132,30","122,15","387,16K","-3,74%"
"09.03.2020","126,90","128,75","131,40","126,05","632,02K","-6,59%"
"06.03.2020","135,85","140,10","140,35","134,40","319,78K","-4,97%"
"05.03.2020","142,95","146,00","146,35","141,95","251,58K","-1,52%"
"04.03.2020","145,15","142,80","146,85","142,35","249,00K","1,50%"
"03.03.2020","143,00","143,30","146,85","142,10","612,50K","0,53%"
"02.03.2020","142,25","147,30","148,70","140,00","355,62K","-1,90%"
"28.02.2020","145,00","147,70","147,70","143,50","515,15K","-3,81%"
"27.02.2020","150,75","152,20","154,05","148,50","322,96K","-2,11%"
"26.02.2020","154,00","154,00","155,90","149,35","463,53K","-0,71%"
"25.02.2020","155,10","160,25","161,15","155,10","328,74K","-2,11%"
"24.02.2020","158,45","164,85","164,95","157,65","383,47K","-5,46%"
"21.02.2020","167,60","167,60","168,90","166,95","136,80K","-0,21%"
"20.02.2020","167,95","169,20","169,75","167,35","114,75K","-0,89%"
"19.02.2020","169,45","168,80","170,65","168,25","97,39K","0,77%"
"18.02.2020","168,15","167,05","168,40","166,70","80,75K","0,18%"
"17.02.2020","167,85","167,95","168,45","167,60","67,22K","-0,30%"
"14.02.2020","168,35","166,50","168,35","166,40","112,47K","1,11%"
"13.02.2020","166,50","168,00","168,60","165,65","181,57K","-1,30%"
"12.02.2020","168,70","169,15","169,70","168,15","95,46K","-0,18%"
"11.02.2020","169,00","169,15","169,40","168,65","123,42K","0,27%"
"10.02.2020","168,55","168,85","169,30","168,20","144,22K","-0,35%"
"07.02.2020","169,15","169,60","170,05","168,55","356,67K","-0,50%"
"06.02.2020","170,00","172,35","172,35","169,50","193,29K","-0,64%"
"05.02.2020","171,10","169,00","171,95","168,60","196,99K","1,24%"
"04.02.2020","169,00","168,95","170,00","168,65","98,99K","0,30%"
"03.02.2020","168,50","167,05","168,65","166,85","163,59K","0,81%"
"31.01.2020","167,15","167,80","167,85","166,25","161,50K","-0,15%"
"30.01.2020","167,40","166,75","167,65","166,65","185,79K","0,00%"
"29.01.2020","167,40","166,45","167,80","166,25","1,13M","0,15%"
"28.01.2020","167,15","165,85","167,45","164,90","162,21K","1,00%"
"27.01.2020","165,50","166,10","167,00","165,45","110,58K","-1,78%"
"24.01.2020","168,50","169,10","170,35","168,50","160,86K","0,00%"
"23.01.2020","168,50","169,60","169,65","166,60","149,51K","-0,74%"
"22.01.2020","169,75","169,80","172,05","169,70","100,22K","-0,15%"
"21.01.2020","170,00","172,00","172,55","169,65","120,13K","-1,76%"
"20.01.2020","173,05","172,80","174,35","172,10","81,15K","0,06%"
"17.01.2020","172,95","174,50","177,15","172,95","139,51K","-0,89%"
"16.01.2020","174,50","174,25","175,25","173,45","84,22K","0,23%"
"15.01.2020","174,10","174,55","174,55","172,90","100,70K","0,00%"
"14.01.2020","174,10","172,10","174,20","171,85","513,75K","1,22%"
"13.01.2020","172,00","171,70","172,05","170,30","92,01K","0,23%"
"10.01.2020","171,60","170,90","173,45","170,80","160,51K","0,94%"
"09.01.2020","170,00","169,95","170,55","168,50","486,85K","0,83%"
"08.01.2020","168,60","167,95","169,05","167,50","132,56K","0,21%"
"07.01.2020","168,25","169,45","170,15","167,90","233,44K","-0,44%"
"06.01.2020","169,00","169,40","169,55","167,25","78,24K","-0,65%"
"03.01.2020","170,10","170,35","170,50","168,45","107,82K","-0,70%"
"02.01.2020","171,30","173,15","173,15","170,20","94,14K","0,47%"
"31.12.2019","170,50","171,05","172,75","170,50","73,39K","-1,47%"
"30.12.2019","173,05","175,10","175,10","173,05","59,69K","-1,14%"
"27.12.2019","175,05","175,10","175,40","173,80","99,09K","0,69%"
"24.12.2019","173,85","174,05","174,35","172,75","28,26K","0,29%"
"23.12.2019","173,35","171,90","175,00","171,00","96,65K","0,73%"
"20.12.2019","172,10","172,20","172,45","170,70","333,14K","0,50%"
"19.12.2019","171,25","174,50","175,15","171,25","136,48K","-1,81%"
"18.12.2019","174,40","174,30","175,85","174,00","200,73K","-0,34%"
"17.12.2019","175,00","174,20","175,80","174,00","199,76K","0,29%"
"16.12.2019","174,50","175,95","176,35","174,10","378,55K","-0,26%"
"13.12.2019","174,95","173,90","175,80","172,95","254,51K","2,07%"
"12.12.2019","171,40","170,25","172,55","170,20","346,03K","0,68%"
"11.12.2019","170,25","166,20","170,25","166,20","199,45K","2,34%"
"10.12.2019","166,35","166,70","167,30","164,45","789,91K","0,03%"
"09.12.2019","166,30","165,50","167,35","165,40","86,27K","0,42%"
"06.12.2019","165,60","163,80","166,10","163,15","98,97K","1,28%"
"05.12.2019","163,50","165,20","165,40","162,85","559,91K","-0,64%"
"04.12.2019","164,55","163,50","165,25","163,40","173,98K","0,95%"
"03.12.2019","163,00","163,25","164,00","162,35","167,83K","-0,21%"
"02.12.2019","163,35","166,90","168,05","163,00","148,56K","-2,01%"
"29.11.2019","166,70","166,35","168,05","166,25","234,22K","-0,54%"
"28.11.2019","167,60","168,95","169,05","167,05","58,73K","-0,83%"
"27.11.2019","169,00","169,65","170,20","168,10","126,11K","0,03%"
"26.11.2019","168,95","166,80","169,40","166,80","522,11K","1,47%"
"25.11.2019","166,50","167,35","167,85","166,45","101,14K","0,12%"
"22.11.2019","166,30","166,15","167,35","165,65","123,78K","0,36%"
"21.11.2019","165,70","166,85","167,45","165,40","135,61K","-1,07%"
"20.11.2019","167,50","167,65","168,15","166,65","125,50K","-0,50%"
"19.11.2019","168,35","167,95","169,65","167,40","106,10K","0,72%"
"18.11.2019","167,15","166,10","167,15","165,35","127,68K","0,33%"
"15.11.2019","166,60","163,85","166,60","163,75","162,96K","2,24%"
