fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"98,23","1,31",,"23,61","3,03",1.218,"235,71"
2020-06-02,"98,23","1,31",,"23,61","3,03",1.218,"235,71"
2020-06-03,"98,23","1,31",,"23,61","3,03",1.218,"235,71"
2020-06-04,"98,23","1,31",,"23,61","3,03",1.218,"235,71"
2020-06-05,"98,23","1,31",,"23,61","3,03",1.218,"235,71"
2020-06-08,"154,91","0,93",,"36,67","3,48","1.084,34","169,95"
2020-06-09,"154,91","0,93",,"36,67","3,48","1.084,34","169,95"
2020-06-10,"154,91","0,93",,"36,67","3,48","1.084,34","169,95"
2020-06-11,"154,91","0,93",,"36,67","3,48","1.084,34","169,95"
2020-06-12,"154,91","0,93",,"36,67","3,48","1.084,34","169,95"
2020-06-15,,,,,,,
2020-06-16,"233,96","0,53",,"34,04",3,"1.048,5","80,2"
2020-06-17,"233,96","0,53",,"34,04",3,"1.048,5","80,2"
2020-06-18,"233,96","0,53",,"34,04",3,"1.048,5","80,2"
2020-06-19,"233,96","0,53",,"34,04",3,"1.048,5","80,2"
2020-06-22,"367,06","0,34",,"34,26","3,02",930,51
2020-06-23,"367,06","0,34",,"34,26","3,02",930,51
2020-06-24,"367,06","0,34",,"34,26","3,02",930,51
2020-06-25,"367,06","0,34",,"34,26","3,02",930,51
2020-06-26,"367,06","0,34",,"34,26","3,02",930,51
2020-06-29,"351,18","0,34",,"30,49","2,89",930,51
2020-06-30,"351,18","0,34",,"30,49","2,89",930,51
