fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-06-30,"46,380","46,920","47,310","45,670","1,30M","-1,38%"
2020-06-29,"47,030","46,450","48,100","46,420","905,74K","0,90%"
2020-06-26,"46,610","47,260","47,960","46,540","1,02M","-0,24%"
2020-06-25,"46,720","46,370","46,810","45,080","1,14M","0,34%"
2020-06-24,"46,560","49,580","50,560","46,560","1,37M","-6,28%"
2020-06-23,"49,680","49,590","50,720","49,060","4,51M","1,57%"
2020-06-22,"48,910","49,360","50,360","48,020","4,59M","-2,84%"
2020-06-19,"50,340","50,920","51,580","50,240","3,37M","-0,32%"
2020-06-18,"50,500","50,560","51,400","49,080","3,02M","-0,82%"
2020-06-17,"50,920","49,610","51,320","48,950","1,37M","1,39%"
2020-06-16,"50,220","49,960","51,580","48,960","1,96M","3,98%"
2020-06-15,"48,300","47,460","48,620","46,580","911,01K","-0,21%"
2020-06-12,"48,400","48,000","49,920","47,660","2,32M","0,69%"
2020-06-11,"48,070","49,750","49,750","48,070","8,58M","-6,26%"
2020-06-10,"51,280","52,680","53,900","51,220","2,96M","-2,40%"
2020-06-09,"52,540","54,220","54,700","51,260","2,11M","-2,34%"
2020-06-08,"53,800","53,000","54,740","52,860","4,31M","0,41%"
2020-06-05,"53,580","50,820","54,720","50,620","2,98M","7,74%"
2020-06-04,"49,730","50,260","50,560","49,400","1,81M","-1,05%"
2020-06-03,"50,260","49,500","50,380","48,150","1,92M","3,08%"
2020-06-02,"48,760","48,610","50,060","48,300","1,54M","1,37%"
