fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-16,"44,200","45,000","45,680","40,300","5,92M","-7,43%"
2020-03-13,"47,750","44,240","47,750","43,300","3,61M","11,07%"
2020-03-12,"42,990","48,070","48,720","42,140","5,95M","-16,10%"
2020-03-11,"51,240","52,360","53,260","50,600","1,93M","-1,35%"
2020-03-10,"51,940","55,120","55,640","51,000","2,27M","-4,49%"
2020-03-09,"54,380","52,800","55,600","51,000","3,47M","-2,79%"
2020-03-06,"55,940","57,880","58,100","55,120","1,89M","-5,19%"
2020-03-05,"59,000","60,980","61,340","58,520","1,62M","-2,58%"
2020-03-04,"60,560","62,740","62,880","60,140","2,11M","-3,93%"
2020-03-03,"63,040","63,240","64,720","62,680","1,90M","0,86%"
2020-03-02,"62,500","65,180","66,220","61,700","2,78M","-1,57%"
2020-02-28,"63,500","59,000","66,300","58,220","3,04M","3,29%"
2020-02-27,"61,480","62,240","62,240","60,440","2,96M","-4,09%"
2020-02-26,"64,100","64,140","64,740","61,960","2,23M","-0,37%"
2020-02-25,"64,340","67,320","67,440","64,080","2,56M","-4,17%"
2020-02-24,"67,140","68,100","68,640","66,940","1,56M","-5,38%"
2020-02-21,"70,960","71,520","71,700","70,500","849,41K","-0,92%"
2020-02-20,"71,620","73,080","73,380","71,620","783,49K","-2,32%"
2020-02-19,"73,320","73,020","73,400","72,560","792,72K","0,58%"
2020-02-18,"72,900","72,400","73,420","72,060","517,54K","-0,08%"
2020-02-17,"72,960","72,980","73,220","72,320","1,99M","0,16%"
2020-02-14,"72,840","73,420","73,680","72,640","1,27M","-0,55%"
2020-02-13,"73,240","73,780","73,880","71,840","771,31K","-1,03%"
2020-02-12,"74,000","74,400","74,400","73,560","683,80K","-0,05%"
2020-02-11,"74,040","74,300","74,520","73,720","1,04M","0,22%"
2020-02-10,"73,880","73,260","74,080","73,100","412,81K","0,76%"
2020-02-07,"73,320","74,660","74,680","72,940","632,67K","-1,79%"
2020-02-06,"74,660","74,220","74,680","73,520","657,49K","0,97%"
2020-02-05,"73,940","74,800","75,540","73,600","987,62K","-0,64%"
2020-02-04,"74,420","73,120","74,420","72,800","783,28K","3,10%"
2020-02-03,"72,180","71,180","72,720","70,800","1,05M","1,92%"
2020-01-31,"70,820","72,020","72,240","70,680","890,24K","-1,20%"
2020-01-30,"71,680","72,500","72,600","70,920","895,53K","-2,74%"
2020-01-29,"73,700","73,800","74,160","73,060","983,29K","-0,32%"
2020-01-28,"73,940","73,620","74,340","72,400","971,13K","1,37%"
2020-01-27,"72,940","76,260","76,520","72,800","7,25M","-6,13%"
2020-01-24,"77,700","76,240","77,740","76,240","1,61M","2,78%"
2020-01-23,"75,600","77,060","77,100","75,400","3,94M","-2,48%"
2020-01-22,"77,520","77,780","77,920","77,220","3,41M","-0,26%"
2020-01-21,"77,720","77,400","77,720","76,520","5,23M","-0,46%"
2020-01-20,"78,080","78,300","78,460","77,540","2,93M","-0,66%"
2020-01-17,"78,600","77,000","78,820","76,700","2,20M","2,48%"
2020-01-16,"76,700","76,160","76,700","75,900","672,09K","0,79%"
2020-01-15,"76,100","74,880","76,140","74,580","719,84K","0,74%"
2020-01-14,"75,540","74,540","75,540","74,040","846,42K","1,48%"
2020-01-13,"74,440","74,140","74,580","74,020","5,40M","0,43%"
2020-01-10,"74,120","74,180","74,600","73,900","1,46M","-0,24%"
2020-01-09,"74,300","73,560","74,440","73,540","4,28M","1,67%"
2020-01-08,"73,080","72,980","73,420","72,360","3,04M","-0,27%"
2020-01-07,"73,280","72,800","73,600","72,600","3,46M","0,94%"
2020-01-06,"72,600","72,720","72,900","71,600","5,86M","-0,90%"
2020-01-03,"73,260","72,220","73,260","72,120","1,50M","0,49%"
2020-01-02,"72,900","73,900","73,960","72,680","1,02M","0,14%"
2019-12-31,"72,800","72,700","73,300","72,200","148,69K","-0,16%"
2019-12-30,"72,920","73,340","73,640","72,920","672,51K","-0,98%"
2019-12-27,"73,640","74,400","74,400","73,120","525,34K","-0,08%"
2019-12-24,"73,700","72,600","73,740","72,220","118,84K","1,29%"
2019-12-23,"72,760","72,420","73,000","72,360","944,80K","0,78%"
2019-12-20,"72,200","72,700","73,080","71,920","1,83M","-0,39%"
2019-12-19,"72,480","72,860","73,440","72,060","928,22K","-0,52%"
2019-12-18,"72,860","72,940","73,820","72,640","1,24M","-0,38%"
2019-12-17,"73,140","72,820","73,340","72,720","1,23M","0,49%"
2019-12-16,"72,780","73,000","73,140","72,640","893,67K","0,17%"
2019-12-13,"72,660","72,520","72,800","71,780","712,19K","1,59%"
2019-12-12,"71,520","72,160","72,360","71,180","993,98K","-0,33%"
2019-12-11,"71,760","71,800","72,100","71,520","1,39M","-0,58%"
2019-12-10,"72,180","72,320","72,340","71,300","3,70M","-0,41%"
2019-12-09,"72,480","72,660","72,900","71,740","1,44M","-0,38%"
2019-12-06,"72,760","72,480","72,960","72,020","859,13K","0,83%"
2019-12-05,"72,160","72,280","72,880","72,160","622,70K","-0,19%"
2019-12-04,"72,300","71,860","72,700","71,760","608,39K","0,61%"
2019-12-03,"71,860","71,720","72,240","71,520","1,43M","0,62%"
2019-12-02,"71,420","72,220","72,820","71,240","1,22M","-1,22%"
2019-11-29,"72,300","71,620","72,660","71,480","776,20K","0,36%"
2019-11-28,"72,040","71,900","72,160","71,680","296,10K","-0,17%"
2019-11-27,"72,160","72,120","72,400","71,900","661,23K","0,36%"
2019-11-26,"71,900","71,500","72,100","71,500","1,72M","0,62%"
2019-11-25,"71,460","71,180","71,660","70,980","898,57K","0,70%"
2019-11-22,"70,960","70,920","71,260","70,320","788,28K","0,00%"
2019-11-21,"70,960","70,920","71,420","70,080","961,28K","-0,84%"
2019-11-20,"71,560","71,660","71,840","71,060","764,24K","-0,45%"
2019-11-19,"71,880","72,040","72,240","71,380","588,43K","0,25%"
2019-11-18,"71,700","71,900","72,200","71,360","985,81K","-0,39%"
2019-11-15,"71,980","72,280","72,540","71,440","803,94K","0,22%"
2019-11-14,"71,820","72,000","72,260","71,560","736,65K","0,03%"
2019-11-13,"71,800","71,180","71,900","70,960","707,83K","1,01%"
2019-11-12,"71,080","71,780","72,000","71,000","573,57K","-0,64%"
2019-11-11,"71,540","71,440","71,680","70,980","1,32M","0,11%"
2019-11-08,"71,460","70,360","71,820","70,200","1,05M","0,53%"
2019-11-07,"71,080","70,240","71,920","69,760","1,28M","3,65%"
2019-11-06,"68,580","66,680","69,000","66,680","709,26K","2,39%"
2019-11-05,"66,980","67,740","67,820","66,460","858,67K","-0,98%"
2019-11-04,"67,640","67,420","68,060","67,180","483,85K","0,68%"
2019-11-01,"67,180","66,600","67,220","66,460","410,41K","1,27%"
2019-10-31,"66,340","66,300","66,600","65,700","771,25K","0,48%"
2019-10-30,"66,020","66,180","66,380","65,080","1,12M","-0,78%"
2019-10-29,"66,540","67,340","67,340","66,380","688,54K","-0,86%"
2019-10-28,"67,120","66,760","67,480","66,440","999,96K","0,09%"
2019-10-25,"67,060","66,360","67,060","66,080","421,83K","1,12%"
2019-10-24,"66,320","65,660","66,500","65,400","545,53K","1,47%"
2019-10-23,"65,360","64,820","65,360","64,260","631,50K","-0,06%"
