fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"127,79","0,37","2,55","29,35","4,79","837,48","66,85"
2020-06-02,"127,79","0,37","2,51","29,35","4,79","837,48","66,85"
2020-06-03,"127,79","0,37","2,44","29,35","4,79","837,48","66,85"
2020-06-04,"127,79","0,37","2,46","29,35","4,79","837,48","66,85"
2020-06-05,"127,79","0,37","2,29","29,35","4,79","837,48","66,85"
2020-06-08,"185,57","0,29","2,28","33,5","5,47","833,59","57,1"
2020-06-09,"185,57","0,29","2,33","33,5","5,47","833,59","57,1"
2020-06-10,"185,57","0,29","2,39","33,5","5,47","833,59","57,1"
2020-06-11,"185,57","0,29","2,55","33,5","5,47","833,59","57,1"
2020-06-12,"185,57","0,29","2,53","33,5","5,47","833,59","57,1"
2020-06-15,,,"2,54",,,,
2020-06-16,"190,85","0,25","2,44","30,26","4,94","795,6","53,67"
2020-06-17,"190,85","0,25","2,41","30,26","4,94","795,6","53,67"
2020-06-18,"190,85","0,25","2,43","30,26","4,94","795,6","53,67"
2020-06-19,"190,85","0,25","2,43","30,26","4,94","795,6","53,67"
2020-06-22,"198,5","0,25","2,50","31,47","5,14","795,6","53,67"
2020-06-23,"198,5","0,25","2,47","31,47","5,14","795,6","53,67"
2020-06-24,"198,5","0,25","2,63","31,47","5,14","795,6","53,67"
2020-06-25,"198,5","0,25","2,62","31,47","5,14","795,6","53,67"
2020-06-26,"198,5","0,25","2,63","31,47","5,14","795,6","53,67"
2020-06-29,"215,51","0,22","2,60","27,8","4,75",794,"31,7"
2020-06-30,"215,51","0,22","2,64","27,8","4,75",794,"31,7"
