fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-07-31,"2,637","2,714","2,740","2,637",,"-2,26%"
2020-07-30,"2,698","2,905","2,905","2,632","45,68M","-8,07%"
2020-07-29,"2,935","3,050","3,056","2,875","19,80M","-3,68%"
2020-07-28,"3,047","3,024","3,090","3,005","17,02M","0,96%"
2020-07-27,"3,018","3,104","3,107","2,992","18,81M","-3,18%"
2020-07-24,"3,117","3,110","3,157","3,098","12,24M","-0,80%"
2020-07-23,"3,142","3,200","3,206","3,122","19,13M","-1,29%"
2020-07-22,"3,183","3,197","3,229","3,150","13,86M","0,00%"
2020-07-21,"3,183","3,230","3,319","3,163","20,64M","-0,34%"
2020-07-20,"3,194","3,204","3,205","3,133","21,22M","-0,68%"
2020-07-17,"3,216","3,263","3,265","3,178","25,21M","-1,41%"
2020-07-16,"3,262","3,250","3,283","3,216","18,98M","0,37%"
2020-07-15,"3,250","3,205","3,283","3,109","25,05M","2,56%"
2020-07-14,"3,169","3,179","3,207","3,117","21,83M","-1,12%"
2020-07-13,"3,205","3,210","3,233","3,150","12,12M","1,88%"
2020-07-10,"3,146","3,047","3,162","3,026","14,64M","2,31%"
2020-07-09,"3,075","3,149","3,165","3,060","13,38M","-1,41%"
2020-07-08,"3,119","3,187","3,196","3,106","16,94M","-3,32%"
2020-07-07,"3,226","3,263","3,283","3,207","13,73M","-2,45%"
2020-07-06,"3,307","3,259","3,369","3,256","22,84M","5,08%"
2020-07-03,"3,147","3,227","3,242","3,123","15,33M","-2,48%"
2020-07-02,"3,227","3,054","3,258","3,045","31,44M","7,28%"
2020-07-01,"3,008","3,065","3,096","2,975","20,19M","-1,83%"
