fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-16,"2,638","2,910","2,980","2,561","62,76M","-13,37%"
2020-03-13,"3,045","3,310","3,436","2,949","44,19M","1,23%"
2020-03-12,"3,008","3,341","3,402","2,954","71,57M","-15,08%"
2020-03-11,"3,542","3,538","3,715","3,465","48,94M","2,64%"
2020-03-10,"3,451","3,581","3,769","3,412","49,46M","-1,37%"
2020-03-09,"3,499","3,750","3,750","3,460","66,37M","-13,22%"
2020-03-06,"4,032","4,025","4,088","3,955","31,92M","-2,21%"
2020-03-05,"4,123","4,362","4,364","4,094","36,71M","-4,71%"
2020-03-04,"4,327","4,278","4,359","4,190","34,59M","1,84%"
2020-03-03,"4,249","4,370","4,454","4,226","36,43M","-0,86%"
2020-03-02,"4,286","4,420","4,431","4,142","41,82M","-1,13%"
2020-02-28,"4,335","4,420","4,420","4,235","68,81M","-4,66%"
2020-02-27,"4,547","4,665","4,697","4,492","49,77M","-4,11%"
2020-02-26,"4,742","4,739","4,787","4,629","32,62M","-0,25%"
2020-02-25,"4,754","4,950","4,950","4,738","34,67M","-3,22%"
2020-02-24,"4,912","5,000","5,000","4,903","37,14M","-3,87%"
2020-02-21,"5,110","5,083","5,125","5,050","22,85M","0,12%"
2020-02-20,"5,104","5,159","5,213","5,104","19,88M","-1,35%"
2020-02-19,"5,174","5,198","5,210","5,145","13,89M","0,12%"
2020-02-18,"5,168","5,222","5,249","5,159","15,64M","-1,15%"
2020-02-17,"5,228","5,248","5,268","5,205","10,32M","-0,29%"
2020-02-14,"5,243","5,308","5,313","5,233","12,77M","-1,04%"
2020-02-13,"5,298","5,280","5,305","5,192","21,91M","-0,58%"
2020-02-12,"5,329","5,250","5,339","5,238","19,49M","1,83%"
2020-02-11,"5,233","5,250","5,282","5,175","18,21M","-0,17%"
2020-02-10,"5,242","5,202","5,290","5,197","27,47M","0,29%"
2020-02-07,"5,227","5,080","5,230","5,071","27,16M","2,49%"
2020-02-06,"5,100","4,981","5,137","4,970","49,68M","3,51%"
2020-02-05,"4,927","4,760","4,927","4,755","39,88M","2,97%"
2020-02-04,"4,785","4,700","4,816","4,697","18,49M","2,57%"
2020-02-03,"4,665","4,700","4,718","4,612","19,11M","-0,06%"
2020-01-31,"4,668","4,820","4,850","4,650","31,43M","-0,85%"
2020-01-30,"4,708","4,619","4,708","4,598","30,49M","0,86%"
2020-01-29,"4,668","4,640","4,692","4,609","25,61M","1,46%"
2020-01-28,"4,601","4,550","4,630","4,508","15,91M","1,52%"
2020-01-27,"4,532","4,554","4,586","4,497","19,36M","-1,63%"
2020-01-24,"4,607","4,717","4,746","4,604","16,47M","-1,22%"
