fecha,BBVA_ultimo,BBVA_per,BBVA_bpa,BBVA_rentabilidad_por_dividendo,BBVA_precio_valor_contable,BBVA_ebitda
2015-02-12,"7,802",,,,,
2015-02-13,"8,043",,,,,
2015-02-16,"7,987",,,,,
2015-02-17,"8,092",,,,,
2015-02-18,"8,267",,,,,
2015-02-19,"8,318",,,,,
2015-02-20,"8,311",,,,,
2015-02-23,"8,395",,,,,
2015-02-24,"8,387",,,,,
2015-02-25,"8,330",,,,,
2015-02-26,"8,431",,,,,
2015-02-27,"8,497",,,,,
2015-03-02,"8,490",,,,,
2015-03-03,"8,355",,,,,
2015-03-04,"8,412",,,,,
2015-03-05,"8,488",,,,,
2015-03-06,"8,403",,,,,
2015-03-09,"8,368",,,,,
2015-03-10,"8,287",,,,,
2015-03-11,"8,396",,,,,
2015-03-12,"8,456",,,,,
2015-03-13,"8,498",,,,,
2015-03-16,"8,542",,,,,
2015-03-17,"8,448",,,,,
2015-03-18,"8,396",,,,,
2015-03-19,"8,446",,,,,
2015-03-20,"8,719",,,,,
2015-03-23,"8,758",,,,,
2015-03-24,"8,898",,,,,
2015-03-25,"8,831",,,,,
2015-03-26,"8,842",,,,,
2015-03-27,"8,779",,,,,
2015-03-30,"8,871",,,,,
2015-03-31,"8,869",,,,,
2015-04-01,"9,041",,,,,
2015-04-02,"9,108",,,,,
2015-04-07,"9,168",,,,,
2015-04-08,"9,045",,,,,
2015-04-09,"9,085",,,,,
2015-04-10,"9,013",,,,,
2015-04-13,"9,156",,,,,
2015-04-14,"9,010",,,,,
2015-04-15,"9,105",,,,,
2015-04-16,"8,890",,,,,
2015-04-17,"8,672",,,,,
2015-04-20,"8,650",,,,,
2015-04-21,"8,735",,,,,
2015-04-22,"8,761",,,,,
2015-04-23,"8,835",,,,,
2015-04-24,"8,835",,,,,
2015-04-27,"8,965",,,,,
2015-04-28,"8,912",,,,,
2015-04-29,"8,574",,,,,
2015-04-30,"8,485",,,,,
2015-05-04,"8,522",,,,,
2015-05-05,"8,320",,,,,
2015-05-06,"8,437",,,,,
2015-05-07,"8,485",,,,,
2015-05-08,"8,608",,,,,
2015-05-11,"8,571",,,,,
2015-05-12,"8,524",,,,,
2015-05-13,"8,517",,,,,
2015-05-14,"8,634",,,,,
2015-05-15,"8,552",,,,,
2015-05-18,"8,509",,,,,
2015-05-19,"8,685",,,,,
2015-05-20,"8,772",,,,,
2015-05-21,"8,785",,,,,
2015-05-22,"8,762",,,,,
2015-05-25,"8,579",,,,,
2015-05-26,"8,481",,,,,
2015-05-27,"8,642",,,,,
2015-05-28,"8,571",,,,,
2015-05-29,"8,478",,,,,
2015-06-01,"8,478",,,,,
2015-06-02,"8,551",,,,,
2015-06-03,"8,627",,,,,
2015-06-04,"8,553",,,,,
2015-06-05,"8,475",,,,,
2015-06-08,"8,315",,,,,
2015-06-09,"8,339",,,,,
2015-06-10,"8,511",,,,,
2015-06-11,"8,565",,,,,
2015-06-12,"8,511",,,,,
2015-06-15,"8,347",,,,,
2015-06-16,"8,400",,,,,
2015-06-17,"8,338",,,,,
2015-06-18,"8,399",,,,,
2015-06-19,"8,508",,,,,
2015-06-22,"8,864",,,,,
2015-06-23,"8,850",,,,,
2015-06-24,"8,794",,,,,
2015-06-25,"8,790",,,,,
2015-06-26,"8,850",,,,,
2015-06-29,"8,318",,,,,
2015-06-30,"8,289",,,,,
2015-07-01,"8,450",,,,,
2015-07-02,"8,334",,,,,
2015-07-03,"8,331",,,,,
2015-07-06,"8,060",,,,,
2015-07-07,"7,874",,,,,
2015-07-08,"7,976",,,,,
2015-07-09,"8,223",,,,,
2015-07-10,"8,502",,,,,
2015-07-13,"8,699",,,,,
2015-07-14,"8,748",,,,,
2015-07-15,"8,736",,,,,
2015-07-16,"8,830",,,,,
2015-07-17,"8,812",,,,,
2015-07-20,"8,859",,,,,
2015-07-21,"8,813",,,,,
2015-07-22,"8,859",,,,,
2015-07-23,"8,848",,,,,
