"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","2,638","2,910","2,980","2,561","62,76M","-13,37%"
"13.03.2020","3,045","3,310","3,436","2,949","44,19M","1,23%"
"12.03.2020","3,008","3,341","3,402","2,954","71,57M","-15,08%"
"11.03.2020","3,542","3,538","3,715","3,465","48,94M","2,64%"
"10.03.2020","3,451","3,581","3,769","3,412","49,46M","-1,37%"
"09.03.2020","3,499","3,750","3,750","3,460","66,37M","-13,22%"
"06.03.2020","4,032","4,025","4,088","3,955","31,92M","-2,21%"
"05.03.2020","4,123","4,362","4,364","4,094","36,71M","-4,71%"
"04.03.2020","4,327","4,278","4,359","4,190","34,59M","1,84%"
"03.03.2020","4,249","4,370","4,454","4,226","36,43M","-0,86%"
"02.03.2020","4,286","4,420","4,431","4,142","41,82M","-1,13%"
"28.02.2020","4,335","4,420","4,420","4,235","68,81M","-4,66%"
"27.02.2020","4,547","4,665","4,697","4,492","49,77M","-4,11%"
"26.02.2020","4,742","4,739","4,787","4,629","32,62M","-0,25%"
"25.02.2020","4,754","4,950","4,950","4,738","34,67M","-3,22%"
"24.02.2020","4,912","5,000","5,000","4,903","37,14M","-3,87%"
"21.02.2020","5,110","5,083","5,125","5,050","22,85M","0,12%"
"20.02.2020","5,104","5,159","5,213","5,104","19,88M","-1,35%"
"19.02.2020","5,174","5,198","5,210","5,145","13,89M","0,12%"
"18.02.2020","5,168","5,222","5,249","5,159","15,64M","-1,15%"
"17.02.2020","5,228","5,248","5,268","5,205","10,32M","-0,29%"
"14.02.2020","5,243","5,308","5,313","5,233","12,77M","-1,04%"
"13.02.2020","5,298","5,280","5,305","5,192","21,91M","-0,58%"
"12.02.2020","5,329","5,250","5,339","5,238","19,49M","1,83%"
"11.02.2020","5,233","5,250","5,282","5,175","18,21M","-0,17%"
"10.02.2020","5,242","5,202","5,290","5,197","27,47M","0,29%"
"07.02.2020","5,227","5,080","5,230","5,071","27,16M","2,49%"
"06.02.2020","5,100","4,981","5,137","4,970","49,68M","3,51%"
"05.02.2020","4,927","4,760","4,927","4,755","39,88M","2,97%"
"04.02.2020","4,785","4,700","4,816","4,697","18,49M","2,57%"
"03.02.2020","4,665","4,700","4,718","4,612","19,11M","-0,06%"
"31.01.2020","4,668","4,820","4,850","4,650","31,43M","-0,85%"
"30.01.2020","4,708","4,619","4,708","4,598","30,49M","0,86%"
"29.01.2020","4,668","4,640","4,692","4,609","25,61M","1,46%"
"28.01.2020","4,601","4,550","4,630","4,508","15,91M","1,52%"
"27.01.2020","4,532","4,554","4,586","4,497","19,36M","-1,63%"
"24.01.2020","4,607","4,717","4,746","4,604","16,47M","-1,22%"
"23.01.2020","4,664","4,704","4,739","4,631","29,64M","-0,72%"
"22.01.2020","4,698","4,747","4,758","4,677","15,59M","-1,05%"
"21.01.2020","4,748","4,728","4,765","4,713","35,38M","-0,34%"
"20.01.2020","4,764","4,814","4,814","4,750","9,24M","-0,87%"
"17.01.2020","4,806","4,819","4,854","4,800","28,09M","0,40%"
"16.01.2020","4,787","4,776","4,826","4,723","36,28M","0,21%"
"15.01.2020","4,777","4,846","4,852","4,771","18,95M","-1,69%"
"14.01.2020","4,859","4,913","4,915","4,825","31,27M","-1,30%"
"13.01.2020","4,923","4,998","5,004","4,896","17,67M","-1,48%"
"10.01.2020","4,997","5,070","5,078","4,997","12,67M","-1,63%"
"09.01.2020","5,080","5,096","5,117","5,063","19,15M","0,43%"
"08.01.2020","5,058","4,968","5,069","4,961","12,83M","0,96%"
"07.01.2020","5,010","5,051","5,079","4,983","10,19M","-0,44%"
"06.01.2020","5,032","5,000","5,039","4,944","11,34M","-0,44%"
"03.01.2020","5,054","5,078","5,078","5,016","13,40M","-1,10%"
"02.01.2020","5,110","5,031","5,124","5,021","11,85M","2,55%"
"31.12.2019","4,983","4,995","5,004","4,953","5,62M","-0,44%"
"30.12.2019","5,005","5,013","5,045","5,005","9,53M","-0,67%"
"27.12.2019","5,039","5,020","5,084","4,920","10,07M","-0,43%"
"24.12.2019","5,061","5,042","5,070","5,031","2,89M","-0,57%"
"23.12.2019","5,090","5,100","5,123","5,067","36,28M","-1,01%"
"20.12.2019","5,142","5,112","5,166","5,106","51,16M","-0,23%"
"19.12.2019","5,154","5,087","5,154","5,078","79,88M","1,16%"
"18.12.2019","5,095","5,042","5,110","5,042","25,78M","0,93%"
"17.12.2019","5,048","5,047","5,062","5,016","14,76M","-0,34%"
"16.12.2019","5,065","4,973","5,068","4,968","19,83M","2,34%"
"13.12.2019","4,949","5,040","5,069","4,945","51,16M","0,57%"
"12.12.2019","4,921","4,782","4,939","4,745","37,28M","3,30%"
"11.12.2019","4,764","4,739","4,809","4,732","25,84M","0,08%"
"10.12.2019","4,760","4,760","4,772","4,682","19,88M","0,08%"
"09.12.2019","4,756","4,790","4,837","4,756","22,68M","-0,56%"
"06.12.2019","4,783","4,738","4,798","4,715","13,33M","1,25%"
"05.12.2019","4,724","4,738","4,785","4,716","30,11M","-0,11%"
