fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-07-01,"11,1","0,27","8,64",0,"0,43",0,"837,5"
2020-07-02,"11,1","0,27","8,06",0,"0,43",0,"837,5"
2020-07-07,"11,66","0,27","8,06",0,"0,46",0,"780,46"
2020-07-08,"11,66","0,27","8,34",0,"0,46",0,"780,46"
2020-07-09,"11,66","0,27","8,46",0,"0,46",0,"780,46"
2020-07-10,"11,66","0,27","8,26",0,"0,46",0,"780,46"
2020-07-14,"11,65","0,27","8,20",0,"0,46",0,"780,46"
2020-07-15,"11,65","0,27","8,00",0,"0,46",0,"780,46"
2020-07-20,"11,91","0,27","8,14",0,"0,47",0,"780,46"
2020-07-21,"11,91","0,27","8,17",0,"0,47",0,"780,46"
2020-07-22,"11,91","0,27","8,17",0,"0,47",0,"780,46"
2020-07-23,"11,91","0,27","8,27",0,"0,47",0,"780,46"
2020-07-27,"11,74","0,27","8,61",0,"0,46",0,772
2020-07-28,"11,74","0,27","8,53",0,"0,46",0,772
2020-07-29,"11,74","0,27","8,86",0,"0,46",0,772
2020-07-31,"11,74","0,27","9,86",0,"0,46",0,772
