fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-08-28,"1,900","1,870","1,901","1,850",,"2,54%"
2020-08-27,"1,853","1,888","1,893","1,834","11,89M","-1,83%"
2020-08-26,"1,888","1,900","1,931","1,874","6,71M","-0,92%"
2020-08-25,"1,905","1,957","1,979","1,900","11,40M","-1,47%"
2020-08-24,"1,934","1,923","1,939","1,895","7,84M","1,36%"
2020-08-21,"1,908","1,953","1,957","1,893","9,57M","-1,68%"
2020-08-20,"1,940","1,950","1,962","1,926","8,19M","-2,24%"
2020-08-19,"1,985","1,943","1,988","1,933","5,54M","1,77%"
2020-08-18,"1,950","1,945","1,982","1,932","6,57M","-0,20%"
2020-08-17,"1,954","2,005","2,024","1,954","9,58M","-2,83%"
2020-08-14,"2,011","2,016","2,017","1,948","8,73M","-0,15%"
2020-08-13,"2,014","2,040","2,069","2,011","8,17M","-2,19%"
2020-08-12,"2,059","2,075","2,113","2,052","11,51M","-0,72%"
2020-08-11,"2,074","2,020","2,089","2,020","12,88M","3,34%"
2020-08-10,"2,007","1,957","2,010","1,954","9,37M","4,53%"
2020-08-07,"1,920","1,895","1,921","1,890","8,29M","0,52%"
2020-08-06,"1,910","1,939","1,962","1,885","11,29M","-1,77%"
2020-08-05,"1,944","1,984","2,005","1,938","10,53M","-1,42%"
2020-08-04,"1,972","1,930","1,977","1,919","27,66M","3,54%"
2020-08-03,"1,905","1,819","1,913","1,810","15,10M","4,67%"
