fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-07-01,"14,92","0,12","3,73",0,"0,44",0,757
2020-07-02,"14,92","0,12","3,52",0,"0,44",0,757
2020-07-07,"15,83","0,12","3,47",0,"0,47",0,757
2020-07-08,"15,83","0,12","3,54",0,"0,47",0,757
2020-07-09,"15,83","0,12","3,59",0,"0,47",0,757
2020-07-10,"15,83","0,12","3,51",0,"0,47",0,757
2020-07-14,"16,64","0,12","3,39",0,"0,47",0,"753,5"
2020-07-15,"16,64","0,12","3,35",0,"0,47",0,"753,5"
2020-07-20,"17,41","0,12","3,32",0,"0,5",0,"753,5"
2020-07-21,"17,41","0,12","3,32",0,"0,5",0,"753,5"
2020-07-22,"17,41","0,12","3,31",0,"0,5",0,"753,5"
2020-07-23,"17,41","0,12","3,33",0,"0,5",0,"753,5"
2020-07-27,"17,57","0,12","3,46",0,"0,5",0,750
2020-07-28,"17,57","0,12","3,41",0,"0,5",0,750
2020-07-29,"17,57","0,12","3,49",0,"0,5",0,750
2020-07-31,"17,57","0,12","3,85",0,"0,5",0,750
