"Año";"Periodo";"Producto Interior Bruto (PIB)"
"1995";"Trimestre 2";"0,62"
"1995";"Trimestre 3";"0,41"
"1995";"Trimestre 4";"0,76"
"1996";"Trimestre 1";"0,59"
"1996";"Trimestre 2";"0,73"
"1996";"Trimestre 3";"0,86"
"1996";"Trimestre 4";"0,53"
"1997";"Trimestre 1";"1,01"
"1997";"Trimestre 2";"0,91"
"1997";"Trimestre 3";"1,18"
"1997";"Trimestre 4";"1,38"
"1998";"Trimestre 1";"0,88"
"1998";"Trimestre 2";"1,12"
"1998";"Trimestre 3";"0,95"
"1998";"Trimestre 4";"1,1"
"1999";"Trimestre 1";"1"
"1999";"Trimestre 2";"1,19"
"1999";"Trimestre 3";"1,33"
"1999";"Trimestre 4";"1,14"
"2000";"Trimestre 1";"1,62"
"2000";"Trimestre 2";"1,24"
"2000";"Trimestre 3";"1,07"
"2000";"Trimestre 4";"1,01"
"2001";"Trimestre 1";"1,02"
"2001";"Trimestre 2";"0,72"
"2001";"Trimestre 3";"0,94"
"2001";"Trimestre 4";"0,71"
"2002";"Trimestre 1";"0,43"
"2002";"Trimestre 2";"0,85"
"2002";"Trimestre 3";"0,62"
"2002";"Trimestre 4";"0,76"
"2003";"Trimestre 1";"0,95"
"2003";"Trimestre 2";"0,5"
"2003";"Trimestre 3";"0,66"
"2003";"Trimestre 4";"0,86"
"2004";"Trimestre 1";"0,6"
"2004";"Trimestre 2";"0,98"
"2004";"Trimestre 3";"0,95"
"2004";"Trimestre 4";"0,68"
"2005";"Trimestre 1";"0,98"
"2005";"Trimestre 2";"0,89"
"2005";"Trimestre 3";"0,96"
"2005";"Trimestre 4";"1,02"
"2006";"Trimestre 1";"1,14"
"2006";"Trimestre 2";"0,97"
"2006";"Trimestre 3";"0,93"
"2006";"Trimestre 4";"0,96"
"2007";"Trimestre 1";"0,91"
"2007";"Trimestre 2";"0,9"
"2007";"Trimestre 3";"0,78"
"2007";"Trimestre 4";"0,64"
"2008";"Trimestre 1";"0,22"
"2008";"Trimestre 2";"0,12"
"2008";"Trimestre 3";"-0,19"
"2008";"Trimestre 4";"-1,59"
"2009";"Trimestre 1";"-2,58"
"2009";"Trimestre 2";"-0,03"
"2009";"Trimestre 3";"0,2"
"2009";"Trimestre 4";"-0,03"
"2010";"Trimestre 1";"-0,03"
"2010";"Trimestre 2";"0,14"
"2010";"Trimestre 3";"-0,06"
"2010";"Trimestre 4";"0,07"
"2011";"Trimestre 1";"-0,15"
"2011";"Trimestre 2";"-0,31"
"2011";"Trimestre 3";"-0,65"
"2011";"Trimestre 4";"-0,63"
"2012";"Trimestre 1";"-0,95"
"2012";"Trimestre 2";"-0,97"
"2012";"Trimestre 3";"-0,5"
"2012";"Trimestre 4";"-0,78"
"2013";"Trimestre 1";"-0,32"
"2013";"Trimestre 2";"-0,08"
"2013";"Trimestre 3";"-0,07"
"2013";"Trimestre 4";"0,17"
"2014";"Trimestre 1";"0,37"
"2014";"Trimestre 2";"0,46"
"2014";"Trimestre 3";"0,74"
"2014";"Trimestre 4";"0,86"
"2015";"Trimestre 1";"1,15"
"2015";"Trimestre 2";"1,07"
"2015";"Trimestre 3";"0,91"
"2015";"Trimestre 4";"0,96"
"2016";"Trimestre 1";"0,68"
"2016";"Trimestre 2";"0,43"
"2016";"Trimestre 3";"0,87"
"2016";"Trimestre 4";"0,47"
"2017";"Trimestre 1";"0,75"
"2017";"Trimestre 2";"1,02"
"2017";"Trimestre 3";"0,55"
"2017";"Trimestre 4";"0,68"
"2018";"Trimestre 1";"0,49"
"2018";"Trimestre 2";"0,55"
"2018";"Trimestre 3";"0,5"
"2018";"Trimestre 4";"0,56"
"2019";"Trimestre 1";"0,53"
"2019";"Trimestre 2";"0,36"
"2019";"Trimestre 3";"0,41"
"2019";"Trimestre 4";"0,47"
"2020";"Trimestre 1";"-5,21"
"2020";"Trimestre 2";"-18,50"
"2020";"Trimestre 3";"-18,50"
