fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-05-29,"24,420","24,720","24,840","24,420","4,64M","-1,61%"
2020-05-28,"24,820","24,250","24,930","24,170","1,52M","2,48%"
2020-05-27,"24,220","24,360","24,760","24,110","2,55M","-0,12%"
2020-05-26,"24,250","24,200","24,780","23,950","1,90M","0,54%"
2020-05-25,"24,120","22,800","24,120","22,800","1,12M","5,84%"
2020-05-22,"22,790","22,600","22,900","22,550","3,48M","-0,13%"
2020-05-21,"22,820","22,650","23,180","22,420","1,08M","-0,39%"
2020-05-20,"22,910","22,740","23,080","22,470","1,07M","0,57%"
2020-05-19,"22,780","22,940","22,940","22,230","1,99M","-0,57%"
2020-05-18,"22,910","22,960","22,990","22,690","938,33K","1,37%"
2020-05-15,"22,600","22,660","22,820","22,500","659,24K","0,04%"
2020-05-14,"22,590","23,110","23,600","22,590","1,27M","-3,74%"
2020-05-13,"23,468","22,975","23,517","22,975","1,02M","0,38%"
2020-05-12,"23,379","22,629","23,507","22,540","2,44M","3,59%"
2020-05-11,"22,570","23,211","23,547","22,452","3,36M","-2,68%"
2020-05-08,"23,192","22,550","23,241","22,461","2,01M","6,05%"
2020-05-07,"21,869","21,593","22,067","21,593","605,20K","-0,67%"
2020-05-06,"22,017","21,879","22,412","21,869","1,29M","-0,93%"
2020-05-05,"22,225","21,711","22,442","21,623","5,41M","2,74%"
2020-05-04,"21,632","21,593","22,027","21,297","4,02M","-3,86%"
