fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2007-01-02,"12,850","12,900","12,940","12,710","3,08M","1,18%","386.616,27","2,39","8,42","0,91"
2007-01-03,"12,660","12,850","12,860","12,600","2,74M","-1,48%","386.616,27","2,39","8,42","0,91"
2007-01-04,"12,450","12,590","12,720","12,380","2,33M","-1,66%","386.616,27","2,39","8,42","0,91"
2007-01-05,"12,200","12,360","12,360","12,070","3,70M","-2,01%","386.616,27","2,39","8,42","0,91"
2007-01-08,"12,190","12,170","12,280","12,150","1,93M","-0,08%","386.616,27","2,39","8,42","0,91"
2007-01-09,"12,450","12,220","12,500","12,220","1,97M","2,13%","386.616,27","2,39","8,42","0,91"
2007-01-10,"12,280","12,390","12,480","12,260","2,56M","-1,37%","386.616,27","2,39","8,42","0,91"
2007-01-11,"12,350","12,400","12,490","12,200","2,49M","0,57%","386.616,27","2,39","8,42","0,91"
2007-01-12,"12,500","12,310","12,530","12,310","1,76M","1,21%","386.616,27","2,39","8,42","0,91"
2007-01-15,"12,650","12,590","12,760","12,590","1,60M","1,20%","386.616,27","2,39","8,42","0,91"
2007-01-16,"12,430","12,640","12,740","12,360","1,31M","-1,74%","386.616,27","2,39","8,42","0,91"
2007-01-17,"12,520","12,560","12,630","12,450","1,25M","0,72%","386.616,27","2,39","8,42","0,91"
2007-01-18,"12,530","12,550","12,610","12,440","1,42M","0,08%","386.616,27","2,39","8,42","0,91"
2007-01-19,"12,660","12,470","12,710","12,440","1,51M","1,04%","386.616,27","2,39","8,42","0,91"
2007-01-22,"12,590","12,690","12,790","12,550","1,42M","-0,55%","386.616,27","2,39","8,42","0,91"
2007-01-23,"12,510","12,620","12,680","12,480","1,31M","-0,64%","386.616,27","2,39","8,42","0,91"
2007-01-24,"12,650","12,520","12,680","12,520","1,37M","1,12%","386.616,27","2,39","8,42","0,91"
2007-01-25,"12,570","12,700","12,700","12,500","1,20M","-0,63%","386.616,27","2,39","8,42","0,91"
2007-01-26,"12,370","12,510","12,530","12,280","2,26M","-1,59%","386.616,27","2,39","8,42","0,91"
2007-01-29,"12,490","12,390","12,500","12,310","1,08M","0,97%","386.616,27","2,39","8,42","0,91"
2007-01-30,"12,500","12,500","12,590","12,360","1,07M","0,08%","386.616,27","2,39","8,42","0,91"
2007-01-31,"12,580","12,470","12,600","12,400","1,65M","0,64%","386.616,27","2,39","8,42","0,91"
2007-02-01,"12,770","12,640","12,790","12,620","1,61M","1,51%","387.285,28","2,41","8,42","0,91"
2007-02-02,"12,770","12,830","12,900","12,740","1,28M","0,00%","387.285,28","2,41","8,42","0,91"
2007-02-05,"12,890","12,740","12,940","12,710","1,65M","0,94%","387.285,28","2,41","8,42","0,91"
2007-02-06,"13,340","12,950","13,390","12,910","3,40M","3,49%","387.285,28","2,41","8,42","0,91"
2007-02-07,"13,340","13,310","13,400","13,190","1,38M","0,00%","387.285,28","2,41","8,42","0,91"
2007-02-08,"13,440","13,350","13,500","13,320","1,93M","0,75%","387.285,28","2,41","8,42","0,91"
2007-02-09,"13,840","13,500","13,860","13,450","3,99M","2,98%","387.285,28","2,41","8,42","0,91"
2007-02-12,"13,700","13,760","13,760","13,650","2,76M","-1,01%","387.285,28","2,41","8,42","0,91"
2007-02-13,"13,530","13,710","13,770","13,450","2,12M","-1,24%","387.285,28","2,41","8,42","0,91"
2007-02-14,"13,690","13,620","13,730","13,570","1,46M","1,18%","387.285,28","2,41","8,42","0,91"
2007-02-15,"13,590","13,690","13,690","13,450","1,92M","-0,73%","387.285,28","2,41","8,42","0,91"
2007-02-16,"13,540","13,680","13,730","13,480","2,35M","-0,37%","387.285,28","2,41","8,42","0,91"
2007-02-19,"13,460","13,520","13,550","13,360","2,09M","-0,59%","387.285,28","2,41","8,42","0,91"
2007-02-20,"13,390","13,360","13,390","13,140","2,22M","-0,52%","387.285,28","2,41","8,42","0,91"
2007-02-21,"13,450","13,470","13,670","13,320","2,15M","0,45%","387.285,28","2,41","8,42","0,91"
2007-02-22,"13,570","13,690","13,750","13,480","2,42M","0,89%","387.285,28","2,41","8,42","0,91"
2007-02-23,"13,530","13,700","13,710","13,500","2,04M","-0,29%","387.285,28","2,41","8,42","0,91"
2007-02-26,"13,680","13,630","13,790","13,550","1,55M","1,11%","387.285,28","2,41","8,42","0,91"
2007-02-27,"13,170","13,560","13,650","13,030","4,06M","-3,73%","387.285,28","2,41","8,42","0,91"
2007-02-28,"13,300","13,080","13,420","12,600","5,47M","0,99%","387.285,28","2,41","8,42","0,91"
2007-03-01,"13,140","13,330","13,380","12,550","5,88M","-1,20%","398.733,54","2,46","8,42","0,91"
2007-03-02,"12,950","13,140","13,250","12,850","2,32M","-1,45%","398.733,54","2,46","8,42","0,91"
2007-03-05,"12,890","12,670","13,040","12,560","2,19M","-0,46%","398.733,54","2,46","8,42","0,91"
2007-03-06,"12,900","13,000","13,000","12,770","2,47M","0,08%","398.733,54","2,46","8,42","0,91"
2007-03-07,"13,230","13,300","13,300","13,050","2,71M","2,56%","398.733,54","2,46","8,42","0,91"
2007-03-08,"13,550","13,300","13,580","13,250","2,36M","2,42%","398.733,54","2,46","8,42","0,91"
2007-03-09,"13,420","13,590","13,630","13,250","2,46M","-0,96%","398.733,54","2,46","8,42","0,91"
2007-03-12,"13,260","13,510","13,590","13,200","1,97M","-1,19%","398.733,54","2,46","8,42","0,91"
2007-03-13,"13,270","13,260","13,420","13,220","1,29M","0,08%","398.733,54","2,46","8,42","0,91"
2007-03-14,"12,870","13,060","13,140","12,800","2,40M","-3,01%","398.733,54","2,46","8,42","0,91"
2007-03-15,"13,100","13,020","13,190","12,960","3,08M","1,79%","398.733,54","2,46","8,42","0,91"
2007-03-16,"13,100","13,000","13,160","12,950","1,76M","0,00%","398.733,54","2,46","8,42","0,91"
2007-03-19,"13,410","13,230","13,440","13,120","1,79M","2,37%","398.733,54","2,46","8,42","0,91"
2007-03-20,"13,470","13,460","13,540","13,230","2,38M","0,45%","398.733,54","2,46","8,42","0,91"
2007-03-21,"13,520","13,530","13,540","13,450","848,80K","0,37%","398.733,54","2,46","8,42","0,91"
2007-03-22,"13,730","13,590","13,830","13,590","2,17M","1,55%","398.733,54","2,46","8,42","0,91"
2007-03-23,"13,800","13,770","13,890","13,710","1,99M","0,51%","398.733,54","2,46","8,42","0,91"
2007-03-26,"13,770","13,850","13,900","13,700","1,41M","-0,22%","398.733,54","2,46","8,42","0,91"
2007-03-27,"13,750","13,880","13,950","13,550","1,29M","-0,15%","398.733,54","2,46","8,42","0,91"
