fecha,FER_ultimo,FER_per,FER_bpa,FER_rentabilidad_por_dividendo,FER_precio_valor_contable,FER_ebitda
2015-02-12,"17,235",,,,,
2015-02-13,"17,466",,,,,
2015-02-16,"17,386",,,,,
2015-02-17,"17,381",,,,,
2015-02-18,"17,343",,,,,
2015-02-19,"17,457",,,,,
2015-02-20,"17,452",,,,,
2015-02-23,"17,646",,,,,
2015-02-24,"17,646",,,,,
2015-02-25,"18,047",,,,,
2015-02-26,"17,986",,,,,
2015-02-27,"17,896",,,,,
2015-03-02,"17,764",,,,,
2015-03-03,"17,603",,,,,
2015-03-04,"17,778",,,,,
2015-03-05,"18,000",,,,,
2015-03-06,"17,924",,,,,
2015-03-09,"17,906",,,,,
2015-03-10,"17,896",,,,,
2015-03-11,"18,019",,,,,
2015-03-12,"17,863",,,,,
2015-03-13,"17,920",,,,,
2015-03-16,"18,331",,,,,
2015-03-17,"18,170",,,,,
2015-03-18,"18,198",,,,,
2015-03-19,"18,203",,,,,
2015-03-20,"18,473",,,,,
2015-03-23,"18,487",,,,,
2015-03-24,"18,529",,,,,
2015-03-25,"18,331",,,,,
2015-03-26,"18,217",,,,,
2015-03-27,"18,269",,,,,
2015-03-30,"18,397",,,,,
2015-03-31,"18,709",,,,,
2015-04-01,"19,053",,,,,
2015-04-02,"19,164",,,,,
2015-04-07,"19,708",,,,,
2015-04-08,"19,746",,,,,
2015-04-09,"19,876",,,,,
2015-04-10,"20,040",,,,,
2015-04-13,"20,131",,,,,
2015-04-14,"20,059",,,,,
2015-04-15,"20,049",,,,,
2015-04-16,"19,886",,,,,
2015-04-17,"19,424",,,,,
2015-04-20,"19,563",,,,,
2015-04-21,"19,770",,,,,
2015-04-22,"19,534",,,,,
2015-04-23,"19,443",,,,,
2015-04-24,"19,650",,,,,
2015-04-27,"19,785",,,,,
2015-04-28,"19,833",,,,,
2015-04-29,"19,390",,,,,
2015-04-30,"19,539",,,,,
2015-05-04,"19,823",,,,,
2015-05-05,"19,202",,,,,
2015-05-06,"18,915",,,,,
2015-05-07,"18,735",,,,,
2015-05-08,"19,026",,,,,
2015-05-11,"19,152",,,,,
2015-05-12,"18,963",,,,,
2015-05-13,"19,167",,,,,
2015-05-14,"19,278",,,,,
2015-05-15,"19,060",,,,,
2015-05-18,"19,280",,,,,
2015-05-19,"19,460",,,,,
2015-05-20,"19,430",,,,,
2015-05-21,"19,540",,,,,
2015-05-22,"19,540",,,,,
2015-05-25,"19,160",,,,,
2015-05-26,"19,030",,,,,
2015-05-27,"19,380",,,,,
2015-05-28,"19,230",,,,,
2015-05-29,"18,880",,,,,
2015-06-01,"19,000",,,,,
2015-06-02,"19,010",,,,,
2015-06-03,"18,970",,,,,
2015-06-04,"18,540",,,,,
2015-06-05,"18,530",,,,,
2015-06-08,"18,340",,,,,
2015-06-09,"18,580",,,,,
2015-06-10,"18,810",,,,,
2015-06-11,"18,820",,,,,
2015-06-12,"18,650",,,,,
2015-06-15,"18,340",,,,,
2015-06-16,"18,560",,,,,
2015-06-17,"18,520",,,,,
2015-06-18,"18,550",,,,,
2015-06-19,"18,680",,,,,
2015-06-22,"19,210",,,,,
2015-06-23,"19,310",,,,,
2015-06-24,"19,200",,,,,
2015-06-25,"19,320",,,,,
2015-06-26,"19,500",,,,,
2015-06-29,"18,850",,,,,
2015-06-30,"18,680",,,,,
2015-07-01,"19,060",,,,,
2015-07-02,"19,070",,,,,
2015-07-03,"19,160",,,,,
2015-07-06,"18,940",,,,,
2015-07-07,"18,620",,,,,
2015-07-08,"18,620",,,,,
2015-07-09,"19,040",,,,,
2015-07-10,"19,620",,,,,
2015-07-13,"19,950",,,,,
2015-07-14,"19,940",,,,,
2015-07-15,"20,170",,,,,
2015-07-16,"20,420",,,,,
2015-07-17,"20,530",,,,,
2015-07-20,"20,690",,,,,
2015-07-21,"20,440",,,,,
2015-07-22,"20,570",,,,,
2015-07-23,"20,600",,,,,
2015-07-24,"20,540",,,,,
2015-07-27,"20,270",,,,,
2015-07-28,"20,410",,,,,
2015-07-29,"20,570",,,,,
2015-07-30,"20,500",,,,,
2015-07-31,"21,260",,,,,
2015-08-03,"21,390",,,,,
2015-08-04,"20,960",,,,,
2015-08-05,"20,780",,,,,
2015-08-06,"20,860",,,,,
2015-08-07,"20,620",,,,,
2015-08-10,"20,980",,,,,
2015-08-11,"20,870",,,,,
2015-08-12,"20,370",,,,,
2015-08-13,"20,740",,,,,
2015-08-14,"20,710",,,,,
2015-08-17,"20,810",,,,,
2015-08-18,"20,710",,,,,
2015-08-19,"20,630",,,,,
2015-08-20,"20,170",,,,,
2015-08-21,"19,620",,,,,
2015-08-24,"18,890",,,,,
2015-08-25,"19,790",,,,,
2015-08-26,"19,850",,,,,
2015-08-27,"20,470",,,,,
2015-08-28,"20,420",,,,,
2015-08-31,"20,470",,,,,
2015-09-01,"20,340",,,,,
2015-09-02,"20,240",,,,,
2015-09-03,"20,550",,,,,
2015-09-04,"20,340",,,,,
2015-09-07,"20,380",,,,,
2015-09-08,"20,420",,,,,
2015-09-09,"20,800",,,,,
2015-09-10,"20,970",,,,,
2015-09-11,"20,820",,,,,
2015-09-14,"20,750",,,,,
2015-09-15,"20,940",,,,,
2015-09-16,"21,070",,,,,
2015-09-17,"21,220",,,,,
2015-09-18,"20,850",,,,,
2015-09-21,"21,070",,,,,
2015-09-22,"20,590",,,,,
2015-09-23,"20,610",,,,,
2015-09-24,"20,300",,,,,
2015-09-25,"20,710",,,,,
2015-09-28,"20,610",,,,,
2015-09-29,"20,150",,,,,
2015-09-30,"20,490",,,,,
2015-10-01,"20,650",,,,,
2015-10-02,"20,550",,,,,
2015-10-05,"20,840",,,,,
2015-10-06,"21,060",,,,,
2015-10-07,"20,790",,,,,
2015-10-08,"20,880",,,,,
2015-10-09,"20,510",,,,,
2015-10-12,"20,470",,,,,
2015-10-13,"20,660",,,,,
2015-10-14,"20,450",,,,,
2015-10-15,"20,850",,,,,
2015-10-16,"21,040",,,,,
2015-10-19,"21,110",,,,,
2015-10-20,"21,080",,,,,
2015-10-21,"21,250",,,,,
2015-10-22,"21,500",,,,,
2015-10-23,"21,740",,,,,
2015-10-26,"23,320",,,,,
2015-10-27,"23,100",,,,,
2015-10-28,"23,145",,,,,
2015-10-29,"23,275",,,,,
2015-10-30,"22,960",,,,,
