fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"143,65","0,17","2,91","60,81","4,62","420,01","86,33"
2020-06-02,"143,65","0,17","2,83","60,81","4,62","420,01","86,33"
2020-06-03,"143,65","0,17","2,78","60,81","4,62","420,01","86,33"
2020-06-04,"143,65","0,17","2,81","60,81","4,62","420,01","86,33"
2020-06-05,"143,65","0,17","2,77","60,81","4,62","420,01","86,33"
2020-06-08,"152,94","0,17","2,77","64,74","4,91","420,01","86,33"
2020-06-09,"152,94","0,17","2,79","64,74","4,91","420,01","86,33"
2020-06-10,"152,94","0,17","2,82","64,74","4,91","420,01","86,33"
2020-06-11,"152,94","0,17","2,92","64,74","4,91","420,01","86,33"
2020-06-12,"152,94","0,17","2,93","64,74","4,91","420,01","86,33"
2020-06-15,,,"2,90",,,,
2020-06-16,"144,71","0,17","2,81","61,26","4,65","414,85","43,52"
2020-06-17,"144,71","0,17","2,86","61,26","4,65","414,85","43,52"
2020-06-18,"144,71","0,17","2,86","61,26","4,65","414,85","43,52"
2020-06-19,"144,71","0,17","2,87","61,26","4,65","414,85","43,52"
2020-06-22,"172,86","0,15","2,87","62,5","4,91","414,85","- 15,82"
2020-06-23,"172,86","0,15","2,87","62,5","4,91","414,85","- 15,82"
2020-06-24,"172,86","0,15","2,94","62,5","4,91","414,85","- 15,82"
2020-06-25,"172,86","0,15","2,93","62,5","4,91","414,85","- 15,82"
2020-06-26,"172,86","0,15","2,97","62,5","4,91","414,85","- 15,82"
2020-06-29,"169,82","0,14","3,00","60,38","4,74","414,85","- 15,82"
2020-06-30,"169,82","0,14","3,04","60,38","4,74","414,85","- 15,82"
