fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-31,"8,984","8,780","8,984","8,662","19,40M","3,15%"
2020-03-30,"8,710","8,802","8,878","8,500","18,38M","-1,31%"
2020-03-27,"8,826","8,870","9,010","8,700","22,53M","-3,07%"
2020-03-26,"9,106","8,900","9,106","8,750","15,86M","-0,22%"
2020-03-25,"9,126","9,120","9,200","8,414","25,46M","3,61%"
2020-03-24,"8,808","8,356","8,880","8,344","29,27M","4,96%"
2020-03-23,"8,392","8,434","8,764","8,250","26,81M","-3,98%"
2020-03-20,"8,740","9,212","9,500","8,740","45,18M","-2,13%"
2020-03-19,"8,930","8,774","9,014","8,528","25,19M","2,48%"
2020-03-18,"8,714","8,882","8,980","8,456","33,92M","-3,84%"
2020-03-17,"9,062","8,588","9,200","8,520","36,34M","10,08%"
2020-03-16,"8,232","8,136","8,380","7,760","51,62M","-3,83%"
2020-03-13,"8,560","8,282","9,272","8,226","42,83M","5,00%"
2020-03-12,"8,152","9,008","9,162","8,008","65,24M","-14,06%"
2020-03-11,"9,486","9,746","9,794","9,316","49,91M","1,61%"
2020-03-10,"9,336","9,960","10,145","9,336","40,65M","-5,62%"
2020-03-09,"9,892","9,890","10,395","9,764","41,25M","-6,64%"
2020-03-06,"10,595","10,900","10,930","10,470","29,51M","-4,20%"
2020-03-05,"11,060","11,200","11,255","10,925","27,93M","-1,21%"
2020-03-04,"11,195","10,790","11,200","10,715","25,04M","3,61%"
2020-03-03,"10,805","10,785","10,995","10,740","30,73M","0,75%"
2020-03-02,"10,725","10,510","10,730","10,245","29,55M","3,92%"
