fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-16,"8,232","8,136","8,380","7,760","51,62M","-3,83%"
2020-03-13,"8,560","8,282","9,272","8,226","42,83M","5,00%"
2020-03-12,"8,152","9,008","9,162","8,008","65,24M","-14,06%"
2020-03-11,"9,486","9,746","9,794","9,316","49,91M","1,61%"
2020-03-10,"9,336","9,960","10,145","9,336","40,65M","-5,62%"
2020-03-09,"9,892","9,890","10,395","9,764","41,25M","-6,64%"
2020-03-06,"10,595","10,900","10,930","10,470","29,51M","-4,20%"
2020-03-05,"11,060","11,200","11,255","10,925","27,93M","-1,21%"
2020-03-04,"11,195","10,790","11,200","10,715","25,04M","3,61%"
2020-03-03,"10,805","10,785","10,995","10,740","30,73M","0,75%"
2020-03-02,"10,725","10,510","10,730","10,245","29,55M","3,92%"
2020-02-28,"10,320","10,390","10,505","10,140","47,10M","-4,18%"
2020-02-27,"10,770","11,070","11,285","10,730","37,75M","-3,88%"
2020-02-26,"11,205","10,660","11,215","10,550","29,27M","5,11%"
2020-02-25,"10,660","10,870","11,020","10,660","23,56M","-2,47%"
2020-02-24,"10,930","10,935","11,140","10,880","19,31M","-2,24%"
2020-02-21,"11,180","10,990","11,235","10,980","14,40M","1,31%"
2020-02-20,"11,035","11,195","11,295","11,035","17,52M","-1,65%"
2020-02-19,"11,220","11,070","11,345","11,025","19,81M","0,94%"
2020-02-18,"11,115","10,985","11,140","10,965","12,81M","0,50%"
2020-02-17,"11,060","10,860","11,065","10,830","10,00M","1,89%"
2020-02-14,"10,855","10,570","10,865","10,560","16,69M","2,50%"
2020-02-13,"10,590","10,430","10,595","10,365","62,50M","1,53%"
2020-02-12,"10,430","10,540","10,615","10,420","11,72M","-0,71%"
2020-02-11,"10,505","10,395","10,510","10,340","18,90M","1,20%"
2020-02-10,"10,380","10,260","10,380","10,220","12,44M","1,02%"
2020-02-07,"10,275","10,325","10,500","10,275","46,06M","-1,01%"
2020-02-06,"10,380","10,200","10,380","10,160","16,31M","1,76%"
2020-02-05,"10,200","9,950","10,205","9,900","36,62M","2,55%"
2020-02-04,"9,946","9,916","9,966","9,890","10,61M","0,44%"
2020-02-03,"9,902","9,898","9,962","9,866","12,34M","0,32%"
2020-01-31,"9,870","9,910","9,948","9,796","12,53M","-0,30%"
2020-01-30,"9,900","9,828","10,010","9,824","19,58M","0,30%"
2020-01-29,"9,870","9,858","9,898","9,810","12,83M","0,22%"
2020-01-28,"9,848","9,840","9,886","9,792","11,55M","0,45%"
2020-01-27,"9,804","9,800","9,930","9,794","15,71M","-0,83%"
2020-01-24,"9,886","9,692","9,896","9,692","16,93M","2,25%"
2020-01-23,"9,668","9,446","9,686","9,440","20,09M","2,24%"
2020-01-22,"9,456","9,416","9,478","9,398","17,13M","0,32%"
2020-01-21,"9,426","9,384","9,430","9,360","39,86M","-0,25%"
2020-01-20,"9,450","9,380","9,450","9,378","12,57M","0,49%"
2020-01-17,"9,404","9,320","9,422","9,314","22,49M","0,99%"
2020-01-16,"9,312","9,226","9,356","9,202","14,32M","1,11%"
2020-01-15,"9,210","9,014","9,220","8,990","22,96M","1,97%"
2020-01-14,"9,032","9,010","9,032","8,942","17,68M","0,36%"
2020-01-13,"9,000","8,982","9,042","8,926","12,87M","0,18%"
2020-01-10,"8,984","8,912","9,034","8,850","19,85M","1,74%"
2020-01-09,"8,830","8,872","8,902","8,812","13,43M","0,10%"
2020-01-08,"8,821","8,781","8,844","8,744","14,35M","0,34%"
2020-01-07,"8,791","8,950","8,956","8,791","24,03M","-1,95%"
2020-01-06,"8,966","8,958","9,001","8,911","8,99M","-0,50%"
2020-01-03,"9,011","8,984","9,027","8,950","12,91M","-0,45%"
2020-01-02,"9,052","9,041","9,094","9,017","10,79M","0,43%"
2019-12-31,"9,013","9,048","9,082","9,007","6,85M","-1,12%"
2019-12-30,"9,115","9,131","9,168","9,113","11,26M","-2,22%"
2019-12-27,"9,322","9,300","9,346","9,250","10,21M","0,82%"
2019-12-24,"9,246","9,220","9,284","9,208","2,30M","-0,37%"
2019-12-23,"9,280","9,248","9,280","9,220","10,97M","0,13%"
2019-12-20,"9,268","9,162","9,268","9,120","25,06M","1,62%"
2019-12-19,"9,120","9,168","9,208","9,084","23,80M","-0,48%"
2019-12-18,"9,164","9,164","9,234","9,146","22,79M","0,07%"
2019-12-17,"9,158","9,090","9,184","9,074","16,82M","0,86%"
2019-12-16,"9,080","9,040","9,100","9,024","14,80M","0,91%"
2019-12-13,"8,998","8,926","9,012","8,854","15,30M","0,99%"
2019-12-12,"8,910","8,950","8,960","8,886","14,47M","-0,42%"
2019-12-11,"8,948","8,814","8,950","8,794","23,96M","1,77%"
2019-12-10,"8,792","8,800","8,822","8,712","15,33M","-0,02%"
2019-12-09,"8,794","8,768","8,818","8,746","12,83M","0,25%"
2019-12-06,"8,772","8,700","8,818","8,656","9,80M","1,25%"
2019-12-05,"8,664","8,674","8,772","8,664","12,10M","-0,09%"
2019-12-04,"8,672","8,626","8,708","8,582","9,78M","0,84%"
2019-12-03,"8,600","8,630","8,684","8,566","30,25M","0,07%"
2019-12-02,"8,594","8,918","8,922","8,576","24,86M","-3,74%"
2019-11-29,"8,928","8,906","8,956","8,904","9,42M","0,13%"
2019-11-28,"8,916","8,920","8,970","8,892","4,63M","-0,13%"
2019-11-27,"8,928","8,902","8,978","8,894","14,02M","0,36%"
2019-11-26,"8,896","8,878","8,898","8,810","31,46M","-0,02%"
2019-11-25,"8,898","8,866","8,946","8,854","11,57M","0,27%"
2019-11-22,"8,874","8,874","8,908","8,842","11,70M","0,07%"
2019-11-21,"8,868","8,876","8,930","8,834","12,48M","-0,34%"
2019-11-20,"8,898","8,894","8,960","8,870","12,11M","-0,18%"
2019-11-19,"8,914","8,944","8,980","8,898","10,10M","-0,18%"
2019-11-18,"8,930","8,804","8,930","8,784","10,24M","1,25%"
2019-11-15,"8,820","8,830","8,858","8,802","26,75M","0,20%"
2019-11-14,"8,802","8,838","8,938","8,802","22,30M","-0,38%"
2019-11-13,"8,836","8,848","8,860","8,766","16,87M","-0,36%"
2019-11-12,"8,868","8,906","8,928","8,864","16,24M","-0,34%"
2019-11-11,"8,898","8,950","8,982","8,890","20,05M","-0,78%"
2019-11-08,"8,968","8,858","8,990","8,850","14,10M","1,04%"
2019-11-07,"8,876","9,040","9,048","8,870","20,20M","-1,90%"
2019-11-06,"9,048","9,040","9,048","8,954","15,07M","0,09%"
2019-11-05,"9,040","9,120","9,122","9,026","20,45M","-1,05%"
2019-11-04,"9,136","9,180","9,180","9,108","12,56M","-0,44%"
2019-11-01,"9,176","9,260","9,260","9,138","9,74M","-0,35%"
2019-10-31,"9,208","9,154","9,258","9,154","17,85M","0,88%"
2019-10-30,"9,128","9,196","9,196","9,080","22,42M","-0,24%"
2019-10-29,"9,150","9,194","9,218","9,072","21,31M","-0,35%"
2019-10-28,"9,182","9,198","9,204","9,124","9,58M","-0,37%"
2019-10-25,"9,216","9,226","9,246","9,170","8,96M","0,13%"
2019-10-24,"9,204","9,164","9,248","9,144","18,59M","0,79%"
2019-10-23,"9,132","9,080","9,156","9,062","12,31M","0,29%"
2019-10-22,"9,106","9,038","9,120","9,028","11,00M","0,51%"
2019-10-21,"9,060","9,128","9,150","9,030","18,01M","-0,68%"
2019-10-18,"9,122","9,044","9,134","9,044","23,15M","0,31%"
2019-10-17,"9,094","9,150","9,222","9,070","15,94M","-0,72%"
2019-10-16,"9,160","9,150","9,160","9,020","28,14M","0,04%"
2019-10-15,"9,156","9,226","9,264","9,154","17,70M","-1,06%"
2019-10-14,"9,254","9,200","9,300","9,174","20,04M","0,43%"
2019-10-11,"9,214","9,288","9,288","9,164","17,58M","-0,90%"
2019-10-10,"9,298","9,346","9,350","9,248","11,58M","-0,58%"
2019-10-09,"9,352","9,350","9,426","9,310","9,21M","0,21%"
2019-10-08,"9,332","9,424","9,464","9,332","13,61M","-0,98%"
2019-10-07,"9,424","9,344","9,448","9,344","11,12M","0,38%"
2019-10-04,"9,388","9,306","9,422","9,270","12,08M","0,95%"
2019-10-03,"9,300","9,294","9,374","9,268","9,38M","-0,11%"
2019-10-02,"9,310","9,446","9,448","9,302","13,79M","-1,17%"
2019-10-01,"9,420","9,532","9,578","9,382","10,31M","-1,22%"
2019-09-30,"9,536","9,426","9,540","9,398","12,57M","1,25%"
2019-09-27,"9,418","9,490","9,520","9,392","9,86M","-0,65%"
2019-09-26,"9,480","9,374","9,486","9,362","11,24M","0,98%"
2019-09-25,"9,388","9,428","9,444","9,352","18,31M","-0,51%"
2019-09-24,"9,436","9,352","9,436","9,312","13,49M","0,92%"
2019-09-23,"9,350","9,350","9,394","9,282","13,91M","0,84%"
2019-09-20,"9,272","9,360","9,446","9,272","57,53M","-0,64%"
2019-09-19,"9,332","9,334","9,354","9,272","9,53M","0,13%"
2019-09-18,"9,320","9,294","9,344","9,222","16,07M","0,54%"
2019-09-17,"9,270","9,176","9,296","9,160","22,68M","1,25%"
2019-09-16,"9,156","9,200","9,298","9,156","19,20M","-0,59%"
2019-09-13,"9,210","9,308","9,312","9,206","13,61M","-1,05%"
2019-09-12,"9,308","9,232","9,444","9,180","20,05M","1,24%"
2019-09-11,"9,194","9,232","9,254","9,060","21,21M","-0,02%"
2019-09-10,"9,196","9,192","9,214","9,076","22,10M","-0,37%"
2019-09-09,"9,230","9,388","9,414","9,172","17,31M","-2,10%"
2019-09-06,"9,428","9,416","9,448","9,324","15,11M","-0,11%"
2019-09-05,"9,438","9,510","9,522","9,398","11,91M","-0,63%"
2019-09-04,"9,498","9,550","9,572","9,442","13,36M","-0,29%"
2019-09-03,"9,526","9,414","9,526","9,414","11,56M","0,89%"
2019-09-02,"9,442","9,350","9,466","9,340","7,50M","0,96%"
2019-08-30,"9,352","9,384","9,438","9,352","10,57M","-0,04%"
2019-08-29,"9,356","9,292","9,406","9,290","9,30M","0,43%"
2019-08-28,"9,316","9,288","9,328","9,250","16,54M","0,13%"
2019-08-27,"9,304","9,254","9,306","9,220","15,83M","0,45%"
2019-08-26,"9,262","9,208","9,298","9,182","5,65M","0,02%"
