fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2009-02-11,"5,590","5,570","5,590","5,520",,"-3,95%","457.305,24","0,66","17,24","-2,58"
2009-02-12,"5,430","5,530","5,550","5,430",,"-2,86%","457.305,24","0,66","17,24","-2,58"
2009-02-13,"5,500","5,550","5,620","5,500",,"1,29%","457.305,24","0,66","17,24","-2,58"
2009-02-16,"5,350","5,480","5,500","5,350",,"-2,73%","457.305,24","0,66","17,24","-2,58"
2009-02-17,"5,660","5,350","5,660","5,340",,"5,79%","457.305,24","0,66","17,24","-2,58"
2009-02-18,"5,300","5,560","5,570","5,300",,"-6,36%","457.305,24","0,66","17,24","-2,58"
2009-02-19,"5,740","5,440","5,740","5,430",,"8,30%","457.305,24","0,66","17,24","-2,58"
2009-02-20,"5,460","5,550","5,660","5,460",,"-4,88%","457.305,24","0,66","17,24","-2,58"
2009-02-25,"5,180","5,370","5,460","5,180",,"-5,13%","457.305,24","0,66","17,24","-2,58"
2009-02-26,"5,430","5,280","5,430","5,240",,"4,83%","457.305,24","0,66","17,24","-2,58"
2009-02-27,"5,130","5,330","5,330","5,130",,"-5,52%","457.305,24","0,66","17,24","-2,58"
2009-03-06,"4,580","4,720","4,820","4,580",,"-10,72%","473.710,18","-0,06","17,24","-2,58"
2009-03-09,"4,440","4,510","4,510","4,440",,"-3,06%","473.710,18","-0,06","17,24","-2,58"
2009-03-10,"4,650","4,430","4,650","4,360",,"4,73%","473.710,18","-0,06","17,24","-2,58"
2009-03-11,"4,830","4,700","4,830","4,620",,"3,87%","473.710,18","-0,06","17,24","-2,58"
2009-03-12,"4,820","4,610","4,820","4,560",,"-0,21%","473.710,18","-0,06","17,24","-2,58"
2009-03-13,"4,910","5,050","5,070","4,910",,"1,87%","473.710,18","-0,06","17,24","-2,58"
2009-03-16,"5,330","5,120","5,330","5,110",,"8,55%","473.710,18","-0,06","17,24","-2,58"
2009-03-17,"5,390","5,220","5,390","5,210",,"1,13%","473.710,18","-0,06","17,24","-2,58"
2009-03-18,"5,240","5,420","5,460","5,240",,"-2,78%","473.710,18","-0,06","17,24","-2,58"
2009-03-19,"5,490","5,400","5,490","5,330",,"4,77%","473.710,18","-0,06","17,24","-2,58"
2009-03-20,"5,480","5,300","5,480","5,250",,"-0,18%","473.710,18","-0,06","17,24","-2,58"
2009-04-01,"5,390","5,260","5,390","5,240",,"-1,64%","486.588,49","-0,16","17,77","-0,03"
2009-04-02,"5,370","5,430","5,540","5,370",,"-0,37%","486.588,49","-0,16","17,77","-0,03"
2009-04-03,"5,380","5,450","5,570","5,380",,"0,19%","486.588,49","-0,16","17,77","-0,03"
2009-04-06,"5,410","5,570","5,640","5,410",,"0,56%","486.588,49","-0,16","17,77","-0,03"
2009-04-07,"5,660","5,510","5,660","5,500",,"4,62%","486.588,49","-0,16","17,77","-0,03"
2009-04-08,"5,630","5,510","5,630","5,470",,"-0,53%","486.588,49","-0,16","17,77","-0,03"
2009-04-09,"5,730","5,650","5,730","5,600",,"1,78%","486.588,49","-0,16","17,77","-0,03"
2009-04-16,"5,800","5,640","5,800","5,620",,"1,22%","486.588,49","-0,16","17,77","-0,03"
2009-04-17,"5,820","5,780","5,820","5,710",,"0,34%","486.588,49","-0,16","17,77","-0,03"
2009-04-20,"5,650","5,810","5,820","5,650",,"-2,92%","486.588,49","-0,16","17,77","-0,03"
2009-04-21,"5,530","5,680","5,750","5,530",,"-2,12%","486.588,49","-0,16","17,77","-0,03"
2009-04-22,"5,860","5,690","5,860","5,630",,"5,97%","486.588,49","-0,16","17,77","-0,03"
2009-04-23,"5,850","5,790","5,850","5,710",,"-0,17%","486.588,49","-0,16","17,77","-0,03"
2009-04-24,"5,890","5,860","5,890","5,790",,"0,68%","486.588,49","-0,16","17,77","-0,03"
2009-04-27,"5,810","5,760","5,810","5,710",,"-1,36%","486.588,49","-0,16","17,77","-0,03"
2009-04-28,"5,710","5,710","5,710","5,570",,"-1,72%","486.588,49","-0,16","17,77","-0,03"
2009-04-29,"5,910","5,750","5,910","5,750",,"3,50%","486.588,49","-0,16","17,77","-0,03"
2009-04-30,"6,050","5,930","6,050","5,920",,"2,37%","486.588,49","-0,16","17,77","-0,03"
2009-05-05,"5,990","6,040","6,110","5,990",,"-0,99%","492.602,11","-0,86","17,77","-0,03"
