fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-08-03,"19,16","0,57","1,51","8,48","1,72","10.547,76","3.618,5"
2020-08-04,"19,16","0,57","3,64","8,48","1,72","10.547,76","3.618,5"
2020-08-06,"19,16","0,57","3,69","8,48","1,72","10.547,76","3.618,5"
2020-08-10,"19,07","0,57","3,67","8,44","1,71","10.547,76","3.618,5"
2020-08-11,"19,07","0,57","3,65","8,44","1,71","10.547,76","3.618,5"
2020-08-12,"19,07","0,57","3,59","8,44","1,71","10.547,76","3.618,5"
2020-08-19,"19,25","0,57","3,70","8,52","1,73","10.547,76","3.618,5"
2020-08-24,"18,97","0,57","3,66","8,39","1,7","10.547,76","3.618,5"
2020-08-25,"18,97","0,57","3,67","8,39","1,7","10.547,76","3.618,5"
2020-08-26,"18,97","0,57","3,70","8,39","1,7","10.547,76","3.618,5"
2020-08-27,"18,97","0,57","3,72","8,39","1,7","10.547,76","3.618,5"
2020-08-28,"18,97","0,57","3,74","8,39","1,7","10.547,76","3.618,5"
