fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-07-31,"6.877,40","7.025,20","7.049,50","6.877,40",,"-1,70%"
2020-07-30,"6.996,60","7.192,30","7.192,70","6.924,70","324,38M","-2,91%"
2020-07-29,"7.206,20","7.247,60","7.260,20","7.171,30","210,36M","-0,55%"
2020-07-28,"7.246,40","7.191,90","7.257,30","7.170,60","162,30M","1,06%"
2020-07-27,"7.170,60","7.267,80","7.268,00","7.141,30","232,71M","-1,70%"
2020-07-24,"7.294,70","7.301,80","7.322,70","7.241,10","183,91M","-1,22%"
2020-07-23,"7.384,90","7.434,70","7.442,20","7.357,20","167,59M","-0,07%"
2020-07-22,"7.390,10","7.474,70","7.498,60","7.368,20","192,70M","-1,39%"
2020-07-21,"7.494,50","7.554,20","7.654,80","7.473,50","300,45M","0,22%"
2020-07-20,"7.478,00","7.442,50","7.495,50","7.365,10","148,68M","0,51%"
2020-07-17,"7.440,40","7.474,10","7.485,00","7.395,80","196,83M","-0,46%"
2020-07-16,"7.474,70","7.438,80","7.498,00","7.425,30","178,62M","-0,17%"
2020-07-15,"7.487,60","7.416,10","7.529,60","7.317,60","262,96M","1,84%"
2020-07-14,"7.352,00","7.344,40","7.352,00","7.268,40","201,39M","-1,01%"
2020-07-13,"7.426,90","7.403,20","7.452,10","7.345,90","179,02M","1,45%"
2020-07-10,"7.321,10","7.198,40","7.324,30","7.183,20","182,31M","1,16%"
2020-07-09,"7.236,90","7.369,90","7.383,50","7.221,10","176,47M","-1,22%"
2020-07-08,"7.326,40","7.361,00","7.382,70","7.307,40","213,49M","-1,62%"
2020-07-07,"7.447,40","7.491,50","7.511,30","7.441,30","191,35M","-1,44%"
2020-07-06,"7.556,20","7.566,50","7.632,30","7.517,30","253,51M","2,06%"
2020-07-03,"7.403,50","7.510,30","7.520,60","7.374,90","181,47M","-1,27%"
2020-07-02,"7.498,60","7.292,70","7.538,20","7.292,70","310,24M","3,75%"
2020-07-01,"7.227,40","7.245,60","7.283,90","7.127,10","194,03M","-0,06%"
