ultimo,apertura,maximo,minimo,vol,variacion
6103.0,6257.0,6344.0,5803.0,0.0,-7.94
6629.6,6763.7,7140.5,6468.3,473.17,3.74
6390.9,7040.8,7077.7,6347.0,723.61,-14.06
7436.4,7589.3,7717.1,7364.6,369.15,-0.34
7461.5,7815.6,8007.7,7440.6,506.03,-3.21
7708.7,7884.0,8022.9,7621.4,598.77,-7.96
8375.6,8532.6,8542.0,8310.4,345.9,-3.54
8683.0,8960.8,8962.5,8639.9,342.8,-2.55
8910.0,8827.8,8963.7,8745.9,321.26,1.12
8811.6,8860.2,9014.3,8776.4,351.22,0.8
8741.5,8910.2,8913.5,8541.1,355.48,0.21
8723.2,8748.1,8818.6,8582.7,497.98,-2.92
8985.9,9182.2,9204.4,8877.4,341.79,-3.55
9316.8,9213.0,9362.8,9030.7,299.26,0.71
9250.8,9507.0,9518.9,9248.0,263.35,-2.45
9483.5,9649.8,9676.8,9459.6,256.06,-4.07
9886.2,9893.0,9946.4,9843.5,194.95,-0.45
9931.0,10048.7,10050.3,9931.0,178.85,-1.51
10083.6,10042.0,10100.2,10020.7,151.87,0.78
10005.8,9977.4,10041.5,9967.8,184.04,-0.16
10022.2,9979.2,10022.2,9955.2,105.78,0.66
9956.8,9910.9,9969.7,9905.2,127.06,0.47
9909.8,9893.9,9910.1,9794.3,161.75,-0.31
9940.4,9897.9,9946.6,9888.6,199.83,0.58
9882.6,9863.4,9884.0,9817.8,167.63,0.68
9816.0,9790.6,9820.4,9773.5,132.13,0.05
9811.0,9789.3,9816.2,9761.8,179.59,-0.0
9811.3,9767.1,9816.2,9757.0,248.42,0.96
9717.8,9553.4,9721.9,9540.2,221.92,1.62
9562.9,9465.9,9577.3,9462.4,174.13,1.68
9404.7,9404.4,9431.6,9361.5,168.67,0.39
9367.9,9519.3,9545.1,9365.1,303.55,-1.16
9477.9,9460.8,9528.4,9439.3,164.09,-0.72
9546.7,9532.7,9574.3,9510.7,187.15,0.66
9484.2,9401.8,9488.0,9363.8,154.92,1.26
9366.3,9447.1,9482.8,9357.8,164.52,-2.05
9562.0,9576.8,9639.9,9552.5,154.73,0.46
9518.5,9549.4,9604.7,9499.3,169.14,-0.58
9573.7,9622.0,9632.8,9557.0,134.57,-0.39
9611.3,9593.4,9620.7,9550.0,126.45,-0.49
9658.8,9676.6,9680.9,9623.1,99.96,-0.23
9681.3,9616.1,9709.9,9611.3,159.82,1.14
9572.5,9516.7,9579.5,9481.6,133.84,0.64
9511.7,9521.2,9530.2,9475.0,162.0,-0.17
9528.3,9548.1,9548.4,9466.0,143.77,-0.16
9543.9,9586.6,9586.6,9507.4,124.15,-0.31
9573.6,9611.3,9623.6,9557.9,132.89,-0.09
9581.8,9629.2,9644.8,9573.8,151.79,-0.1
