ultimo,deuda_publica,ipc,tasa_paro,pib,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda,BBVA_ultimo,BBVA_per,BBVA_bpa,BBVA_rentabilidad_por_dividendo,BBVA_precio_valor_contable,BBVA_ebitda,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda,FER_ultimo,FER_per,FER_bpa,FER_rentabilidad_por_dividendo,FER_precio_valor_contable,FER_ebitda,IBE_ultimo,IBE_per,IBE_bpa,IBE_rentabilidad_por_dividendo,IBE_precio_valor_contable,IBE_ebitda,ITX_ultimo,ITX_per,ITX_bpa,ITX_rentabilidad_por_dividendo,ITX_precio_valor_contable,ITX_ebitda,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda,TEF_ultimo,TEF_per,TEF_bpa,TEF_rentabilidad_por_dividendo,TEF_precio_valor_contable,TEF_ebitda
10562.2,1044720.44,-1.07,23.78,1.15,70.0,0.0,0.0,0.0,0.0,0.0,35.39,0.0,0.0,0.0,0.0,0.0,7.802,0.0,0.0,0.0,0.0,0.0,3.774,0.0,0.0,0.0,0.0,0.0,17.235,0.0,0.0,0.0,0.0,0.0,5.459,0.0,0.0,0.0,0.0,0.0,26.32,0.0,0.0,0.0,0.0,0.0,15.029,0.0,0.0,0.0,0.0,0.0,5.91,0.0,0.0,0.0,0.0,0.0,12.841,0.0,0.0,0.0,0.0,0.0
10739.5,1044720.44,-1.07,23.78,1.15,74.0,0.0,0.0,0.0,0.0,0.0,35.52,0.0,0.0,0.0,0.0,0.0,8.043,0.0,0.0,0.0,0.0,0.0,3.926,0.0,0.0,0.0,0.0,0.0,17.466,0.0,0.0,0.0,0.0,0.0,5.471,0.0,0.0,0.0,0.0,0.0,26.645,0.0,0.0,0.0,0.0,0.0,15.472,0.0,0.0,0.0,0.0,0.0,6.057,0.0,0.0,0.0,0.0,0.0,12.934,0.0,0.0,0.0,0.0,0.0
10689.5,1044720.44,-1.07,23.78,1.15,72.5,0.0,0.0,0.0,0.0,0.0,35.475,0.0,0.0,0.0,0.0,0.0,7.987,0.0,0.0,0.0,0.0,0.0,3.917,0.0,0.0,0.0,0.0,0.0,17.386,0.0,0.0,0.0,0.0,0.0,5.402,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,15.417,0.0,0.0,0.0,0.0,0.0,6.049,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0
10698.0,1044720.44,-1.07,23.78,1.15,74.9,0.0,0.0,0.0,0.0,0.0,35.475,0.0,0.0,0.0,0.0,0.0,8.092,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,17.381,0.0,0.0,0.0,0.0,0.0,5.442,0.0,0.0,0.0,0.0,0.0,26.41,0.0,0.0,0.0,0.0,0.0,15.408,0.0,0.0,0.0,0.0,0.0,6.074,0.0,0.0,0.0,0.0,0.0,12.89,0.0,0.0,0.0,0.0,0.0
10805.3,1044720.44,-1.07,23.78,1.15,76.87,0.0,0.0,0.0,0.0,0.0,35.77,0.0,0.0,0.0,0.0,0.0,8.267,0.0,0.0,0.0,0.0,0.0,3.833,0.0,0.0,0.0,0.0,0.0,17.343,0.0,0.0,0.0,0.0,0.0,5.425,0.0,0.0,0.0,0.0,0.0,26.89,0.0,0.0,0.0,0.0,0.0,15.573,0.0,0.0,0.0,0.0,0.0,6.174,0.0,0.0,0.0,0.0,0.0,12.905,0.0,0.0,0.0,0.0,0.0
10910.4,1044720.44,-1.07,23.78,1.15,77.15,0.0,0.0,0.0,0.0,0.0,36.04,0.0,0.0,0.0,0.0,0.0,8.318,0.0,0.0,0.0,0.0,0.0,3.834,0.0,0.0,0.0,0.0,0.0,17.457,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,27.58,0.0,0.0,0.0,0.0,0.0,15.491,0.0,0.0,0.0,0.0,0.0,6.215,0.0,0.0,0.0,0.0,0.0,13.023,0.0,0.0,0.0,0.0,0.0
10879.3,1044720.44,-1.07,23.78,1.15,78.0,0.0,0.0,0.0,0.0,0.0,35.94,0.0,0.0,0.0,0.0,0.0,8.311,0.0,0.0,0.0,0.0,0.0,3.744,0.0,0.0,0.0,0.0,0.0,17.452,0.0,0.0,0.0,0.0,0.0,5.527,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,15.417,0.0,0.0,0.0,0.0,0.0,6.171,0.0,0.0,0.0,0.0,0.0,13.111,0.0,0.0,0.0,0.0,0.0
10990.1,1044720.44,-1.07,23.78,1.15,77.77,0.0,0.0,0.0,0.0,0.0,36.675,0.0,0.0,0.0,0.0,0.0,8.395,0.0,0.0,0.0,0.0,0.0,3.803,0.0,0.0,0.0,0.0,0.0,17.646,0.0,0.0,0.0,0.0,0.0,5.576,0.0,0.0,0.0,0.0,0.0,27.79,0.0,0.0,0.0,0.0,0.0,15.468,0.0,0.0,0.0,0.0,0.0,6.212,0.0,0.0,0.0,0.0,0.0,13.175,0.0,0.0,0.0,0.0,0.0
11064.5,1044720.44,-1.07,23.78,1.15,77.5,0.0,0.0,0.0,0.0,0.0,35.92,0.0,0.0,0.0,0.0,0.0,8.387,0.0,0.0,0.0,0.0,0.0,3.872,0.0,0.0,0.0,0.0,0.0,17.646,0.0,0.0,0.0,0.0,0.0,5.709,0.0,0.0,0.0,0.0,0.0,28.145,0.0,0.0,0.0,0.0,0.0,15.609,0.0,0.0,0.0,0.0,0.0,6.221,0.0,0.0,0.0,0.0,0.0,13.317,0.0,0.0,0.0,0.0,0.0
11049.5,1044720.44,-1.07,23.78,1.15,78.13,0.0,0.0,0.0,0.0,0.0,36.415,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,3.821,0.0,0.0,0.0,0.0,0.0,18.047,0.0,0.0,0.0,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,27.915,0.0,0.0,0.0,0.0,0.0,15.628,0.0,0.0,0.0,0.0,0.0,6.184,0.0,0.0,0.0,0.0,0.0,13.543,0.0,0.0,0.0,0.0,0.0
11139.5,1044720.44,-1.07,23.78,1.15,80.64,0.0,0.0,0.0,0.0,0.0,36.625,0.0,0.0,0.0,0.0,0.0,8.431,0.0,0.0,0.0,0.0,0.0,3.918,0.0,0.0,0.0,0.0,0.0,17.986,0.0,0.0,0.0,0.0,0.0,5.718,0.0,0.0,0.0,0.0,0.0,28.04,0.0,0.0,0.0,0.0,0.0,15.687,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,0.0,0.0,13.661,0.0,0.0,0.0,0.0,0.0
11178.3,1044720.44,-1.07,23.78,1.15,83.06,0.0,0.0,0.0,0.0,0.0,36.85,0.0,0.0,0.0,0.0,0.0,8.497,0.0,0.0,0.0,0.0,0.0,3.958,0.0,0.0,0.0,0.0,0.0,17.896,0.0,0.0,0.0,0.0,0.0,5.716,0.0,0.0,0.0,0.0,0.0,28.085,0.0,0.0,0.0,0.0,0.0,15.787,0.0,0.0,0.0,0.0,0.0,6.292,0.0,0.0,0.0,0.0,0.0,13.636,0.0,0.0,0.0,0.0,0.0
11178.5,1050632.43,-0.66,23.78,1.15,82.5,0.0,0.0,0.0,0.0,0.0,36.86,0.0,0.0,0.0,0.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,17.764,0.0,0.0,0.0,0.0,0.0,5.675,0.0,0.0,0.0,0.0,0.0,28.395,0.0,0.0,0.0,0.0,0.0,15.756,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,13.665,0.0,0.0,0.0,0.0,0.0
11014.7,1050632.43,-0.66,23.78,1.15,82.0,0.0,0.0,0.0,0.0,0.0,36.885,0.0,0.0,0.0,0.0,0.0,8.355,0.0,0.0,0.0,0.0,0.0,3.857,0.0,0.0,0.0,0.0,0.0,17.603,0.0,0.0,0.0,0.0,0.0,5.579,0.0,0.0,0.0,0.0,0.0,28.175,0.0,0.0,0.0,0.0,0.0,15.609,0.0,0.0,0.0,0.0,0.0,6.192,0.0,0.0,0.0,0.0,0.0,13.45,0.0,0.0,0.0,0.0,0.0
11051.3,1050632.43,-0.66,23.78,1.15,83.48,0.0,0.0,0.0,0.0,0.0,37.43,0.0,0.0,0.0,0.0,0.0,8.412,0.0,0.0,0.0,0.0,0.0,3.839,0.0,0.0,0.0,0.0,0.0,17.778,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,27.77,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,6.257,0.0,0.0,0.0,0.0,0.0,13.548,0.0,0.0,0.0,0.0,0.0
11124.4,1050632.43,-0.66,23.78,1.15,84.61,0.0,0.0,0.0,0.0,0.0,38.02,0.0,0.0,0.0,0.0,0.0,8.488,0.0,0.0,0.0,0.0,0.0,3.829,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.0,27.875,0.0,0.0,0.0,0.0,0.0,15.673,0.0,0.0,0.0,0.0,0.0,6.293,0.0,0.0,0.0,0.0,0.0,13.543,0.0,0.0,0.0,0.0,0.0
