ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2772.94,2773.63,2774.53,2765.69,0.0,-0.23,0.0,0.0,0.0,0.0
2756.07,2764.26,2764.26,2750.66,0.0,-0.61,0.0,0.0,0.0,0.0
2749.87,2748.25,2752.54,2745.74,0.0,-0.22,0.0,0.0,0.0,0.0
2763.62,2749.43,2766.34,2749.43,0.0,0.5,0.0,0.0,0.0,0.0
2772.87,2769.13,2781.56,2765.43,0.0,0.33,0.0,0.0,0.0,0.0
2767.01,2766.11,2770.17,2757.86,0.0,-0.21,0.0,0.0,0.0,0.0
2773.08,2768.29,2775.07,2761.89,0.0,0.22,0.0,0.0,0.0,0.0
2789.1,2771.74,2789.1,2768.29,0.0,0.58,0.0,0.0,0.0,0.0
2800.02,2790.43,2800.91,2777.11,0.0,0.39,0.0,0.0,0.0,0.0
2842.63,2808.95,2855.97,2806.86,0.0,1.52,0.0,0.0,0.0,0.0
2857.61,2854.47,2871.99,2852.54,0.0,0.53,0.0,0.0,0.0,0.0
2851.12,2854.18,2856.48,2841.43,0.0,-0.23,0.0,0.0,0.0,0.0
2857.59,2852.41,2861.43,2850.93,0.0,0.23,0.0,0.0,0.0,0.0
2857.5,2857.5,2857.5,2852.4,0.0,-0.0,0.0,0.0,0.0,0.0
2847.5,2847.5,2853.4,2847.5,0.0,-0.35,0.0,0.0,0.0,0.0
2826.2,2826.2,2838.7,2826.2,0.0,-0.75,0.0,0.0,0.0,0.0
2830.4,2830.4,2830.4,2813.8,0.0,0.15,0.0,0.0,0.0,0.0
2830.4,2830.4,2830.4,2819.0,0.0,0.0,0.0,0.0,0.0,0.0
2830.4,2830.4,2830.4,2830.4,0.0,0.0,0.0,0.0,0.0,0.0
2740.89,2748.84,2751.19,2727.73,0.0,-3.16,0.0,0.0,0.0,0.0
2760.65,2737.59,2763.78,2737.44,0.0,0.72,0.0,0.0,0.0,0.0
2754.41,2756.59,2759.27,2746.47,0.0,-0.23,0.0,0.0,0.0,0.0
2759.08,2752.25,2759.08,2751.61,0.0,0.17,0.0,0.0,0.0,0.0
2756.31,2754.44,2758.63,2751.71,0.0,-0.1,0.0,0.0,0.0,0.0
2744.07,2755.03,2755.77,2739.65,0.0,-0.44,0.0,0.0,0.0,0.0
2726.26,2738.24,2740.42,2720.3,0.0,-0.65,0.0,0.0,0.0,0.0
2735.95,2726.64,2736.16,2724.05,0.0,0.36,0.0,0.0,0.0,0.0
2751.47,2739.43,2752.28,2739.21,0.0,0.57,0.0,0.0,0.0,0.0
2747.95,2761.35,2762.7,2743.59,0.0,-0.13,0.0,0.0,0.0,0.0
2759.38,2744.19,2761.13,2742.4,0.0,0.42,0.0,0.0,0.0,0.0
2777.75,2777.14,2784.0,2772.31,0.0,0.67,0.0,0.0,0.0,0.0
2806.58,2781.97,2806.61,2781.33,0.0,1.04,0.0,0.0,0.0,0.0
2796.56,2794.52,2796.56,2781.95,0.0,-0.36,0.0,0.0,0.0,0.0
2771.42,2784.49,2786.28,2765.63,0.0,-0.9,0.0,0.0,0.0,0.0
2756.1,2760.55,2762.21,2752.73,0.0,-0.55,0.0,0.0,0.0,0.0
2786.8,2765.13,2787.04,2764.79,0.0,1.11,0.0,0.0,0.0,0.0
2777.56,2789.12,2792.34,2776.98,0.0,-0.33,0.0,0.0,0.0,0.0
2775.69,2772.87,2776.4,2768.51,0.0,-0.07,0.0,0.0,0.0,0.0
2765.08,2768.78,2768.87,2760.51,0.0,-0.38,0.0,0.0,0.0,0.0
2709.92,2736.67,2739.36,2705.17,0.0,-1.99,0.0,0.0,0.0,0.0
2709.04,2697.91,2712.07,2697.91,0.0,-0.03,0.0,0.0,0.0,0.0
2694.11,2709.82,2710.26,2690.86,0.0,-0.55,0.0,0.0,0.0,0.0
2673.12,2688.63,2692.29,2673.04,0.0,-0.78,0.0,0.0,0.0,0.0
2704.0,2687.58,2708.04,2687.49,0.0,1.16,0.0,0.0,0.0,0.0
2698.45,2715.4,2717.77,2689.28,0.0,-0.21,0.0,0.0,0.0,0.0
2677.74,2683.83,2683.98,2671.41,0.0,-0.77,0.0,0.0,0.0,0.0
2660.16,2669.01,2672.39,2650.4,0.0,-0.66,0.0,0.0,0.0,0.0
2632.6,2645.76,2646.08,2625.08,0.0,-1.04,0.0,0.0,0.0,0.0
2634.62,2615.59,2644.62,2614.95,0.0,0.08,0.0,0.0,0.0,0.0
2600.59,2565.13,2605.08,2564.11,0.0,-1.29,0.0,0.0,0.0,0.0
2594.04,2605.83,2633.68,2587.73,0.0,-0.25,0.0,0.0,0.0,0.0
2615.21,2594.09,2615.29,2591.54,0.0,0.82,0.0,0.0,0.0,0.0
2604.15,2616.3,2617.47,2592.9,0.0,-0.42,0.0,0.0,0.0,0.0
2597.86,2596.44,2598.19,2586.98,0.0,-0.24,0.0,0.0,0.0,0.0
2567.27,2580.0,2582.95,2552.12,0.0,-1.18,0.0,0.0,0.0,0.0
2585.8,2562.82,2590.01,2562.07,0.0,0.72,0.0,0.0,0.0,0.0
2587.63,2587.27,2589.39,2561.77,0.0,0.07,0.0,0.0,0.0,0.0
2609.91,2603.12,2613.02,2601.11,0.0,0.86,0.0,0.0,0.0,0.0
2610.56,2614.46,2619.93,2598.84,0.0,0.02,0.0,0.0,0.0,0.0
2573.69,2574.52,2579.27,2558.52,0.0,-1.41,0.0,0.0,0.0,0.0
2596.21,2586.13,2596.46,2582.44,0.0,0.88,0.0,0.0,0.0,0.0
2598.2,2599.16,2603.32,2598.09,0.0,0.08,0.0,0.0,0.0,0.0
2588.14,2585.39,2588.7,2576.6,0.0,-0.39,0.0,0.0,0.0,0.0
2550.01,2562.88,2565.25,2549.32,0.0,-1.47,0.0,0.0,0.0,0.0
2524.26,2536.17,2538.04,2518.23,0.0,-1.01,0.0,0.0,0.0,0.0
2535.64,2518.54,2536.41,2518.54,0.0,0.45,0.0,0.0,0.0,0.0
2546.77,2565.84,2571.29,2543.77,0.0,0.44,0.0,0.0,0.0,0.0
2514.58,2481.22,2526.6,2481.22,0.0,-1.26,0.0,0.0,0.0,0.0
2507.28,2511.03,2512.6,2501.08,0.0,-0.29,0.0,0.0,0.0,0.0
2482.06,2491.58,2492.02,2476.61,0.0,-1.01,0.0,0.0,0.0,0.0
2452.57,2466.4,2466.4,2439.93,0.0,-1.19,0.0,0.0,0.0,0.0
2465.05,2441.7,2475.3,2438.84,0.0,0.51,0.0,0.0,0.0,0.0
2457.28,2450.84,2457.82,2445.96,0.0,-0.32,0.0,0.0,0.0,0.0
2492.25,2476.36,2499.5,2476.36,0.0,1.42,0.0,0.0,0.0,0.0
2513.68,2512.95,2516.67,2503.41,0.0,0.86,0.0,0.0,0.0,0.0
2561.21,2521.54,2561.21,2521.39,0.0,1.89,0.0,0.0,0.0,0.0
2603.3,2592.89,2608.42,2584.25,0.0,1.64,0.0,0.0,0.0,0.0
2507.83,2548.27,2548.27,2500.87,0.0,-3.67,0.0,0.0,0.0,0.0
2572.34,2503.98,2577.24,2503.65,0.0,2.57,0.0,0.0,0.0,0.0
2607.31,2576.07,2607.31,2575.61,0.0,1.36,0.0,0.0,0.0,0.0
2627.39,2607.08,2627.91,2597.7,0.0,0.77,0.0,0.0,0.0,0.0
2679.14,2629.69,2681.25,2629.69,0.0,1.97,0.0,0.0,0.0,0.0
2683.44,2684.54,2692.12,2660.03,0.0,0.16,0.0,0.0,0.0,0.0
2680.0,2680.0,2680.0,2680.0,0.0,-0.13,0.0,0.0,0.0,0.0
2693.0,2693.0,2693.0,2693.0,0.0,0.49,0.0,0.0,0.0,0.0
2754.0,2754.0,2754.0,2754.0,0.0,2.27,0.0,0.0,0.0,0.0
2734.0,2734.0,2734.0,2734.0,0.0,-0.73,0.0,0.0,0.0,0.0
2700.0,2700.0,2700.0,2700.0,0.0,-1.24,0.0,0.0,0.0,0.0
2685.45,2676.65,2685.7,2665.53,0.0,-0.54,0.0,0.0,0.0,0.0
2685.65,2685.26,2700.2,2679.84,0.0,0.01,0.0,0.0,0.0,0.0
2671.92,2672.42,2676.42,2667.92,0.0,-0.51,0.0,0.0,0.0,0.0
2673.19,2677.71,2682.87,2669.0,0.0,0.05,0.0,0.0,0.0,0.0
2681.29,2660.54,2684.72,2657.87,0.0,0.3,0.0,0.0,0.0,0.0
2705.3,2689.99,2705.88,2689.99,0.0,0.9,0.0,0.0,0.0,0.0
2716.17,2707.62,2716.17,2703.77,0.0,0.4,0.0,0.0,0.0,0.0
2700.77,2712.62,2717.54,2684.05,0.0,-0.57,0.0,0.0,0.0,0.0
2700.39,2687.2,2700.39,2685.69,0.0,-0.01,0.0,0.0,0.0,0.0
2711.79,2709.64,2718.92,2705.21,0.0,0.42,0.0,0.0,0.0,0.0
2717.46,2705.96,2719.77,2704.41,0.0,0.21,0.0,0.0,0.0,0.0
2737.82,2715.47,2740.92,2712.34,0.0,0.75,0.0,0.0,0.0,0.0
2740.06,2744.26,2753.97,2738.12,0.0,0.08,0.0,0.0,0.0,0.0
2726.69,2729.06,2735.27,2724.73,0.0,-0.49,0.0,0.0,0.0,0.0
2723.62,2716.46,2724.35,2708.8,0.0,-0.11,0.0,0.0,0.0,0.0
2728.13,2700.5,2730.41,2700.29,0.0,0.17,0.0,0.0,0.0,0.0
2760.12,2737.06,2760.12,2737.06,0.0,1.17,0.0,0.0,0.0,0.0
2762.03,2763.38,2767.93,2746.07,0.0,0.07,0.0,0.0,0.0,0.0
2751.96,2775.62,2778.43,2748.47,0.0,-0.36,0.0,0.0,0.0,0.0
2755.81,2746.66,2756.81,2746.13,0.0,0.14,0.0,0.0,0.0,0.0
2760.34,2747.76,2760.85,2745.36,0.0,0.16,0.0,0.0,0.0,0.0
2787.68,2768.8,2787.68,2768.74,0.0,0.99,0.0,0.0,0.0,0.0
2772.29,2779.95,2787.54,2757.74,0.0,-0.55,0.0,0.0,0.0,0.0
2783.32,2769.8,2783.32,2768.12,0.0,0.4,0.0,0.0,0.0,0.0
2750.77,2763.71,2769.53,2741.16,0.0,-1.17,0.0,0.0,0.0,0.0
2772.12,2741.2,2774.58,2741.2,0.0,0.78,0.0,0.0,0.0,0.0
2766.77,2791.87,2792.46,2759.44,0.0,-0.19,0.0,0.0,0.0,0.0
2802.28,2777.85,2804.12,2777.85,0.0,1.28,0.0,0.0,0.0,0.0
2830.13,2824.48,2841.46,2824.34,0.0,0.99,0.0,0.0,0.0,0.0
2857.18,2824.87,2858.98,2818.96,0.0,0.96,0.0,0.0,0.0,0.0
2854.35,2847.84,2859.03,2846.22,0.0,-0.1,0.0,0.0,0.0,0.0
2849.37,2856.8,2863.67,2842.55,0.0,-0.17,0.0,0.0,0.0,0.0
2849.76,2850.76,2854.02,2847.52,0.0,0.01,0.0,0.0,0.0,0.0
2829.73,2836.1,2836.76,2821.79,0.0,-0.7,0.0,0.0,0.0,0.0
2815.42,2807.52,2815.42,2806.31,0.0,-0.51,0.0,0.0,0.0,0.0
2821.59,2812.55,2824.78,2812.3,0.0,0.22,0.0,0.0,0.0,0.0
2830.33,2829.81,2830.99,2823.87,0.0,0.31,0.0,0.0,0.0,0.0
2821.76,2826.32,2829.91,2818.22,0.0,-0.3,0.0,0.0,0.0,0.0
2782.9,2762.75,2800.02,2760.19,0.0,-1.38,0.0,0.0,0.0,0.0
2792.38,2789.47,2799.3,2788.68,0.0,0.34,0.0,0.0,0.0,0.0
2782.16,2792.78,2795.22,2780.18,0.0,-0.37,0.0,0.0,0.0,0.0
2787.47,2777.33,2787.47,2777.33,0.0,0.19,0.0,0.0,0.0,0.0
2780.59,2782.3,2784.0,2774.56,0.0,-0.25,0.0,0.0,0.0,0.0
2779.12,2781.34,2785.24,2773.69,0.0,-0.05,0.0,0.0,0.0,0.0
2757.87,2772.22,2775.25,2747.56,0.0,-0.76,0.0,0.0,0.0,0.0
2756.48,2747.92,2756.54,2740.66,0.0,-0.05,0.0,0.0,0.0,0.0
2735.56,2755.71,2761.67,2734.01,0.0,-0.76,0.0,0.0,0.0,0.0
2751.53,2739.64,2751.79,2738.39,0.0,0.58,0.0,0.0,0.0,0.0
2761.95,2751.89,2762.23,2751.51,0.0,0.38,0.0,0.0,0.0,0.0
2756.0,2749.15,2756.4,2748.13,0.0,-0.22,0.0,0.0,0.0,0.0
2750.42,2758.05,2761.74,2745.03,0.0,-0.2,0.0,0.0,0.0,0.0
2724.97,2731.03,2731.11,2716.23,0.0,-0.93,0.0,0.0,0.0,0.0
2719.86,2727.22,2727.22,2709.86,0.0,-0.19,0.0,0.0,0.0,0.0
2698.51,2712.28,2713.11,2695.34,0.0,-0.78,0.0,0.0,0.0,0.0
2684.23,2689.15,2690.75,2672.94,0.0,-0.53,0.0,0.0,0.0,0.0
2689.33,2680.31,2697.11,2679.11,0.0,0.19,0.0,0.0,0.0,0.0
2656.73,2664.5,2676.12,2654.62,0.0,-1.21,0.0,0.0,0.0,0.0
2661.35,2643.24,2663.84,2633.27,0.0,0.17,0.0,0.0,0.0,0.0
2701.29,2690.49,2708.24,2688.47,0.0,1.5,0.0,0.0,0.0,0.0
2676.54,2691.6,2693.56,2670.31,0.0,-0.92,0.0,0.0,0.0,0.0
2689.71,2676.54,2690.55,2668.45,0.0,0.49,0.0,0.0,0.0,0.0
2721.4,2689.71,2730.23,2689.71,0.0,1.18,0.0,0.0,0.0,0.0
2740.91,2721.4,2741.96,2721.4,0.0,0.72,0.0,0.0,0.0,0.0
2735.51,2740.91,2740.91,2726.89,0.0,-0.2,0.0,0.0,0.0,0.0
2719.07,2735.51,2744.28,2716.71,0.0,-0.6,0.0,0.0,0.0,0.0
2692.37,2719.07,2719.07,2690.2,0.0,-0.98,0.0,0.0,0.0,0.0
2699.05,2689.43,2699.05,2683.24,0.0,0.25,0.0,0.0,0.0,0.0
2693.52,2699.05,2699.05,2686.56,0.0,-0.2,0.0,0.0,0.0,0.0
2689.35,2686.28,2690.3,2683.79,0.0,-0.15,0.0,0.0,0.0,0.0
2694.09,2685.67,2694.11,2681.03,0.0,0.18,0.0,0.0,0.0,0.0
2682.43,2684.24,2686.98,2675.56,0.0,-0.43,0.0,0.0,0.0,0.0
2681.38,2677.59,2683.29,2670.51,0.0,-0.04,0.0,0.0,0.0,0.0
2681.75,2688.77,2697.22,2678.23,0.0,0.01,0.0,0.0,0.0,0.0
2691.68,2676.42,2692.18,2673.62,0.0,0.37,0.0,0.0,0.0,0.0
2706.6,2694.38,2707.09,2694.33,0.0,0.55,0.0,0.0,0.0,0.0
2740.91,2709.83,2740.91,2709.65,0.0,1.27,0.0,0.0,0.0,0.0
2788.93,2763.75,2789.37,2763.46,0.0,1.75,0.0,0.0,0.0,0.0
2776.61,2778.89,2788.93,2770.93,0.0,-0.44,0.0,0.0,0.0,0.0
2807.02,2773.89,2810.0,2773.89,0.0,1.1,0.0,0.0,0.0,0.0
2810.24,2821.03,2835.18,2801.0,0.0,0.11,0.0,0.0,0.0,0.0
2794.35,2810.24,2810.24,2784.55,0.0,-0.57,0.0,0.0,0.0,0.0
2805.69,2783.35,2807.02,2783.14,0.0,0.41,0.0,0.0,0.0,0.0
2799.77,2808.81,2813.78,2793.48,0.0,-0.21,0.0,0.0,0.0,0.0
2802.41,2793.76,2804.3,2787.57,0.0,0.09,0.0,0.0,0.0,0.0
2813.8,2803.64,2817.26,2803.64,0.0,0.41,0.0,0.0,0.0,0.0
2810.12,2808.83,2812.38,2805.24,0.0,-0.13,0.0,0.0,0.0,0.0
2793.31,2791.53,2810.12,2786.97,0.0,-0.6,0.0,0.0,0.0,0.0
2793.46,2796.5,2796.91,2786.41,0.0,0.01,0.0,0.0,0.0,0.0
2784.42,2793.46,2793.46,2779.37,0.0,-0.32,0.0,0.0,0.0,0.0
2793.05,2778.64,2795.52,2778.64,0.0,0.31,0.0,0.0,0.0,0.0
2813.89,2795.65,2815.5,2795.65,0.0,0.75,0.0,0.0,0.0,0.0
2809.73,2811.8,2813.89,2799.46,0.0,-0.15,0.0,0.0,0.0,0.0
2827.31,2818.27,2827.31,2817.43,0.0,0.63,0.0,0.0,0.0,0.0
2802.23,2809.68,2811.27,2777.41,0.0,-0.89,0.0,0.0,0.0,0.0
2777.36,2781.33,2784.04,2768.84,0.0,-0.89,0.0,0.0,0.0,0.0
2741.17,2772.61,2772.61,2740.31,0.0,-1.3,0.0,0.0,0.0,0.0
2735.58,2741.8,2744.86,2730.57,0.0,-0.2,0.0,0.0,0.0,0.0
2702.13,2735.58,2735.58,2694.63,0.0,-1.22,0.0,0.0,0.0,0.0
2703.32,2697.62,2710.01,2696.63,0.0,0.04,0.0,0.0,0.0,0.0
2680.79,2691.51,2692.19,2663.43,0.0,-0.83,0.0,0.0,0.0,0.0
2663.99,2652.36,2682.91,2648.01,0.0,-0.63,0.0,0.0,0.0,0.0
2643.81,2652.29,2657.59,2634.08,0.0,-0.76,0.0,0.0,0.0,0.0
2671.37,2643.92,2672.59,2643.59,0.0,1.04,0.0,0.0,0.0,0.0
2667.09,2654.3,2673.29,2647.16,0.0,-0.16,0.0,0.0,0.0,0.0
2647.47,2653.54,2667.09,2637.85,0.0,-0.74,0.0,0.0,0.0,0.0
2683.44,2657.63,2690.59,2657.63,0.0,1.36,0.0,0.0,0.0,0.0
2643.92,2672.11,2672.11,2639.95,0.0,-1.47,0.0,0.0,0.0,0.0
2620.14,2639.12,2643.92,2616.82,0.0,-0.9,0.0,0.0,0.0,0.0
2575.38,2603.78,2604.07,2566.73,0.0,-1.71,0.0,0.0,0.0,0.0
2591.78,2571.92,2592.51,2545.35,0.0,0.64,0.0,0.0,0.0,0.0
2609.65,2588.41,2610.39,2583.73,0.0,0.69,0.0,0.0,0.0,0.0
2564.52,2599.0,2606.31,2556.18,0.0,-1.73,0.0,0.0,0.0,0.0
2553.82,2566.97,2568.0,2527.59,0.0,-0.42,0.0,0.0,0.0,0.0
2521.17,2553.82,2574.46,2509.09,0.0,-1.28,0.0,0.0,0.0,0.0
2523.15,2521.46,2536.12,2515.35,0.0,0.08,0.0,0.0,0.0,0.0
2556.27,2523.35,2556.29,2520.18,0.0,1.31,0.0,0.0,0.0,0.0
2528.53,2548.28,2549.23,2516.15,0.0,-1.09,0.0,0.0,0.0,0.0
2527.16,2517.03,2527.16,2508.0,0.0,-0.05,0.0,0.0,0.0,0.0
2496.83,2508.3,2509.04,2492.61,0.0,-1.2,0.0,0.0,0.0,0.0
2523.2,2495.58,2528.16,2491.61,0.0,1.06,0.0,0.0,0.0,0.0
2518.32,2526.21,2527.76,2514.5,0.0,-0.19,0.0,0.0,0.0,0.0
2520.65,2525.54,2525.54,2512.81,0.0,0.09,0.0,0.0,0.0,0.0
2506.15,2521.28,2525.15,2491.03,0.0,-0.58,0.0,0.0,0.0,0.0
2459.4,2492.55,2497.97,2446.0,0.0,-1.87,0.0,0.0,0.0,0.0
2427.63,2459.4,2469.06,2424.34,0.0,-1.29,0.0,0.0,0.0,0.0
2361.77,2406.47,2406.47,2355.62,0.0,-2.71,0.0,0.0,0.0,0.0
2291.09,2331.41,2336.64,2244.6,0.0,-2.99,0.0,0.0,0.0,0.0
2325.19,2306.35,2336.16,2289.68,0.0,1.49,0.0,0.0,0.0,0.0
2273.45,2325.19,2325.19,2264.96,0.0,-2.23,0.0,0.0,0.0,0.0
2252.74,2263.08,2264.0,2249.23,0.0,-0.91,0.0,0.0,0.0,0.0
2246.06,2248.91,2279.26,2242.53,0.0,-0.3,0.0,0.0,0.0,0.0
2227.15,2248.8,2256.66,2224.21,0.0,-0.84,0.0,0.0,0.0,0.0
2222.87,2224.46,2228.42,2213.55,0.0,-0.19,0.0,0.0,0.0,0.0
2279.2,2244.25,2279.37,2243.13,0.0,2.53,0.0,0.0,0.0,0.0
2271.31,2281.31,2281.31,2263.27,0.0,-0.35,0.0,0.0,0.0,0.0
2289.85,2266.38,2292.89,2256.13,0.0,0.82,0.0,0.0,0.0,0.0
2289.59,2280.88,2289.61,2269.66,0.0,-0.01,0.0,0.0,0.0,0.0
2310.37,2299.17,2315.4,2299.17,0.0,0.91,0.0,0.0,0.0,0.0
2309.42,2304.96,2311.44,2300.3,0.0,-0.04,0.0,0.0,0.0,0.0
