fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2015-02-12,"10.562,20","10.349,60","10.607,10","10.328,50","328,00M","1,90%","1.044.720,44","-1,07","23,78","1,15"
2015-02-13,"10.739,50","10.618,50","10.794,90","10.606,70","427,94M","1,68%","1.044.720,44","-1,07","23,78","1,15"
2015-02-16,"10.689,50","10.717,80","10.793,10","10.679,90","220,58M","-0,47%","1.044.720,44","-1,07","23,78","1,15"
2015-02-17,"10.698,00","10.591,60","10.730,10","10.526,60","272,47M","0,08%","1.044.720,44","-1,07","23,78","1,15"
2015-02-18,"10.805,30","10.764,60","10.852,60","10.764,10","298,37M","1,00%","1.044.720,44","-1,07","23,78","1,15"
2015-02-19,"10.910,40","10.781,00","10.918,40","10.726,30","350,26M","0,97%","1.044.720,44","-1,07","23,78","1,15"
2015-02-20,"10.879,30","10.889,80","10.916,80","10.759,00","336,30M","-0,29%","1.044.720,44","-1,07","23,78","1,15"
2015-02-23,"10.990,10","11.001,30","11.015,40","10.935,10","272,02M","1,02%","1.044.720,44","-1,07","23,78","1,15"
2015-02-24,"11.064,50","11.027,70","11.082,70","10.951,10","297,63M","0,68%","1.044.720,44","-1,07","23,78","1,15"
2015-02-25,"11.049,50","11.027,90","11.072,50","11.011,70","255,50M","-0,14%","1.044.720,44","-1,07","23,78","1,15"
2015-02-26,"11.139,50","11.023,30","11.145,90","11.014,40","271,21M","0,81%","1.044.720,44","-1,07","23,78","1,15"
2015-02-27,"11.178,30","11.142,90","11.184,50","11.070,80","412,54M","0,35%","1.044.720,44","-1,07","23,78","1,15"
2015-03-02,"11.178,50","11.190,50","11.239,80","11.123,30","312,32M","0,00%","1.050.632,43","-0,66","23,78","1,15"
2015-03-03,"11.014,70","11.197,60","11.212,80","11.001,70","246,88M","-1,47%","1.050.632,43","-0,66","23,78","1,15"
2015-03-04,"11.051,30","11.048,10","11.079,30","10.921,40","253,27M","0,33%","1.050.632,43","-0,66","23,78","1,15"
2015-03-05,"11.124,40","11.078,10","11.154,30","11.039,20","260,66M","0,66%","1.050.632,43","-0,66","23,78","1,15"
2015-03-06,"11.091,90","11.144,50","11.158,90","11.070,20","272,19M","-0,29%","1.050.632,43","-0,66","23,78","1,15"
2015-03-09,"11.054,20","11.007,90","11.078,80","10.962,40","221,02M","-0,34%","1.050.632,43","-0,66","23,78","1,15"
2015-03-10,"10.902,20","11.060,50","11.081,20","10.858,40","299,03M","-1,38%","1.050.632,43","-0,66","23,78","1,15"
2015-03-11,"11.021,80","10.950,30","11.048,20","10.908,00","265,92M","1,10%","1.050.632,43","-0,66","23,78","1,15"
2015-03-12,"11.011,80","11.022,90","11.068,00","10.993,10","439,29M","-0,09%","1.050.632,43","-0,66","23,78","1,15"
2015-03-13,"11.033,80","11.072,90","11.077,70","10.993,50","253,11M","0,20%","1.050.632,43","-0,66","23,78","1,15"
2015-03-16,"11.114,70","11.082,40","11.146,70","11.077,40","292,85M","0,73%","1.050.632,43","-0,66","23,78","1,15"
2015-03-17,"11.028,10","11.117,50","11.129,00","10.953,70","260,65M","-0,78%","1.050.632,43","-0,66","23,78","1,15"
2015-03-18,"11.050,00","11.057,40","11.076,00","10.957,70","295,71M","0,20%","1.050.632,43","-0,66","23,78","1,15"
2015-03-19,"11.091,00","11.062,90","11.146,50","11.040,20","259,18M","0,37%","1.050.632,43","-0,66","23,78","1,15"
2015-03-20,"11.419,60","11.109,80","11.458,30","11.090,20","618,65M","2,96%","1.050.632,43","-0,66","23,78","1,15"
2015-03-23,"11.452,80","11.394,00","11.465,40","11.364,30","328,74M","0,29%","1.050.632,43","-0,66","23,78","1,15"
2015-03-24,"11.579,30","11.428,50","11.618,30","11.409,90","331,91M","1,10%","1.050.632,43","-0,66","23,78","1,15"
2015-03-25,"11.464,70","11.560,70","11.591,70","11.449,30","252,13M","-0,99%","1.050.632,43","-0,66","23,78","1,15"
2015-03-26,"11.453,80","11.400,40","11.453,80","11.294,70","308,56M","-0,10%","1.050.632,43","-0,66","23,78","1,15"
