"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.08.2011","9.037,70","9.033,70","9.297,30","8.958,60","306,54M","-0,85%"
"02.08.2011","9.114,90","9.236,10","9.342,60","9.114,90","387,97M","-2,18%"
"01.08.2011","9.318,20","9.713,00","9.752,30","9.316,40","290,08M","-3,24%"
"29.07.2011","9.630,70","9.540,30","9.679,00","9.499,80","254,01M","-0,27%"
"28.07.2011","9.657,00","9.544,30","9.707,40","9.517,10","247,61M","0,14%"
"27.07.2011","9.643,30","9.762,20","9.782,20","9.569,70","238,02M","-1,93%"
"26.07.2011","9.833,40","9.897,80","9.930,30","9.756,90","201,92M","-0,33%"
"25.07.2011","9.866,20","10.005,20","10.009,60","9.826,60","211,89M","-1,92%"
"22.07.2011","10.059,30","10.099,30","10.221,50","10.017,20","377,17M","0,42%"
"21.07.2011","10.017,60","9.803,10","10.073,50","9.650,50","369,24M","2,93%"
"20.07.2011","9.732,80","9.546,60","9.744,40","9.531,30","293,58M","3,06%"
"19.07.2011","9.443,80","9.395,50","9.540,70","9.379,40","218,85M","1,03%"
"18.07.2011","9.347,80","9.443,80","9.511,10","9.332,20","235,90M","-1,44%"
"15.07.2011","9.484,20","9.553,40","9.607,10","9.449,80","287,27M","-1,19%"
"14.07.2011","9.598,60","9.563,50","9.678,40","9.535,40","205,29M","-0,71%"
"13.07.2011","9.666,90","9.520,40","9.719,70","9.508,00","293,13M","0,66%"
"12.07.2011","9.603,40","9.553,80","9.690,30","9.276,10","449,76M","-0,69%"
"11.07.2011","9.670,60","9.867,40","9.870,30","9.588,10","338,07M","-2,69%"
"08.07.2011","9.938,20","10.232,30","10.261,10","9.920,40","334,06M","-2,53%"
"07.07.2011","10.196,20","10.234,30","10.356,50","10.123,00","226,50M","-0,08%"
"06.07.2011","10.204,50","10.286,70","10.288,60","10.129,80","247,53M","-1,22%"
"05.07.2011","10.330,10","10.442,80","10.443,30","10.307,80","178,94M","-1,32%"
"04.07.2011","10.468,00","10.524,20","10.524,20","10.428,40","121,60M","-0,23%"
"01.07.2011","10.492,00","10.359,40","10.536,80","10.321,70","265,15M","1,28%"
"30.06.2011","10.359,90","10.205,20","10.359,90","10.191,80","241,84M","2,13%"
"29.06.2011","10.143,60","10.001,50","10.234,90","9.998,20","235,84M","2,08%"
"28.06.2011","9.936,70","9.898,60","10.002,00","9.823,60","214,09M","0,65%"
