fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-08-28,"24,010","23,900","24,290","23,750",,"0,00%"
2020-08-27,"24,010","23,930","24,070","23,750","2,02M","0,21%"
2020-08-26,"23,960","23,590","24,000","23,560","1,65M","1,05%"
2020-08-25,"23,710","23,740","24,050","23,590","1,80M","0,08%"
2020-08-24,"23,690","23,310","23,820","23,310","1,57M","2,24%"
2020-08-21,"23,170","23,080","23,250","22,680","1,61M","0,96%"
2020-08-20,"22,950","23,000","23,170","22,820","1,70M","-1,38%"
2020-08-19,"23,270","23,300","23,300","22,980","2,04M","-0,09%"
2020-08-18,"23,290","23,580","23,670","23,130","1,88M","-1,73%"
2020-08-17,"23,700","23,710","23,800","23,480","1,12M","0,08%"
2020-08-14,"23,680","24,080","24,130","23,430","1,68M","-1,74%"
2020-08-13,"24,100","24,000","24,160","23,870","2,24M","0,17%"
2020-08-12,"24,060","23,810","24,150","23,670","2,82M","1,35%"
2020-08-11,"23,740","22,880","23,870","22,880","3,91M","4,63%"
2020-08-10,"22,690","22,710","22,790","22,440","1,36M","0,67%"
2020-08-07,"22,540","22,260","22,580","22,160","1,61M","0,71%"
2020-08-06,"22,380","22,660","22,700","22,220","2,07M","-1,32%"
2020-08-05,"22,680","22,670","22,900","22,600","2,29M","0,98%"
2020-08-04,"22,460","22,590","22,660","22,130","2,70M","0,00%"
2020-08-03,"22,460","22,450","22,610","22,030","3,83M","-0,27%"
