fecha,ITX_ultimo,ITX_per,ITX_bpa,ITX_rentabilidad_por_dividendo,ITX_precio_valor_contable,ITX_ebitda
2015-02-12,"26,320",,,,,
2015-02-13,"26,645",,,,,
2015-02-16,"26,400",,,,,
2015-02-17,"26,410",,,,,
2015-02-18,"26,890",,,,,
2015-02-19,"27,580",,,,,
2015-02-20,"27,300",,,,,
2015-02-23,"27,790",,,,,
2015-02-24,"28,145",,,,,
2015-02-25,"27,915",,,,,
2015-02-26,"28,040",,,,,
2015-02-27,"28,085",,,,,
2015-03-02,"28,395",,,,,
2015-03-03,"28,175",,,,,
2015-03-04,"27,770",,,,,
2015-03-05,"27,875",,,,,
2015-03-06,"28,060",,,,,
2015-03-09,"27,785",,,,,
2015-03-10,"27,360",,,,,
2015-03-11,"27,650",,,,,
2015-03-12,"27,625",,,,,
2015-03-13,"28,160",,,,,
2015-03-16,"28,810",,,,,
2015-03-17,"28,170",,,,,
2015-03-18,"29,150",,,,,
2015-03-19,"29,595",,,,,
2015-03-20,"30,210",,,,,
2015-03-23,"30,040",,,,,
2015-03-24,"30,245",,,,,
2015-03-25,"29,705",,,,,
2015-03-26,"29,615",,,,,
2015-03-27,"29,645",,,,,
2015-03-30,"29,820",,,,,
2015-03-31,"29,880",,,,,
2015-04-01,"29,705",,,,,
2015-04-02,"30,190",,,,,
2015-04-07,"30,535",,,,,
2015-04-08,"30,350",,,,,
2015-04-09,"30,685",,,,,
2015-04-10,"30,880",,,,,
2015-04-13,"30,975",,,,,
2015-04-14,"30,610",,,,,
2015-04-15,"30,910",,,,,
2015-04-16,"30,340",,,,,
2015-04-17,"29,425",,,,,
2015-04-20,"29,350",,,,,
2015-04-21,"29,490",,,,,
2015-04-22,"29,155",,,,,
2015-04-23,"29,075",,,,,
2015-04-24,"29,280",,,,,
2015-04-27,"29,925",,,,,
2015-04-28,"29,515",,,,,
2015-04-29,"28,710",,,,,
2015-04-30,"28,675",,,,,
2015-05-04,"28,605",,,,,
2015-05-05,"27,710",,,,,
