fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"35,79","0,7","1,75","22,53","5,17",5.550,"2.223,02"
2020-06-02,"35,79","0,7","1,71","22,53","5,17",5.550,"2.223,02"
2020-06-03,"35,79","0,7","1,65","22,53","5,17",5.550,"2.223,02"
2020-06-04,"35,79","0,7","1,67","22,53","5,17",5.550,"2.223,02"
2020-06-05,"35,79","0,7","1,64","22,53","5,17",5.550,"2.223,02"
2020-06-08,"42,7","0,63","1,67","26,26","5,6","5.235,81",1.969
2020-06-09,"42,7","0,63","1,71","26,26","5,6","5.235,81",1.969
2020-06-10,"42,7","0,63","1,68","26,26","5,6","5.235,81",1.969
2020-06-11,"42,7","0,63","1,77","26,26","5,6","5.235,81",1.969
2020-06-12,"42,7","0,63","1,80","26,26","5,6","5.235,81",1.969
2020-06-15,,,"1,84",,,,
2020-06-16,"46,94","0,52","1,78","23,83","5,13","5.019,08","1.697,25"
2020-06-17,"46,94","0,52","1,75","23,83","5,13","5.019,08","1.697,25"
2020-06-18,"46,94","0,52","1,78","23,83","5,13","5.019,08","1.697,25"
2020-06-19,"46,94","0,52","1,76","23,83","5,13","5.019,08","1.697,25"
2020-06-22,"47,98","0,52","1,80","24,81","5,19","4.994,32","1.684,16"
2020-06-23,"47,98","0,52","1,80","24,81","5,19","4.994,32","1.684,16"
2020-06-24,"47,98","0,52","1,83","24,81","5,19","4.994,32","1.684,16"
2020-06-25,"47,98","0,52","1,83","24,81","5,19","4.994,32","1.684,16"
2020-06-26,"47,98","0,52","1,85","24,81","5,19","4.994,32","1.684,16"
2020-06-29,"45,67","0,52","1,84","23,62","4,94","4.994,32","1.684,16"
2020-06-30,"45,67","0,52","1,87","23,62","4,94","4.994,32","1.684,16"
