fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-31,"8,332","7,820","8,390","7,722","14,91M","9,75%"
2020-03-30,"7,592","7,640","7,790","7,210","8,76M","3,35%"
2020-03-27,"7,346","7,500","7,546","7,202","12,85M","-3,97%"
2020-03-26,"7,650","7,224","7,680","7,160","16,78M","3,74%"
2020-03-25,"7,374","7,526","7,880","6,958","14,43M","2,62%"
2020-03-24,"7,186","6,650","7,186","6,450","43,69M","15,68%"
2020-03-23,"6,212","6,100","6,450","6,100","39,43M","0,71%"
2020-03-20,"6,168","6,470","6,638","6,158","35,96M","2,29%"
2020-03-19,"6,030","6,180","6,412","5,920","26,75M","-1,82%"
2020-03-18,"6,142","6,678","6,772","6,136","19,66M","-9,25%"
2020-03-17,"6,768","7,480","7,480","6,550","31,94M","-0,09%"
2020-03-16,"6,774","7,322","7,376","6,520","39,74M","-10,18%"
2020-03-13,"7,542","8,222","8,280","7,412","17,69M","4,63%"
2020-03-12,"7,208","8,008","8,022","7,162","41,43M","-13,34%"
2020-03-11,"8,318","8,438","8,530","8,242","28,38M","0,46%"
2020-03-10,"8,280","8,294","9,022","8,148","23,65M","1,62%"
2020-03-09,"8,148","8,000","8,506","7,958","35,55M","-15,13%"
2020-03-06,"9,600","10,000","10,000","9,600","16,59M","-4,86%"
2020-03-05,"10,090","10,355","10,355","10,030","15,77M","-1,94%"
2020-03-04,"10,290","10,385","10,435","10,170","12,70M","-0,58%"
2020-03-03,"10,350","10,470","10,675","10,280","10,56M","1,32%"
2020-03-02,"10,215","10,510","10,515","9,972","19,08M","0,84%"
