fecha,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda
2015-02-12,"15,029",,,,,
2015-02-13,"15,472",,,,,
2015-02-16,"15,417",,,,,
2015-02-17,"15,408",,,,,
2015-02-18,"15,573",,,,,
2015-02-19,"15,491",,,,,
2015-02-20,"15,417",,,,,
2015-02-23,"15,468",,,,,
2015-02-24,"15,609",,,,,
2015-02-25,"15,628",,,,,
2015-02-26,"15,687",,,,,
2015-02-27,"15,787",,,,,
2015-03-02,"15,756",,,,,
2015-03-03,"15,609",,,,,
2015-03-04,"15,600",,,,,
2015-03-05,"15,673",,,,,
2015-03-06,"15,573",,,,,
2015-03-09,"15,609",,,,,
2015-03-10,"15,262",,,,,
2015-03-11,"15,207",,,,,
2015-03-12,"15,175",,,,,
2015-03-13,"14,869",,,,,
2015-03-16,"14,851",,,,,
2015-03-17,"14,965",,,,,
2015-03-18,"15,002",,,,,
2015-03-19,"15,166",,,,,
2015-03-20,"15,874",,,,,
2015-03-23,"15,856",,,,,
2015-03-24,"16,011",,,,,
2015-03-25,"15,902",,,,,
2015-03-26,"15,952",,,,,
2015-03-27,"15,756",,,,,
2015-03-30,"15,943",,,,,
2015-03-31,"15,842",,,,,
2015-04-01,"16,021",,,,,
2015-04-02,"16,030",,,,,
2015-04-07,"16,505",,,,,
2015-04-08,"16,386",,,,,
2015-04-09,"16,660",,,,,
2015-04-10,"16,587",,,,,
2015-04-13,"16,825",,,,,
2015-04-14,"16,715",,,,,
2015-04-15,"16,875",,,,,
2015-04-16,"16,738",,,,,
2015-04-17,"16,546",,,,,
2015-04-20,"16,665",,,,,
2015-04-21,"16,619",,,,,
2015-04-22,"16,505",,,,,
2015-04-23,"16,647",,,,,
2015-04-24,"16,683",,,,,
2015-04-27,"16,912",,,,,
2015-04-28,"16,944",,,,,
2015-04-29,"16,806",,,,,
2015-04-30,"16,829",,,,,
2015-05-04,"16,893",,,,,
2015-05-05,"16,701",,,,,
2015-05-06,"16,843",,,,,
2015-05-07,"16,290",,,,,
2015-05-08,"16,619",,,,,
2015-05-11,"16,624",,,,,
2015-05-12,"16,555",,,,,
2015-05-13,"16,514",,,,,
2015-05-14,"16,592",,,,,
2015-05-15,"15,974",,,,,
2015-05-18,"15,925",,,,,
2015-05-19,"16,046",,,,,
2015-05-20,"16,166",,,,,
2015-05-21,"16,224",,,,,
2015-05-22,"16,238",,,,,
