fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-05-04,"17,32","0,48","12,12","3,04","0,51",4.501,"814,71"
2020-05-05,"17,32","0,48","10,71","3,04","0,51",4.501,"814,71"
2020-05-06,"17,32","0,48","10,92","3,04","0,51",4.501,"814,71"
2020-05-07,"17,32","0,48","10,59","3,04","0,51",4.501,"814,71"
2020-05-12,"14,89","0,58","11,12","3,44","0,54",4.499,833
2020-05-13,"14,89","0,58","11,51","3,44","0,54",4.499,833
2020-05-14,"14,89","0,58","11,37","3,44","0,54",4.499,833
2020-05-15,"14,89","0,58","11,46","3,44","0,54",4.499,833
2020-05-18,"14,89","0,58","10,75","3,44","0,54",4.499,833
2020-05-19,"14,89","0,58","10,87","3,44","0,54",4.499,833
2020-05-20,"14,89","0,58","10,63","3,44","0,54",4.499,833
2020-05-21,"14,89","0,58","11,00","3,44","0,54",4.499,833
2020-05-22,"14,89","0,58","11,20","3,44","0,54",4.499,833
2020-05-26,"14,3","0,58","10,78","3,33","0,52","4.366,7",807
2020-05-27,"14,3","0,58","10,47","3,33","0,52","4.366,7",807
2020-05-28,"14,3","0,58","10,47","3,33","0,52","4.366,7",807
2020-05-29,"14,3","0,58","11,10","3,33","0,52","4.366,7",807
