fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-08-31,"1,863","1,980","1,990","1,863","48,71M","-5,06%"
2020-08-28,"1,962","1,914","1,972","1,900","51,15M","3,28%"
2020-08-27,"1,900","1,912","1,915","1,861","40,37M","-1,09%"
2020-08-26,"1,921","1,882","1,932","1,875","21,70M","1,34%"
2020-08-25,"1,895","1,928","1,963","1,894","46,01M","-0,15%"
2020-08-24,"1,898","1,846","1,898","1,840","33,42M","3,87%"
2020-08-21,"1,827","1,863","1,875","1,801","48,28M","-1,43%"
2020-08-20,"1,854","1,896","1,896","1,854","39,00M","-4,16%"
2020-08-19,"1,934","1,865","1,934","1,858","24,42M","3,05%"
2020-08-18,"1,877","1,878","1,932","1,862","35,26M","-0,73%"
2020-08-17,"1,891","1,919","1,948","1,887","38,01M","-1,89%"
2020-08-14,"1,927","1,939","1,940","1,867","48,82M","-1,05%"
2020-08-13,"1,948","1,967","2,010","1,948","38,72M","-2,03%"
2020-08-12,"1,988","2,000","2,049","1,987","53,03M","-0,70%"
2020-08-11,"2,002","1,911","2,009","1,911","69,89M","5,71%"
2020-08-10,"1,894","1,875","1,909","1,857","61,10M","3,22%"
2020-08-07,"1,835","1,850","1,864","1,800","51,63M","-1,62%"
2020-08-06,"1,865","1,879","1,906","1,838","41,46M","-1,32%"
2020-08-05,"1,890","1,930","1,952","1,875","40,33M","-1,54%"
2020-08-04,"1,920","1,882","1,930","1,866","63,97M","3,37%"
2020-08-03,"1,857","1,820","1,865","1,766","85,66M","2,68%"
