fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
1994-11-17,"1,656","1,640","1,656","1,634","5,46M","0,36%",,,,
1994-11-18,"1,659","1,656","1,672","1,650","7,37M","0,18%",,,,
1994-11-21,"1,665","1,678","1,687","1,659","5,18M","0,36%",,,,
1994-11-22,"1,653","1,653","1,665","1,640","1,83M","-0,72%",,,,
1994-11-23,"1,646","1,628","1,650","1,624","5,61M","-0,42%",,,,
1994-11-24,"1,659","1,681","1,687","1,656","6,94M","0,79%",,,,
1994-11-25,"1,681","1,659","1,681","1,634","3,18M","1,33%",,,,
1994-11-28,"1,697","1,684","1,697","1,684","5,67M","0,95%",,,,
1994-11-29,"1,687","1,697","1,697","1,678","4,83M","-0,59%",,,,
1994-11-30,"1,697","1,700","1,700","1,678","3,89M","0,59%",,,,
1994-12-01,"1,675","1,684","1,691","1,665","2,38M","-1,30%",,,,
1994-12-02,"1,672","1,669","1,681","1,662","4,24M","-0,18%",,,,
1994-12-05,"1,694","1,691","1,694","1,684","4,84M","1,32%",,,,
1994-12-07,"1,678","1,687","1,697","1,665","2,50M","-0,94%",,,,
1994-12-09,"1,681","1,672","1,684","1,672","3,09M","0,18%",,,,
1994-12-12,"1,687","1,678","1,691","1,675","3,31M","0,36%",,,,
1994-12-13,"1,691","1,687","1,694","1,681","3,73M","0,24%",,,,
1994-12-14,"1,694","1,694","1,700","1,691","2,77M","0,18%",,,,
1994-12-15,"1,691","1,691","1,694","1,681","4,60M","-0,18%",,,,
1994-12-16,"1,700","1,684","1,703","1,684","5,38M","0,53%",,,,
1994-12-19,"1,684","1,703","1,710","1,678","8,64M","-0,94%",,,,
1994-12-20,"1,684","1,681","1,684","1,675","6,82M","0,00%",,,,
1994-12-21,"1,687","1,684","1,687","1,678","7,09M","0,18%",,,,
1994-12-22,"1,681","1,684","1,691","1,681","5,86M","-0,36%",,,,
1994-12-23,"1,678","1,681","1,681","1,675","2,72M","-0,18%",,,,
1994-12-27,"1,596","1,672","1,672","1,546","5,95M","-4,89%",,,,
1994-12-28,"1,583","1,590","1,593","1,546","6,31M","-0,81%",,,,
1994-12-29,"1,580","1,571","1,593","1,561","12,06M","-0,19%",,,,
1994-12-30,"1,590","1,580","1,602","1,580","8,02M","0,63%",,,,
1995-01-02,"1,587","1,590","1,599","1,571","1,67M","-0,19%",,,,
1995-01-03,"1,590","1,590","1,593","1,583","1,68M","0,19%",,,,
