"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.09.2014","7,131","7,133","7,155","7,052","22,12M","0,14%"
"29.08.2014","7,121","7,133","7,195","7,043","33,77M","0,07%"
"28.08.2014","7,116","7,197","7,221","7,072","36,08M","-1,52%"
"27.08.2014","7,226","7,211","7,267","7,162","34,34M","0,19%"
"26.08.2014","7,212","7,089","7,215","7,075","42,81M","1,43%"
"25.08.2014","7,110","7,013","7,117","6,991","29,13M","2,48%"
"22.08.2014","6,938","6,997","7,018","6,889","25,23M","-0,63%"
"21.08.2014","6,982","6,877","6,988","6,843","32,12M","1,51%"
"20.08.2014","6,878","6,875","6,901","6,816","20,64M","0,00%"
"19.08.2014","6,878","6,917","6,917","6,868","18,93M","0,23%"
"18.08.2014","6,862","6,853","6,881","6,788","35,91M","1,58%"
"15.08.2014","6,755","6,839","6,923","6,752","42,70M","-1,13%"
"14.08.2014","6,832","6,826","6,885","6,763","34,65M","-0,23%"
"13.08.2014","6,848","6,822","6,876","6,797","38,11M","1,03%"
"12.08.2014","6,778","6,787","6,864","6,749","38,77M","0,01%"
"11.08.2014","6,777","6,849","6,849","6,721","36,31M","0,30%"
"08.08.2014","6,757","6,631","6,817","6,615","53,42M","0,94%"
"07.08.2014","6,694","6,821","6,849","6,665","58,71M","-1,78%"
"06.08.2014","6,815","6,803","6,878","6,696","55,93M","-0,66%"
"05.08.2014","6,860","6,985","7,008","6,816","37,12M","-1,24%"
"04.08.2014","6,946","7,018","7,037","6,927","35,12M","-0,12%"
"01.08.2014","6,954","7,046","7,071","6,927","57,62M","-1,79%"
"31.07.2014","7,081","7,241","7,247","7,040","60,72M","-1,99%"
"30.07.2014","7,225","7,198","7,295","7,169","51,97M","0,92%"
"29.07.2014","7,159","7,128","7,213","7,082","33,87M","0,48%"
"28.07.2014","7,125","7,150","7,193","7,052","30,56M","-0,38%"
"25.07.2014","7,152","7,106","7,206","7,093","47,76M","0,32%"
"24.07.2014","7,129","6,977","7,158","6,945","60,30M","1,99%"
"23.07.2014","6,990","6,943","6,993","6,919","50,48M","0,27%"
"22.07.2014","6,971","6,859","6,991","6,835","54,30M","2,05%"
"21.07.2014","6,831","6,860","6,880","6,802","41,13M","-0,81%"
"18.07.2014","6,887","6,813","6,893","6,784","47,20M","0,41%"
"17.07.2014","6,859","6,927","6,952","6,827","49,13M","-1,75%"
"16.07.2014","6,981","6,882","6,992","6,866","48,65M","1,99%"
"15.07.2014","6,845","6,896","6,948","6,813","60,54M","-1,35%"
"14.07.2014","6,939","6,912","6,972","6,847","40,24M","1,18%"
"11.07.2014","6,858","6,899","6,987","6,811","41,73M","0,13%"
"10.07.2014","6,849","7,023","7,023","6,749","79,06M","-2,35%"
"09.07.2014","7,014","6,972","7,041","6,937","48,78M","1,45%"
"08.07.2014","6,914","7,063","7,069","6,900","62,08M","-1,72%"
"07.07.2014","7,035","7,107","7,116","7,024","29,31M","-1,28%"
"04.07.2014","7,126","7,227","7,227","7,113","33,28M","-1,52%"
"03.07.2014","7,236","7,163","7,236","7,099","43,35M","1,54%"
"02.07.2014","7,126","7,100","7,163","7,075","35,92M","-0,25%"
"01.07.2014","7,144","7,062","7,144","7,016","41,43M","1,56%"
"30.06.2014","7,034","7,046","7,066","6,965","36,21M","-0,23%"
"27.06.2014","7,050","7,079","7,132","7,018","31,40M","-0,59%"
"26.06.2014","7,092","7,153","7,176","7,027","58,06M","-0,27%"
"25.06.2014","7,111","7,191","7,215","7,080","68,05M","-1,67%"
"24.06.2014","7,232","7,244","7,258","7,191","25,41M","0,39%"
"23.06.2014","7,204","7,229","7,244","7,160","27,43M","-0,35%"
"20.06.2014","7,229","7,236","7,276","7,195","72,93M","-0,21%"
"19.06.2014","7,244","7,215","7,306","7,190","54,97M","1,60%"
"18.06.2014","7,130","7,149","7,150","7,088","36,78M","-0,04%"
"17.06.2014","7,133","7,149","7,187","7,098","38,26M","0,00%"
"16.06.2014","7,133","7,187","7,227","7,128","44,05M","-1,55%"
"13.06.2014","7,245","7,227","7,258","7,133","37,81M","0,43%"
"12.06.2014","7,214","7,223","7,262","7,172","32,97M","-0,18%"
"11.06.2014","7,227","7,230","7,250","7,176","43,07M","-0,37%"
"10.06.2014","7,254","7,258","7,282","7,198","42,53M","-0,21%"
"09.06.2014","7,269","7,251","7,300","7,158","41,37M","0,83%"
"06.06.2014","7,209","7,066","7,252","7,048","77,73M","2,84%"
"05.06.2014","7,010","6,923","7,138","6,878","80,90M","0,97%"
"04.06.2014","6,943","6,914","6,943","6,868","31,61M","0,20%"
"03.06.2014","6,929","6,923","6,969","6,873","35,52M","-0,12%"
"02.06.2014","6,937","6,934","6,955","6,908","31,42M","0,01%"
"30.05.2014","6,936","6,858","6,936","6,840","49,34M","0,65%"
"29.05.2014","6,891","6,931","6,941","6,865","27,56M","-0,69%"
"28.05.2014","6,939","6,871","6,939","6,849","41,07M","0,58%"
"27.05.2014","6,899","6,839","6,914","6,834","39,81M","0,44%"
"26.05.2014","6,869","6,812","6,869","6,795","27,60M","1,12%"
"23.05.2014","6,793","6,750","6,800","6,712","23,94M","0,64%"
"22.05.2014","6,750","6,845","6,845","6,704","63,32M","-1,07%"
"21.05.2014","6,823","6,739","6,830","6,692","40,05M","0,81%"
"20.05.2014","6,768","6,683","6,784","6,680","52,36M","1,27%"
"19.05.2014","6,683","6,728","6,766","6,599","37,58M","-0,76%"
"16.05.2014","6,734","6,574","6,752","6,527","60,08M","2,32%"
"15.05.2014","6,581","6,785","6,830","6,577","85,59M","-3,11%"
"14.05.2014","6,792","6,744","6,809","6,702","57,06M","0,58%"
"13.05.2014","6,753","6,708","6,756","6,672","48,07M","0,87%"
"12.05.2014","6,695","6,692","6,724","6,623","42,17M","0,39%"
"09.05.2014","6,669","6,743","6,763","6,634","56,75M","-1,24%"
