fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-08-03,"9,04","0,2","5,39",0,"0,31",0,"- 3.651,79"
2020-08-04,"9,04","0,2","5,21",0,"0,31",0,"- 3.651,79"
2020-08-06,"9,04","0,2","5,36",0,"0,31",0,"- 3.651,79"
2020-08-10,"9,66","0,19","5,28",0,"0,31",0,1.055
2020-08-11,"9,66","0,19","5,00",0,"0,31",0,1.055
2020-08-12,"9,66","0,19","5,03",0,"0,31",0,1.055
2020-08-19,"9,88","0,2","5,17",0,"0,34",0,- 3.626
2020-08-24,"9,62","0,19","5,27",0,"0,33",0,- 8.307
2020-08-25,"9,62","0,19","5,28",0,"0,33",0,- 8.307
2020-08-26,"9,62","0,19","5,21",0,"0,33",0,- 8.307
2020-08-27,"9,62","0,19","5,26",0,"0,33",0,- 8.307
2020-08-28,"9,62","0,19","5,10",0,"0,33",0,- 8.307
