fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-07-31,"3,548","3,724","3,738","3,548",,"-4,34%"
2020-07-30,"3,709","3,814","3,829","3,638","35,40M","-3,01%"
2020-07-29,"3,824","3,802","3,825","3,716","20,15M","1,06%"
2020-07-28,"3,784","3,740","3,806","3,686","14,64M","1,28%"
2020-07-27,"3,736","3,868","3,868","3,718","19,47M","-3,36%"
2020-07-24,"3,866","3,984","3,984","3,866","16,31M","-2,79%"
2020-07-23,"3,977","4,043","4,060","3,964","14,65M","-1,61%"
2020-07-22,"4,042","4,111","4,170","4,033","11,08M","-1,58%"
2020-07-21,"4,107","4,195","4,215","4,073","14,99M","-1,18%"
2020-07-20,"4,156","4,115","4,175","4,042","10,37M","0,53%"
2020-07-17,"4,134","4,121","4,147","4,064","11,89M","-0,36%"
2020-07-16,"4,149","4,071","4,172","4,071","19,32M","0,80%"
2020-07-15,"4,116","4,186","4,197","3,970","29,39M","-1,25%"
2020-07-14,"4,168","4,040","4,181","4,034","16,20M","2,08%"
2020-07-13,"4,083","4,057","4,099","4,030","16,84M","2,10%"
2020-07-10,"3,999","3,934","3,999","3,903","16,82M","1,24%"
2020-07-09,"3,950","4,030","4,037","3,909","25,52M","-1,25%"
2020-07-08,"4,000","4,060","4,114","4,000","16,67M","-1,84%"
2020-07-07,"4,075","4,169","4,174","4,056","23,91M","-3,23%"
2020-07-06,"4,211","4,240","4,331","4,187","14,85M","1,45%"
2020-07-03,"4,151","4,278","4,288","4,130","12,08M","-2,79%"
2020-07-02,"4,270","4,253","4,341","4,190","25,74M","1,02%"
2020-07-01,"4,227","4,213","4,258","4,151","25,27M","-0,47%"
