fecha,TEF_ultimo,TEF_per,TEF_bpa,TEF_rentabilidad_por_dividendo,TEF_precio_valor_contable,TEF_ebitda
2015-02-12,"12,841",,,,,
2015-02-13,"12,934",,,,,
2015-02-16,"12,900",,,,,
2015-02-17,"12,890",,,,,
2015-02-18,"12,905",,,,,
2015-02-19,"13,023",,,,,
2015-02-20,"13,111",,,,,
2015-02-23,"13,175",,,,,
2015-02-24,"13,317",,,,,
2015-02-25,"13,543",,,,,
2015-02-26,"13,661",,,,,
2015-02-27,"13,636",,,,,
2015-03-02,"13,665",,,,,
2015-03-03,"13,450",,,,,
2015-03-04,"13,548",,,,,
2015-03-05,"13,543",,,,,
2015-03-06,"13,459",,,,,
2015-03-09,"13,278",,,,,
2015-03-10,"12,939",,,,,
2015-03-11,"13,042",,,,,
2015-03-12,"13,033",,,,,
2015-03-13,"12,998",,,,,
2015-03-16,"13,013",,,,,
2015-03-17,"13,018",,,,,
2015-03-18,"12,954",,,,,
2015-03-19,"12,817",,,,,
2015-03-20,"13,204",,,,,
2015-03-23,"13,288",,,,,
2015-03-24,"13,386",,,,,
2015-03-25,"13,273",,,,,
2015-03-26,"13,258",,,,,
2015-03-27,"13,175",,,,,
2015-03-30,"13,222",,,,,
2015-03-31,"13,162",,,,,
2015-04-01,"13,192",,,,,
2015-04-02,"13,222",,,,,
2015-04-07,"13,107",,,,,
2015-04-08,"13,013",,,,,
2015-04-09,"13,023",,,,,
2015-04-10,"13,088",,,,,
2015-04-13,"13,365",,,,,
2015-04-14,"13,425",,,,,
2015-04-15,"13,619",,,,,
2015-04-16,"13,489",,,,,
2015-04-17,"13,375",,,,,
2015-04-20,"13,460",,,,,
2015-04-21,"13,529",,,,,
2015-04-22,"13,519",,,,,
2015-04-23,"13,648",,,,,
2015-04-24,"13,554",,,,,
2015-04-27,"13,599",,,,,
2015-04-28,"13,554",,,,,
2015-04-29,"13,460",,,,,
2015-04-30,"13,539",,,,,
2015-05-04,"13,663",,,,,
2015-05-05,"13,415",,,,,
2015-05-06,"13,420",,,,,
2015-05-07,"13,370",,,,,
2015-05-08,"13,673",,,,,
2015-05-11,"13,753",,,,,
2015-05-12,"13,207",,,,,
2015-05-13,"13,202",,,,,
2015-05-14,"13,068",,,,,
2015-05-15,"12,899",,,,,
2015-05-18,"12,954",,,,,
2015-05-19,"13,117",,,,,
2015-05-20,"13,202",,,,,
2015-05-21,"13,202",,,,,
2015-05-22,"13,117",,,,,
2015-05-25,"12,983",,,,,
2015-05-26,"12,829",,,,,
2015-05-27,"12,944",,,,,
2015-05-28,"12,919",,,,,
2015-05-29,"12,785",,,,,
2015-06-01,"12,755",,,,,
2015-06-02,"12,815",,,,,
2015-06-03,"12,884",,,,,
2015-06-04,"12,735",,,,,
2015-06-05,"12,606",,,,,
2015-06-08,"12,472",,,,,
2015-06-09,"12,467",,,,,
2015-06-10,"12,700",,,,,
2015-06-11,"12,844",,,,,
2015-06-12,"12,859",,,,,
2015-06-15,"12,676",,,,,
2015-06-16,"12,651",,,,,
2015-06-17,"12,586",,,,,
2015-06-18,"12,681",,,,,
2015-06-19,"12,705",,,,,
2015-06-22,"13,266",,,,,
2015-06-23,"13,346",,,,,
2015-06-24,"13,346",,,,,
2015-06-25,"13,316",,,,,
2015-06-26,"13,370",,,,,
2015-06-29,"12,854",,,,,
2015-06-30,"12,656",,,,,
2015-07-01,"12,844",,,,,
2015-07-02,"12,800",,,,,
2015-07-03,"12,695",,,,,
2015-07-06,"12,408",,,,,
2015-07-07,"12,164",,,,,
2015-07-08,"12,204",,,,,
2015-07-09,"12,522",,,,,
2015-07-10,"12,998",,,,,
2015-07-13,"13,182",,,,,
2015-07-14,"13,301",,,,,
2015-07-15,"13,465",,,,,
2015-07-16,"13,762",,,,,
