"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","3,682","3,872","3,879","3,533","56,22M","-5,20%"
"13.03.2020","3,884","4,000","4,280","3,724","39,19M","2,21%"
"12.03.2020","3,800","4,165","4,237","3,783","67,38M","-14,01%"
"11.03.2020","4,419","4,478","4,639","4,370","35,21M","0,18%"
"10.03.2020","4,411","4,671","4,811","4,400","35,56M","-3,96%"
"09.03.2020","4,593","4,779","4,915","4,593","48,90M","-9,82%"
"06.03.2020","5,093","5,100","5,163","5,023","25,59M","-1,98%"
"05.03.2020","5,196","5,401","5,410","5,160","24,77M","-3,53%"
"04.03.2020","5,386","5,301","5,392","5,257","27,98M","1,95%"
"03.03.2020","5,283","5,400","5,447","5,260","42,61M","-1,12%"
"02.03.2020","5,343","5,480","5,486","5,243","27,64M","-0,32%"
"28.02.2020","5,360","5,610","5,614","5,285","49,99M","-6,03%"
"27.02.2020","5,704","5,800","5,838","5,624","34,48M","-2,38%"
"26.02.2020","5,843","5,799","5,885","5,701","27,54M","0,34%"
"25.02.2020","5,823","6,036","6,040","5,806","31,47M","-2,90%"
"24.02.2020","5,997","6,000","6,106","5,960","24,06M","-1,85%"
"21.02.2020","6,110","6,254","6,258","6,083","33,09M","-2,86%"
"20.02.2020","6,290","6,350","6,376","6,132","40,84M","-3,82%"
"19.02.2020","6,540","6,540","6,570","6,426","17,04M","0,14%"
"18.02.2020","6,531","6,350","6,532","6,344","21,36M","2,32%"
"17.02.2020","6,383","6,276","6,390","6,261","12,12M","2,18%"
"14.02.2020","6,247","6,227","6,287","6,219","8,90M","0,21%"
"13.02.2020","6,234","6,295","6,313","6,195","16,96M","-1,52%"
"12.02.2020","6,330","6,200","6,330","6,182","32,33M","2,59%"
"11.02.2020","6,170","6,200","6,231","6,161","16,83M","-0,11%"
"10.02.2020","6,177","6,200","6,267","6,167","6,70M","-0,63%"
"07.02.2020","6,216","6,208","6,231","6,186","8,95M","-0,10%"
"06.02.2020","6,222","6,170","6,251","6,169","11,83M","1,02%"
"05.02.2020","6,159","6,160","6,187","6,125","14,57M","-0,29%"
"04.02.2020","6,177","6,140","6,212","6,120","9,97M","1,10%"
"03.02.2020","6,110","6,150","6,169","6,080","13,24M","0,02%"
"31.01.2020","6,109","6,153","6,220","6,101","16,76M","-0,81%"
"30.01.2020","6,159","6,150","6,183","6,122","14,90M","-0,66%"
"29.01.2020","6,200","6,250","6,295","6,188","11,99M","-1,10%"
"28.01.2020","6,269","6,098","6,275","6,067","14,42M","3,76%"
"27.01.2020","6,042","6,070","6,104","6,026","10,80M","-1,24%"
"24.01.2020","6,118","6,195","6,220","6,105","16,64M","-1,04%"
