fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-05-04,"7,15","0,59","9,30","1,7","1,15",16.232,"3.139,62"
2020-05-05,"7,15","0,59","9,13","1,7","1,15",16.232,"3.139,62"
2020-05-06,"7,15","0,59","9,34","1,7","1,15",16.232,"3.139,62"
2020-05-07,"7,15","0,59","9,34","1,7","1,15",16.232,"3.139,62"
2020-05-12,"7,55","0,56","9,26","1,76","1,12","15.575,71","2.811,5"
2020-05-13,"7,55","0,56","9,57","1,76","1,12","15.575,71","2.811,5"
2020-05-14,"7,55","0,56","9,44","1,76","1,12","15.575,71","2.811,5"
2020-05-15,"7,55","0,56","9,54","1,76","1,12","15.575,71","2.811,5"
2020-05-18,"7,55","0,56","9,29","1,76","1,12","15.575,71","2.811,5"
2020-05-19,"7,55","0,56","10,26","1,76","1,12","15.575,71","2.811,5"
2020-05-20,"7,55","0,56","9,96","1,76","1,12","15.575,71","2.811,5"
2020-05-21,"7,55","0,56","9,73","1,76","1,12","15.575,71","2.811,5"
2020-05-22,"7,55","0,56","9,76","1,76","1,12","15.575,71","2.811,5"
2020-05-26,"8,28","0,5","9,85","1,76","1,13","15.166,68",2.675
2020-05-27,"8,28","0,5","9,62","1,76","1,13","15.166,68",2.675
2020-05-28,"8,28","0,5","9,22","1,76","1,13","15.166,68",2.675
2020-05-29,"8,28","0,5","9,43","1,76","1,13","15.166,68",2.675
