fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-06-30,"118,70","120,50","120,90","118,50","526,51K","-1,08%"
2020-06-29,"120,00","119,10","121,10","117,80","174,54K","0,50%"
2020-06-26,"119,40","122,50","123,40","119,30","432,55K","-1,65%"
2020-06-25,"121,40","120,60","124,40","119,20","174,65K","0,91%"
2020-06-24,"120,30","122,70","124,30","120,30","250,77K","-2,27%"
2020-06-23,"123,10","127,10","128,60","121,70","166,55K","-2,30%"
2020-06-22,"126,00","124,30","127,80","123,80","125,72K","0,96%"
2020-06-19,"124,80","127,10","128,00","124,50","936,74K","-1,81%"
2020-06-18,"127,10","127,90","129,10","125,60","272,41K","-1,17%"
2020-06-17,"128,60","127,50","130,70","126,80","606,34K","0,94%"
2020-06-16,"127,40","128,40","131,20","125,90","225,03K","1,43%"
2020-06-15,"125,60","122,20","126,70","119,90","569,21K","1,29%"
2020-06-12,"124,00","123,10","127,20","122,50","688,86K","0,16%"
2020-06-11,"123,80","129,40","129,40","123,20","1,32M","-5,86%"
2020-06-10,"131,50","135,20","138,40","130,90","306,45K","-2,81%"
2020-06-09,"135,30","140,30","141,30","133,70","359,15K","-3,77%"
2020-06-08,"140,60","140,40","142,30","139,10","254,02K","-2,09%"
2020-06-05,"143,60","138,30","143,60","137,60","328,79K","4,66%"
2020-06-04,"137,20","143,00","143,50","136,70","370,80K","-5,18%"
2020-06-03,"144,70","138,00","144,70","136,30","383,48K","5,62%"
2020-06-02,"137,00","132,50","138,60","131,70","324,78K","3,71%"
