fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-07-01,"351,18","0,34",,"30,49","2,89",930,51
2020-07-02,"351,18","0,34",,"30,49","2,89",930,51
2020-07-07,"365,88","0,34",,"32,06","2,98",930,51
2020-07-08,"365,88","0,34",,"32,06","2,98",930,51
2020-07-09,"365,88","0,34",,"32,06","2,98",930,51
2020-07-10,"365,88","0,34",,"32,06","2,98",930,51
2020-07-14,"352,94","0,34",,"30,93","2,87",930,"65,6"
2020-07-15,"352,94","0,34",,"30,93","2,87",930,"65,6"
2020-07-20,"590,24","0,21",,"31,19","2,85","954,54","30,85"
2020-07-21,"590,24","0,21",,"31,19","2,85","954,54","30,85"
2020-07-22,"590,24","0,21",,"31,19","2,85","954,54","30,85"
2020-07-23,"590,24","0,21",,"31,19","2,85","954,54","30,85"
2020-07-27,"565,85","0,21",,"29,9","2,74","954,54","30,85"
2020-07-28,"565,85","0,21",,"29,9","2,74","954,54","30,85"
2020-07-29,"565,85","0,21",,"29,9","2,74","954,54","30,85"
2020-07-31,"565,85","0,21",,"29,9","2,74","954,54","30,85"
