fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-08-31,"46,910","49,420","49,480","46,910","2,16M","-4,32%"
2020-08-28,"49,030","48,810","49,030","47,870","961,34K","0,95%"
2020-08-27,"48,570","48,180","48,950","47,870","729,98K","0,94%"
2020-08-26,"48,120","47,540","48,300","46,980","606,39K","1,22%"
2020-08-25,"47,540","45,640","47,980","45,630","1,48M","5,06%"
2020-08-24,"45,250","45,090","45,530","44,730","657,20K","1,39%"
2020-08-21,"44,630","44,100","44,640","43,670","896,11K","1,43%"
2020-08-20,"44,000","43,800","44,340","43,510","801,88K","-0,48%"
2020-08-19,"44,210","45,000","45,240","44,010","799,37K","-1,76%"
2020-08-18,"45,000","44,990","45,640","44,600","730,78K","-0,51%"
2020-08-17,"45,230","46,350","46,580","45,010","786,77K","-2,31%"
2020-08-14,"46,300","47,760","47,760","46,300","965,32K","-3,42%"
2020-08-13,"47,940","48,310","48,950","47,660","859,09K","0,06%"
2020-08-12,"47,910","48,550","48,580","47,630","1,02M","-1,92%"
2020-08-11,"48,850","46,000","48,850","45,960","1,20M","7,29%"
2020-08-10,"45,530","45,160","45,720","44,440","939,46K","1,22%"
2020-08-07,"44,980","45,240","45,450","43,900","608,60K","-0,27%"
2020-08-06,"45,100","44,000","45,870","43,700","1,43M","1,62%"
2020-08-05,"44,380","42,600","44,380","42,480","986,09K","5,02%"
2020-08-04,"42,260","43,010","44,500","41,710","1,42M","-1,90%"
2020-08-03,"43,080","42,300","43,310","40,710","1,59M","1,70%"
