fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2011-09-19,"13,200","13,180","13,320","13,025","2,49M","-1,35%","713.894,71","3,14","21,28","-0,65"
2011-09-20,"12,740","13,110","13,200","12,680","3,27M","-3,48%","713.894,71","3,14","21,28","-0,65"
2011-09-21,"12,400","12,790","12,800","12,160","3,27M","-2,67%","713.894,71","3,14","21,28","-0,65"
2011-09-22,"11,840","12,050","12,290","11,760","2,49M","-4,52%","713.894,71","3,14","21,28","-0,65"
2011-09-23,"11,575","11,910","11,980","11,210","3,69M","-2,24%","713.894,71","3,14","21,28","-0,65"
2011-09-26,"12,045","11,435","12,385","11,395","3,59M","4,06%","713.894,71","3,14","21,28","-0,65"
2011-09-27,"12,295","12,550","12,550","12,185","2,74M","2,08%","713.894,71","3,14","21,28","-0,65"
2011-09-28,"12,100","12,210","12,385","11,990","1,64M","-1,59%","713.894,71","3,14","21,28","-0,65"
2011-09-29,"12,010","12,075","12,285","12,000","2,06M","-0,74%","713.894,71","3,14","21,28","-0,65"
2011-09-30,"12,055","11,935","12,080","11,870","1,82M","0,37%","713.894,71","3,14","21,28","-0,65"
2011-10-03,"11,985","11,855","12,115","11,845","1,20M","-0,58%","711.903,5","3,01","22,56","-0,63"
2011-10-04,"11,550","11,880","11,885","11,415","1,81M","-3,63%","711.903,5","3,01","22,56","-0,63"
2011-10-05,"11,940","11,760","11,940","11,720","1,31M","3,38%","711.903,5","3,01","22,56","-0,63"
2011-10-06,"12,165","12,120","12,250","11,895","3,36M","1,88%","711.903,5","3,01","22,56","-0,63"
2011-10-07,"11,980","12,245","12,260","11,725","2,00M","-1,52%","711.903,5","3,01","22,56","-0,63"
2011-10-10,"12,505","12,100","12,550","11,980","1,74M","4,38%","711.903,5","3,01","22,56","-0,63"
2011-10-11,"12,600","12,500","12,690","12,400","1,42M","0,76%","711.903,5","3,01","22,56","-0,63"
2011-10-12,"12,670","12,590","12,695","12,440","1,26M","0,56%","711.903,5","3,01","22,56","-0,63"
2011-10-13,"12,640","12,700","12,850","12,520","1,25M","-0,24%","711.903,5","3,01","22,56","-0,63"
2011-10-14,"12,860","12,635","13,085","12,580","1,28M","1,74%","711.903,5","3,01","22,56","-0,63"
2011-10-17,"12,820","12,985","13,030","12,760","1,49M","-0,31%","711.903,5","3,01","22,56","-0,63"
2011-10-18,"13,155","12,740","13,220","12,600","2,03M","2,61%","711.903,5","3,01","22,56","-0,63"
2011-10-19,"12,770","12,650","12,880","12,530","11,46M","-2,93%","711.903,5","3,01","22,56","-0,63"
2011-10-20,"12,615","12,620","12,820","12,570","2,41M","-1,21%","711.903,5","3,01","22,56","-0,63"
2011-10-21,"12,945","12,715","13,000","12,620","3,27M","2,62%","711.903,5","3,01","22,56","-0,63"
2011-10-24,"13,250","13,075","13,360","12,850","2,00M","2,36%","711.903,5","3,01","22,56","-0,63"
2011-10-25,"13,250","13,190","13,300","13,090","1,08M","0,00%","711.903,5","3,01","22,56","-0,63"
2011-10-26,"13,300","13,185","13,590","13,180","2,92M","0,38%","711.903,5","3,01","22,56","-0,63"
2011-10-27,"14,010","13,800","14,010","13,365","4,05M","5,34%","711.903,5","3,01","22,56","-0,63"
2011-10-28,"13,640","14,070","14,070","13,495","2,17M","-2,64%","711.903,5","3,01","22,56","-0,63"
2011-10-31,"13,660","13,490","13,795","13,460","1,68M","0,15%","711.903,5","3,01","22,56","-0,63"
2011-11-01,"13,170","13,400","13,475","13,090","2,09M","-3,59%","723.502,44","2,87","22,56","-0,63"
2011-11-02,"13,130","13,375","13,555","13,100","3,43M","-0,30%","723.502,44","2,87","22,56","-0,63"
