fecha,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda
2015-02-12,"35,390",,,,,
2015-02-13,"35,520",,,,,
2015-02-16,"35,475",,,,,
2015-02-17,"35,475",,,,,
2015-02-18,"35,770",,,,,
2015-02-19,"36,040",,,,,
2015-02-20,"35,940",,,,,
2015-02-23,"36,675",,,,,
2015-02-24,"35,920",,,,,
2015-02-25,"36,415",,,,,
2015-02-26,"36,625",,,,,
2015-02-27,"36,850",,,,,
2015-03-02,"36,860",,,,,
2015-03-03,"36,885",,,,,
2015-03-04,"37,430",,,,,
2015-03-05,"38,020",,,,,
2015-03-06,"38,080",,,,,
2015-03-09,"37,550",,,,,
2015-03-10,"37,545",,,,,
2015-03-11,"38,010",,,,,
2015-03-12,"37,790",,,,,
2015-03-13,"38,240",,,,,
2015-03-16,"38,385",,,,,
2015-03-17,"38,330",,,,,
2015-03-18,"38,215",,,,,
2015-03-19,"38,480",,,,,
2015-03-20,"39,060",,,,,
2015-03-23,"39,260",,,,,
2015-03-24,"39,775",,,,,
2015-03-25,"39,060",,,,,
2015-03-26,"39,385",,,,,
2015-03-27,"39,475",,,,,
2015-03-30,"40,145",,,,,
2015-03-31,"39,960",,,,,
2015-04-01,"39,905",,,,,
2015-04-02,"40,170",,,,,
2015-04-07,"40,920",,,,,
2015-04-08,"40,355",,,,,
2015-04-09,"41,250",,,,,
2015-04-10,"41,565",,,,,
2015-04-13,"41,380",,,,,
2015-04-14,"41,325",,,,,
2015-04-15,"41,145",,,,,
2015-04-16,"40,555",,,,,
2015-04-17,"39,885",,,,,
2015-04-20,"40,155",,,,,
2015-04-21,"40,960",,,,,
2015-04-22,"41,160",,,,,
2015-04-23,"41,230",,,,,
2015-04-24,"41,425",,,,,
2015-04-27,"42,000",,,,,
2015-04-28,"41,675",,,,,
2015-04-29,"41,180",,,,,
2015-04-30,"40,830",,,,,
2015-05-04,"41,140",,,,,
2015-05-05,"39,955",,,,,
2015-05-06,"39,760",,,,,
2015-05-07,"39,880",,,,,
2015-05-08,"40,410",,,,,
2015-05-11,"40,735",,,,,
2015-05-12,"41,175",,,,,
