"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","44,200","45,000","45,680","40,300","5,92M","-7,43%"
"13.03.2020","47,750","44,240","47,750","43,300","3,61M","11,07%"
"12.03.2020","42,990","48,070","48,720","42,140","5,95M","-16,10%"
"11.03.2020","51,240","52,360","53,260","50,600","1,93M","-1,35%"
"10.03.2020","51,940","55,120","55,640","51,000","2,27M","-4,49%"
"09.03.2020","54,380","52,800","55,600","51,000","3,47M","-2,79%"
"06.03.2020","55,940","57,880","58,100","55,120","1,89M","-5,19%"
"05.03.2020","59,000","60,980","61,340","58,520","1,62M","-2,58%"
"04.03.2020","60,560","62,740","62,880","60,140","2,11M","-3,93%"
"03.03.2020","63,040","63,240","64,720","62,680","1,90M","0,86%"
"02.03.2020","62,500","65,180","66,220","61,700","2,78M","-1,57%"
"28.02.2020","63,500","59,000","66,300","58,220","3,04M","3,29%"
"27.02.2020","61,480","62,240","62,240","60,440","2,96M","-4,09%"
"26.02.2020","64,100","64,140","64,740","61,960","2,23M","-0,37%"
"25.02.2020","64,340","67,320","67,440","64,080","2,56M","-4,17%"
"24.02.2020","67,140","68,100","68,640","66,940","1,56M","-5,38%"
"21.02.2020","70,960","71,520","71,700","70,500","849,41K","-0,92%"
"20.02.2020","71,620","73,080","73,380","71,620","783,49K","-2,32%"
"19.02.2020","73,320","73,020","73,400","72,560","792,72K","0,58%"
"18.02.2020","72,900","72,400","73,420","72,060","517,54K","-0,08%"
"17.02.2020","72,960","72,980","73,220","72,320","1,99M","0,16%"
"14.02.2020","72,840","73,420","73,680","72,640","1,27M","-0,55%"
"13.02.2020","73,240","73,780","73,880","71,840","771,31K","-1,03%"
"12.02.2020","74,000","74,400","74,400","73,560","683,80K","-0,05%"
"11.02.2020","74,040","74,300","74,520","73,720","1,04M","0,22%"
"10.02.2020","73,880","73,260","74,080","73,100","412,81K","0,76%"
"07.02.2020","73,320","74,660","74,680","72,940","632,67K","-1,79%"
"06.02.2020","74,660","74,220","74,680","73,520","657,49K","0,97%"
"05.02.2020","73,940","74,800","75,540","73,600","987,62K","-0,64%"
"04.02.2020","74,420","73,120","74,420","72,800","783,28K","3,10%"
"03.02.2020","72,180","71,180","72,720","70,800","1,05M","1,92%"
"31.01.2020","70,820","72,020","72,240","70,680","890,24K","-1,20%"
"30.01.2020","71,680","72,500","72,600","70,920","895,53K","-2,74%"
"29.01.2020","73,700","73,800","74,160","73,060","983,29K","-0,32%"
"28.01.2020","73,940","73,620","74,340","72,400","971,13K","1,37%"
"27.01.2020","72,940","76,260","76,520","72,800","7,25M","-6,13%"
"24.01.2020","77,700","76,240","77,740","76,240","1,61M","2,78%"
"23.01.2020","75,600","77,060","77,100","75,400","3,94M","-2,48%"
"22.01.2020","77,520","77,780","77,920","77,220","3,41M","-0,26%"
"21.01.2020","77,720","77,400","77,720","76,520","5,23M","-0,46%"
"20.01.2020","78,080","78,300","78,460","77,540","2,93M","-0,66%"
"17.01.2020","78,600","77,000","78,820","76,700","2,20M","2,48%"
"16.01.2020","76,700","76,160","76,700","75,900","672,09K","0,79%"
"15.01.2020","76,100","74,880","76,140","74,580","719,84K","0,74%"
"14.01.2020","75,540","74,540","75,540","74,040","846,42K","1,48%"
"13.01.2020","74,440","74,140","74,580","74,020","5,40M","0,43%"
"10.01.2020","74,120","74,180","74,600","73,900","1,46M","-0,24%"
"09.01.2020","74,300","73,560","74,440","73,540","4,28M","1,67%"
"08.01.2020","73,080","72,980","73,420","72,360","3,04M","-0,27%"
"07.01.2020","73,280","72,800","73,600","72,600","3,46M","0,94%"
"06.01.2020","72,600","72,720","72,900","71,600","5,86M","-0,90%"
"03.01.2020","73,260","72,220","73,260","72,120","1,50M","0,49%"
"02.01.2020","72,900","73,900","73,960","72,680","1,02M","0,14%"
"31.12.2019","72,800","72,700","73,300","72,200","148,69K","-0,16%"
