fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-08-03,"14,36","- 0,01","1,30","34,64","4,6",602,"- 87,21"
2020-08-04,"14,36","- 0,01","1,33","34,64","4,6",602,"- 87,21"
2020-08-06,"14,36","- 0,01","1,24","34,64","4,6",602,"- 87,21"
2020-08-10,"15,25","- 0,1","1,23","44,79","4,89",585,"- 164,5"
2020-08-11,"15,25","- 0,1","1,15","44,79","4,89",585,"- 164,5"
2020-08-12,"15,25","- 0,1","1,17","44,79","4,89",585,"- 164,5"
2020-08-19,"15,69","- 0,1","1,27","46,1","5,03",585,"- 164,5"
2020-08-24,"15,13","- 0,1","1,24","44,44","4,85",585,"- 164,5"
2020-08-25,"15,13","- 0,1","1,18","44,44","4,85",585,"- 164,5"
2020-08-26,"15,13","- 0,1","1,16","44,44","4,85",585,"- 164,5"
2020-08-27,"15,13","- 0,1","1,15","44,44","4,85",585,"- 164,5"
2020-08-28,"15,13","- 0,1","1,14","44,44","4,85",585,"- 164,5"
2020-08-31,"16,62","- 0,06","1,19","48,82","5,33","574,47",- 215
