fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-06-30,"3,064","3,070","3,094","2,995","21,81M","-0,58%"
2020-06-29,"3,082","3,000","3,113","2,964","18,48M","2,80%"
2020-06-26,"2,998","3,110","3,130","2,998","24,64M","-2,38%"
2020-06-25,"3,071","3,000","3,084","2,960","59,82M","1,29%"
2020-06-24,"3,032","3,150","3,195","3,026","18,47M","-4,80%"
2020-06-23,"3,185","3,095","3,229","3,081","32,44M","3,98%"
2020-06-22,"3,063","3,076","3,112","3,026","16,09M","-1,38%"
2020-06-19,"3,106","3,147","3,189","3,093","76,08M","0,16%"
2020-06-18,"3,101","3,135","3,217","3,055","42,08M","-1,84%"
2020-06-17,"3,159","3,150","3,244","3,122","25,48M","0,19%"
2020-06-16,"3,153","3,190","3,228","3,084","29,12M","3,21%"
2020-06-15,"3,055","2,978","3,103","2,973","30,68M","-2,36%"
2020-06-12,"3,129","3,036","3,210","3,024","37,84M","1,10%"
2020-06-11,"3,095","3,170","3,238","3,087","35,11M","-6,58%"
2020-06-10,"3,313","3,450","3,496","3,309","46,92M","-2,79%"
2020-06-09,"3,408","3,501","3,529","3,327","38,35M","-4,00%"
2020-06-08,"3,550","3,485","3,646","3,465","45,13M","0,65%"
2020-06-05,"3,527","3,300","3,539","3,277","51,92M","9,81%"
2020-06-04,"3,212","3,117","3,270","3,093","48,97M","1,65%"
2020-06-03,"3,160","3,050","3,171","3,038","32,90M","5,16%"
2020-06-02,"3,005","2,872","3,044","2,841","31,19M","5,03%"
