"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.09.2014","8,722","8,706","8,778","8,682","24,77M","0,33%"
"01.09.2014","8,693","8,708","8,723","8,589","9,77M","0,20%"
"29.08.2014","8,676","8,685","8,748","8,576","17,41M","-0,18%"
"28.08.2014","8,692","8,765","8,808","8,638","18,70M","-1,34%"
"27.08.2014","8,810","8,794","8,902","8,751","18,92M","0,06%"
"26.08.2014","8,805","8,647","8,830","8,647","25,70M","1,46%"
"25.08.2014","8,678","8,553","8,689","8,528","16,85M","2,71%"
"22.08.2014","8,449","8,529","8,577","8,402","16,28M","-0,67%"
"21.08.2014","8,506","8,347","8,516","8,310","17,03M","1,81%"
"20.08.2014","8,355","8,355","8,380","8,288","11,76M","-0,01%"
"19.08.2014","8,356","8,368","8,402","8,319","11,12M","0,25%"
"18.08.2014","8,335","8,314","8,356","8,252","13,51M","1,63%"
"15.08.2014","8,201","8,299","8,394","8,168","20,21M","-1,01%"
"14.08.2014","8,285","8,270","8,365","8,205","20,65M","-0,50%"
"13.08.2014","8,327","8,303","8,351","8,275","17,31M","0,90%"
"12.08.2014","8,253","8,187","8,351","8,150","20,08M","0,67%"
"11.08.2014","8,198","8,300","8,304","8,141","20,10M","0,15%"
"08.08.2014","8,186","8,043","8,273","8,020","25,28M","0,55%"
"07.08.2014","8,141","8,304","8,323","8,111","42,30M","-1,96%"
"06.08.2014","8,304","8,310","8,403","8,162","32,29M","-1,00%"
"05.08.2014","8,388","8,533","8,572","8,346","27,05M","-1,39%"
"04.08.2014","8,506","8,617","8,628","8,469","21,30M","-0,19%"
"01.08.2014","8,522","8,695","8,701","8,483","30,80M","-1,87%"
"31.07.2014","8,684","8,937","8,961","8,634","39,78M","-3,11%"
"30.07.2014","8,963","8,940","9,048","8,900","29,05M","1,08%"
"29.07.2014","8,867","8,855","8,948","8,783","19,53M","0,31%"
"28.07.2014","8,840","8,928","8,959","8,759","16,19M","-0,70%"
"25.07.2014","8,902","8,860","8,968","8,855","26,50M","0,28%"
"24.07.2014","8,877","8,649","8,888","8,599","34,97M","2,41%"
"23.07.2014","8,668","8,572","8,712","8,553","23,45M","0,64%"
"22.07.2014","8,613","8,470","8,665","8,418","49,20M","2,56%"
"21.07.2014","8,398","8,435","8,457","8,347","14,74M","-0,66%"
"18.07.2014","8,454","8,425","8,464","8,360","24,38M","-0,28%"
"17.07.2014","8,478","8,580","8,600","8,438","21,94M","-1,58%"
"16.07.2014","8,614","8,508","8,654","8,450","19,60M","1,66%"
