fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"9,9","0,28","9,09",0,"0,39",0,"1.407,76"
2020-06-02,"9,9","0,28","8,65",0,"0,39",0,"1.407,76"
2020-06-03,"9,9","0,28","8,23",0,"0,39",0,"1.407,76"
2020-06-04,"9,9","0,28","8,09",0,"0,39",0,"1.407,76"
2020-06-05,"9,9","0,28","7,37",0,"0,39",0,"1.407,76"
2020-06-08,"12,5","0,28","7,32",0,"0,5",0,"1.407,76"
2020-06-09,"12,5","0,28","7,63",0,"0,5",0,"1.407,76"
2020-06-10,"12,5","0,28","7,85",0,"0,5",0,"1.407,76"
2020-06-11,"12,5","0,28","8,40",0,"0,5",0,"1.407,76"
2020-06-12,"12,5","0,28","8,31",0,"0,5",0,"1.407,76"
2020-06-15,,,"8,51",,,,
2020-06-16,"11,18","0,28","8,25",0,"0,44",0,"943,5"
2020-06-17,"11,18","0,28","8,23",0,"0,44",0,"943,5"
2020-06-18,"11,18","0,28","8,38",0,"0,44",0,"943,5"
2020-06-19,"11,18","0,28","8,37",0,"0,44",0,"943,5"
2020-06-22,"11,5","0,27","8,49",0,"0,45",0,"943,5"
2020-06-23,"11,5","0,27","8,16",0,"0,45",0,"943,5"
2020-06-24,"11,5","0,27","8,58",0,"0,45",0,"943,5"
2020-06-25,"11,5","0,27","8,47",0,"0,45",0,"943,5"
2020-06-26,"11,5","0,27","8,67",0,"0,45",0,"943,5"
2020-06-29,"11,1","0,27","8,44",0,"0,43",0,"837,5"
2020-06-30,"11,1","0,27","8,49",0,"0,43",0,"837,5"
