fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-04-30,"1,641","1,679","1,750","1,628","32,55M","-4,12%"
2020-04-29,"1,712","1,597","1,712","1,582","22,20M","8,46%"
2020-04-28,"1,578","1,536","1,600","1,520","19,65M","2,87%"
2020-04-27,"1,534","1,609","1,609","1,530","23,39M","-0,29%"
2020-04-24,"1,538","1,548","1,589","1,521","12,25M","-3,06%"
2020-04-23,"1,587","1,550","1,616","1,541","14,93M","3,49%"
2020-04-22,"1,533","1,561","1,566","1,510","50,75M","-1,06%"
2020-04-21,"1,550","1,580","1,599","1,550","97,88M","-3,13%"
2020-04-20,"1,600","1,615","1,619","1,566","76,25M","-0,47%"
2020-04-17,"1,607","1,645","1,648","1,592","51,17M","1,10%"
2020-04-16,"1,590","1,643","1,645","1,556","44,64M","-0,66%"
2020-04-15,"1,600","1,689","1,693","1,600","55,61M","-5,24%"
2020-04-14,"1,689","1,775","1,775","1,678","21,21M","-3,15%"
2020-04-09,"1,744","1,750","1,778","1,714","17,35M","-1,61%"
2020-04-08,"1,773","1,740","1,794","1,702","29,95M","1,72%"
2020-04-07,"1,742","1,768","1,829","1,691","105,86M","1,90%"
2020-04-06,"1,710","1,720","1,731","1,670","112,94M","5,59%"
2020-04-03,"1,620","1,640","1,648","1,601","47,80M","-0,95%"
2020-04-02,"1,635","1,672","1,713","1,602","45,05M","-2,10%"
2020-04-01,"1,670","1,650","1,687","1,631","45,58M","-1,76%"
