fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2009-02-11,"2,490","2,480","2,490","2,480",,"-5,32%","457.305,24","0,66","17,24","-2,58"
2009-02-12,"2,490","2,480","2,490","2,460",,"0,00%","457.305,24","0,66","17,24","-2,58"
2009-02-13,"2,540","2,490","2,540","2,490",,"2,01%","457.305,24","0,66","17,24","-2,58"
2009-02-16,"2,440","2,480","2,490","2,440",,"-3,94%","457.305,24","0,66","17,24","-2,58"
2009-02-17,"2,380","2,410","2,430","2,380",,"-2,46%","457.305,24","0,66","17,24","-2,58"
2009-02-18,"2,320","2,400","2,410","2,320",,"-2,52%","457.305,24","0,66","17,24","-2,58"
2009-02-19,"2,330","2,380","2,400","2,330",,"0,43%","457.305,24","0,66","17,24","-2,58"
2009-02-20,"2,250","2,360","2,360","2,250",,"-3,43%","457.305,24","0,66","17,24","-2,58"
2009-02-25,"2,200","2,240","2,280","2,200",,"-2,22%","457.305,24","0,66","17,24","-2,58"
2009-02-26,"2,310","2,210","2,310","2,210",,"5,00%","457.305,24","0,66","17,24","-2,58"
2009-02-27,"2,180","2,230","2,270","2,180",,"-5,63%","457.305,24","0,66","17,24","-2,58"
2009-03-06,"2,120","2,060","2,120","2,010",,"-2,75%","473.710,18","-0,06","17,24","-2,58"
2009-03-09,"2,050","2,070","2,070","2,050",,"-3,30%","473.710,18","-0,06","17,24","-2,58"
2009-03-10,"1,950","2,040","2,080","1,950",,"-4,88%","473.710,18","-0,06","17,24","-2,58"
2009-03-11,"2,150","2,060","2,150","2,040",,"10,26%","473.710,18","-0,06","17,24","-2,58"
2009-03-12,"1,990","2,060","2,060","1,990",,"-7,44%","473.710,18","-0,06","17,24","-2,58"
2009-03-13,"2,060","2,090","2,130","2,060",,"3,52%","473.710,18","-0,06","17,24","-2,58"
2009-03-16,"2,160","2,150","2,160","2,140",,"4,85%","473.710,18","-0,06","17,24","-2,58"
2009-03-17,"2,110","2,150","2,170","2,110",,"-2,31%","473.710,18","-0,06","17,24","-2,58"
2009-03-18,"2,220","2,140","2,220","2,140",,"5,21%","473.710,18","-0,06","17,24","-2,58"
2009-03-19,"2,200","2,240","2,260","2,200",,"-0,90%","473.710,18","-0,06","17,24","-2,58"
2009-03-20,"2,280","2,220","2,280","2,180",,"3,64%","473.710,18","-0,06","17,24","-2,58"
2009-04-01,"2,320","2,320","2,360","2,320",,"1,75%","486.588,49","-0,16","17,77","-0,03"
2009-04-02,"2,430","2,380","2,430","2,360",,"4,74%","486.588,49","-0,16","17,77","-0,03"
2009-04-03,"2,370","2,400","2,440","2,370",,"-2,47%","486.588,49","-0,16","17,77","-0,03"
2009-04-06,"2,450","2,500","2,530","2,450",,"3,38%","486.588,49","-0,16","17,77","-0,03"
2009-04-07,"2,580","2,470","2,580","2,460",,"5,31%","486.588,49","-0,16","17,77","-0,03"
2009-04-08,"2,560","2,490","2,560","2,470",,"-0,78%","486.588,49","-0,16","17,77","-0,03"
2009-04-09,"2,640","2,570","2,640","2,550",,"3,13%","486.588,49","-0,16","17,77","-0,03"
2009-04-16,"2,790","2,800","2,860","2,790",,"5,68%","486.588,49","-0,16","17,77","-0,03"
2009-04-17,"2,720","2,810","2,810","2,720",,"-2,51%","486.588,49","-0,16","17,77","-0,03"
2009-04-20,"2,730","2,770","2,800","2,730",,"0,37%","486.588,49","-0,16","17,77","-0,03"
2009-04-21,"2,690","2,720","2,770","2,690",,"-1,47%","486.588,49","-0,16","17,77","-0,03"
2009-04-22,"2,870","2,720","2,870","2,720",,"6,69%","486.588,49","-0,16","17,77","-0,03"
2009-04-23,"2,940","2,810","2,940","2,710",,"2,44%","486.588,49","-0,16","17,77","-0,03"
2009-04-24,"2,890","2,850","2,890","2,840",,"-1,70%","486.588,49","-0,16","17,77","-0,03"
2009-04-27,"2,880","2,760","2,880","2,750",,"-0,35%","486.588,49","-0,16","17,77","-0,03"
2009-04-28,"2,710","2,780","2,810","2,710",,"-5,90%","486.588,49","-0,16","17,77","-0,03"
2009-04-29,"2,840","2,770","2,840","2,740",,"4,80%","486.588,49","-0,16","17,77","-0,03"
2009-04-30,"2,880","2,850","2,880","2,830",,"1,41%","486.588,49","-0,16","17,77","-0,03"
2009-05-05,"2,810","2,900","2,910","2,810",,"-2,43%","492.602,11","-0,86","17,77","-0,03"
2009-05-06,"2,910","2,830","2,910","2,830",,"3,56%","492.602,11","-0,86","17,77","-0,03"
2009-05-07,"2,950","2,970","3,020","2,950",,"1,37%","492.602,11","-0,86","17,77","-0,03"
2009-05-08,"2,960","3,000","3,000","2,960",,"0,34%","492.602,11","-0,86","17,77","-0,03"
2009-05-14,"2,880","2,870","2,880","2,830",,"-2,70%","492.602,11","-0,86","17,77","-0,03"
2009-05-15,"2,940","2,880","2,940","2,860",,"2,08%","492.602,11","-0,86","17,77","-0,03"
2009-05-18,"2,950","2,860","2,950","2,860",,"0,34%","492.602,11","-0,86","17,77","-0,03"
2009-05-19,"3,000","2,960","3,000","2,960",,"1,69%","492.602,11","-0,86","17,77","-0,03"
2009-05-20,"3,050","3,000","3,050","2,980",,"1,67%","492.602,11","-0,86","17,77","-0,03"
2009-05-21,"2,980","3,030","3,030","2,980",,"-2,30%","492.602,11","-0,86","17,77","-0,03"
2009-05-22,"3,070","3,010","3,070","3,000",,"3,02%","492.602,11","-0,86","17,77","-0,03"
2009-05-25,"3,040","3,050","3,060","3,040",,"-0,98%","492.602,11","-0,86","17,77","-0,03"
2009-05-26,"3,070","3,050","3,070","3,030",,"0,99%","492.602,11","-0,86","17,77","-0,03"
2009-05-27,"3,060","3,000","3,060","3,000",,"-0,33%","492.602,11","-0,86","17,77","-0,03"
2009-05-28,"3,010","3,010","3,040","3,010",,"-1,63%","492.602,11","-0,86","17,77","-0,03"
2009-05-29,"3,010","3,030","3,060","3,010",,"0,00%","492.602,11","-0,86","17,77","-0,03"
2009-06-02,"3,080","3,090","3,110","3,080",,"2,33%","511.173,39",-1,"17,77","-0,03"
2009-06-03,"3,070","3,090","3,170","3,070",,"-0,32%","511.173,39",-1,"17,77","-0,03"
2009-06-04,"3,050","3,090","3,140","3,050",,"-0,65%","511.173,39",-1,"17,77","-0,03"
2009-06-05,"3,090","3,160","3,170","3,090",,"1,31%","511.173,39",-1,"17,77","-0,03"
2009-06-11,"3,130","3,130","3,130","3,100",,"1,29%","511.173,39",-1,"17,77","-0,03"
2009-06-12,"3,150","3,150","3,150","3,100",,"0,64%","511.173,39",-1,"17,77","-0,03"
2009-06-15,"3,110","3,120","3,140","3,110",,"-1,27%","511.173,39",-1,"17,77","-0,03"
2009-06-16,"3,160","3,110","3,160","3,110",,"1,61%","511.173,39",-1,"17,77","-0,03"
2009-06-17,"3,060","3,080","3,090","3,060",,"-3,16%","511.173,39",-1,"17,77","-0,03"
2009-06-18,"3,130","3,050","3,130","3,040",,"2,29%","511.173,39",-1,"17,77","-0,03"
2009-06-19,"3,150","3,110","3,150","3,110",,"0,64%","511.173,39",-1,"17,77","-0,03"
2009-06-24,"3,210","3,140","3,210","3,090",,"1,90%","511.173,39",-1,"17,77","-0,03"
2009-06-25,"3,130","3,190","3,210","3,130",,"-2,49%","511.173,39",-1,"17,77","-0,03"
2009-06-26,"3,360","3,260","3,360","3,210",,"7,35%","511.173,39",-1,"17,77","-0,03"
2009-07-02,"3,260","3,310","3,320","3,260",,"-2,98%","510.802,67","-1,37","17,75","0,2"
2009-07-03,"3,240","3,270","3,270","3,240",,"-0,61%","510.802,67","-1,37","17,75","0,2"
2009-07-06,"3,280","3,220","3,280","3,170",,"1,23%","510.802,67","-1,37","17,75","0,2"
2009-07-07,"3,220","3,300","3,300","3,220",,"-1,83%","510.802,67","-1,37","17,75","0,2"
2009-07-08,"3,130","3,220","3,230","3,130",,"-2,80%","510.802,67","-1,37","17,75","0,2"
2009-07-09,"3,150","3,140","3,190","3,140",,"0,64%","510.802,67","-1,37","17,75","0,2"
2009-07-10,"3,070","3,130","3,140","3,070",,"-2,54%","510.802,67","-1,37","17,75","0,2"
2009-07-13,"3,200","3,050","3,210","3,050",,"4,23%","510.802,67","-1,37","17,75","0,2"
2009-07-14,"3,180","3,190","3,220","3,140",,"-0,62%","510.802,67","-1,37","17,75","0,2"
