fecha,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda
2015-02-12,"3,774",,,,,
2015-02-13,"3,926",,,,,
2015-02-16,"3,917",,,,,
2015-02-17,"3,800",,,,,
2015-02-18,"3,833",,,,,
2015-02-19,"3,834",,,,,
2015-02-20,"3,744",,,,,
2015-02-23,"3,803",,,,,
2015-02-24,"3,872",,,,,
2015-02-25,"3,821",,,,,
2015-02-26,"3,918",,,,,
2015-02-27,"3,958",,,,,
2015-03-02,"3,940",,,,,
2015-03-03,"3,857",,,,,
2015-03-04,"3,839",,,,,
2015-03-05,"3,829",,,,,
2015-03-06,"3,991",,,,,
2015-03-09,"4,008",,,,,
2015-03-10,"3,959",,,,,
2015-03-11,"3,978",,,,,
2015-03-12,"4,022",,,,,
2015-03-13,"4,013",,,,,
2015-03-16,"4,046",,,,,
2015-03-17,"3,981",,,,,
2015-03-18,"3,907",,,,,
2015-03-19,"3,922",,,,,
2015-03-20,"4,074",,,,,
2015-03-23,"4,120",,,,,
2015-03-24,"4,227",,,,,
2015-03-25,"4,210",,,,,
2015-03-26,"4,229",,,,,
2015-03-27,"4,191",,,,,
2015-03-30,"4,270",,,,,
2015-03-31,"4,258",,,,,
2015-04-01,"4,290",,,,,
2015-04-02,"4,286",,,,,
2015-04-07,"4,260",,,,,
2015-04-08,"4,237",,,,,
2015-04-09,"4,243",,,,,
2015-04-10,"4,240",,,,,
2015-04-13,"4,260",,,,,
2015-04-14,"4,155",,,,,
2015-04-15,"4,251",,,,,
2015-04-16,"4,204",,,,,
2015-04-17,"4,098",,,,,
2015-04-20,"4,145",,,,,
2015-04-21,"4,070",,,,,
2015-04-22,"4,124",,,,,
2015-04-23,"4,161",,,,,
2015-04-24,"4,252",,,,,
2015-04-27,"4,303",,,,,
2015-04-28,"4,325",,,,,
2015-04-29,"4,237",,,,,
2015-04-30,"4,326",,,,,
2015-05-04,"4,306",,,,,
2015-05-05,"4,142",,,,,
2015-05-06,"4,185",,,,,
2015-05-07,"4,218",,,,,
2015-05-08,"4,265",,,,,
2015-05-11,"4,294",,,,,
2015-05-12,"4,295",,,,,
2015-05-13,"4,278",,,,,
2015-05-14,"4,317",,,,,
2015-05-15,"4,264",,,,,
2015-05-18,"4,263",,,,,
2015-05-19,"4,320",,,,,
2015-05-20,"4,345",,,,,
2015-05-21,"4,312",,,,,
2015-05-22,"4,321",,,,,
2015-05-25,"4,220",,,,,
2015-05-26,"4,180",,,,,
2015-05-27,"4,270",,,,,
2015-05-28,"4,250",,,,,
2015-05-29,"4,210",,,,,
2015-06-01,"4,210",,,,,
2015-06-02,"4,250",,,,,
2015-06-03,"4,280",,,,,
2015-06-04,"4,260",,,,,
2015-06-05,"4,220",,,,,
2015-06-08,"4,150",,,,,
2015-06-09,"4,180",,,,,
2015-06-10,"4,290",,,,,
2015-06-11,"4,310",,,,,
2015-06-12,"4,190",,,,,
2015-06-15,"4,110",,,,,
2015-06-16,"4,090",,,,,
2015-06-17,"4,120",,,,,
2015-06-18,"4,160",,,,,
2015-06-19,"4,200",,,,,
2015-06-22,"4,300",,,,,
2015-06-23,"4,280",,,,,
2015-06-24,"4,140",,,,,
2015-06-25,"4,170",,,,,
2015-06-26,"4,200",,,,,
2015-06-29,"4,020",,,,,
2015-06-30,"4,010",,,,,
2015-07-01,"4,060",,,,,
2015-07-02,"4,050",,,,,
2015-07-03,"4,040",,,,,
2015-07-06,"3,930",,,,,
2015-07-07,"3,860",,,,,
2015-07-08,"3,950",,,,,
2015-07-09,"4,040",,,,,
2015-07-10,"4,120",,,,,
2015-07-13,"4,150",,,,,
2015-07-14,"4,110",,,,,
2015-07-15,"4,110",,,,,
2015-07-16,"4,160",,,,,
2015-07-17,"4,170",,,,,
2015-07-20,"4,210",,,,,
2015-07-21,"4,180",,,,,
2015-07-22,"4,180",,,,,
2015-07-23,"4,140",,,,,
2015-07-24,"4,040",,,,,
2015-07-27,"4,050",,,,,
2015-07-28,"4,080",,,,,
2015-07-29,"4,010",,,,,
2015-07-30,"4,010",,,,,
2015-07-31,"3,910",,,,,
2015-08-03,"3,930",,,,,
2015-08-04,"3,830",,,,,
2015-08-05,"3,860",,,,,
2015-08-06,"3,880",,,,,
2015-08-07,"3,830",,,,,
2015-08-10,"3,890",,,,,
2015-08-11,"3,870",,,,,
2015-08-12,"3,800",,,,,
2015-08-13,"3,830",,,,,
2015-08-14,"3,790",,,,,
2015-08-17,"3,800",,,,,
2015-08-18,"3,810",,,,,
2015-08-19,"3,790",,,,,
2015-08-20,"3,770",,,,,
2015-08-21,"3,660",,,,,
2015-08-24,"3,500",,,,,
2015-08-25,"3,610",,,,,
2015-08-26,"3,590",,,,,
2015-08-27,"3,740",,,,,
2015-08-28,"3,740",,,,,
2015-08-31,"3,720",,,,,
2015-09-01,"3,610",,,,,
2015-09-02,"3,570",,,,,
2015-09-03,"3,570",,,,,
2015-09-04,"3,520",,,,,
2015-09-07,"3,500",,,,,
2015-09-08,"3,550",,,,,
2015-09-09,"3,600",,,,,
2015-09-10,"3,520",,,,,
2015-09-11,"3,480",,,,,
2015-09-14,"3,450",,,,,
2015-09-15,"3,500",,,,,
2015-09-16,"3,470",,,,,
2015-09-17,"3,650",,,,,
2015-09-18,"3,560",,,,,
2015-09-21,"3,530",,,,,
2015-09-22,"3,420",,,,,
2015-09-23,"3,340",,,,,
2015-09-24,"3,270",,,,,
2015-09-25,"3,300",,,,,
2015-09-28,"3,270",,,,,
2015-09-29,"3,320",,,,,
2015-09-30,"3,350",,,,,
2015-10-01,"3,380",,,,,
2015-10-02,"3,430",,,,,
2015-10-05,"3,540",,,,,
2015-10-06,"3,600",,,,,
2015-10-07,"3,700",,,,,
2015-10-08,"3,800",,,,,
2015-10-09,"3,840",,,,,
2015-10-12,"3,780",,,,,
2015-10-13,"3,670",,,,,
2015-10-14,"3,690",,,,,
2015-10-15,"3,630",,,,,
2015-10-16,"3,660",,,,,
2015-10-19,"3,670",,,,,
2015-10-20,"3,610",,,,,
2015-10-21,"3,630",,,,,
2015-10-22,"3,610",,,,,
2015-10-23,"3,490",,,,,
2015-10-26,"3,490",,,,,
2015-10-27,"3,390",,,,,
2015-10-28,"3,370",,,,,
2015-10-29,"3,360",,,,,
2015-10-30,"3,400",,,,,
2015-11-02,"3,400",,,,,
2015-11-03,"3,430",,,,,
2015-11-04,"3,400",,,,,
2015-11-05,"3,330",,,,,
2015-11-06,"3,460",,,,,
2015-11-09,"3,420",,,,,
2015-11-10,"3,360",,,,,
2015-11-11,"3,410",,,,,
2015-11-12,"3,300",,,,,
2015-11-13,"3,330",,,,,
2015-11-16,"3,320",,,,,
2015-11-17,"3,390",,,,,
2015-11-18,"3,370",,,,,
2015-11-19,"3,460",,,,,
2015-11-20,"3,380",,,,,
2015-11-23,"3,400",,,,,
2015-11-24,"3,430",,,,,
2015-11-25,"3,360",,,,,
2015-11-26,"3,400",,,,,
2015-11-27,"3,360",,,,,
2015-11-30,"3,380",,,,,
2015-12-01,"3,440",,,,,
2015-12-02,"3,440",,,,,
2015-12-03,"3,480",,,,,
2015-12-04,"3,530",,,,,
2015-12-07,"3,480",,,,,
2015-12-08,"3,380",,,,,
2015-12-09,"3,400",,,,,
2015-12-10,"3,350",,,,,
2015-12-11,"3,360",,,,,
2015-12-14,"3,320",,,,,
2015-12-15,"3,460",,,,,
2015-12-16,"3,450",,,,,
2015-12-17,"3,550",,,,,
2015-12-18,"3,520",,,,,
2015-12-21,"3,260",,,,,
2015-12-22,"3,230",,,,,
2015-12-23,"3,220",,,,,
2015-12-24,"3,200",,,,,
2015-12-28,"3,160",,,,,
2015-12-29,"3,180",,,,,
2015-12-30,"3,160",,,,,
2015-12-31,"3,130",,,,,
2016-01-04,"3,120",,,,,
2016-01-05,"3,090",,,,,
2016-01-06,"2,980",,,,,
2016-01-07,"2,910",,,,,
2016-01-08,"2,870",,,,,
2016-01-11,"2,860",,,,,
2016-01-12,"2,840",,,,,
2016-01-13,"2,860",,,,,
2016-01-14,"2,840",,,,,
2016-01-15,"2,760",,,,,
2016-01-18,"2,780",,,,,
2016-01-19,"2,730",,,,,
2016-01-20,"2,600",,,,,
2016-01-21,"2,670",,,,,
2016-01-22,"2,770",,,,,
2016-01-25,"2,590",,,,,
2016-01-26,"2,700",,,,,
2016-01-27,"2,680",,,,,
2016-01-28,"2,610",,,,,
2016-01-29,"2,710",,,,,
2016-02-01,"2,650",,,,,
2016-02-02,"2,490",,,,,
2016-02-03,"2,370",,,,,
2016-02-04,"2,440",,,,,
2016-02-05,"2,570",,,,,
2016-02-08,"2,410",,,,,
2016-02-09,"2,380",,,,,
2016-02-10,"2,480",,,,,
2016-02-11,"2,320",,,,,
2016-02-12,"2,410",,,,,
2016-02-15,"2,510",,,,,
2016-02-16,"2,510",,,,,
2016-02-17,"2,610",,,,,
2016-02-18,"2,460",,,,,
2016-02-19,"2,400",,,,,
2016-02-22,"2,500",,,,,
2016-02-23,"2,470",,,,,
2016-02-24,"2,370",,,,,
2016-02-25,"2,400",,,,,
2016-02-26,"2,480",,,,,
2016-02-29,"2,580",,,,,
2016-03-01,"2,570",,,,,
2016-03-02,"2,670",,,,,
2016-03-03,"2,680",,,,,
2016-03-04,"2,660",,,,,
2016-03-07,"2,610",,,,,
2016-03-08,"2,600",,,,,
2016-03-09,"2,590",,,,,
2016-03-10,"2,670",,,,,
2016-03-11,"2,830",,,,,
2016-03-14,"2,840",,,,,
2016-03-15,"2,750",,,,,
2016-03-16,"2,710",,,,,
2016-03-17,"2,700",,,,,
2016-03-18,"2,770",,,,,
2016-03-21,"2,750",,,,,
2016-03-22,"2,750",,,,,
2016-03-23,"2,700",,,,,
2016-03-24,"2,650",,,,,
2016-03-29,"2,610",,,,,
2016-03-30,"2,610",,,,,
2016-03-31,"2,570",,,,,
2016-04-01,"2,580",,,,,
2016-04-04,"2,520",,,,,
2016-04-05,"2,460",,,,,
2016-04-06,"2,460",,,,,
2016-04-07,"2,390",,,,,
2016-04-08,"2,460",,,,,
2016-04-11,"2,500",,,,,
2016-04-12,"2,480",,,,,
2016-04-13,"2,610",,,,,
2016-04-14,"2,640",,,,,
2016-04-15,"2,650",,,,,
2016-04-18,"2,570",,,,,
2016-04-19,"2,580",,,,,
2016-04-20,"2,650",,,,,
2016-04-21,"2,760",,,,,
2016-04-22,"2,790",,,,,
2016-04-25,"2,710",,,,,
2016-04-26,"2,810",,,,,
2016-04-27,"2,780",,,,,
2016-04-28,"2,690",,,,,
2016-04-29,"2,600",,,,,
2016-05-02,"2,570",,,,,
2016-05-03,"2,430",,,,,
2016-05-04,"2,400",,,,,
2016-05-05,"2,370",,,,,
2016-05-06,"2,400",,,,,
2016-05-09,"2,350",,,,,
2016-05-10,"2,370",,,,,
2016-05-11,"2,360",,,,,
