"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","1,595","1,730","1,740","1,563","-","-11,88%"
"13.03.2020","1,810","2,050","2,050","1,760","35,92M","3,43%"
"12.03.2020","1,750","2,000","2,020","1,740","73,65M","-15,87%"
"11.03.2020","2,080","2,020","2,130","2,020","35,85M","4,52%"
"10.03.2020","1,990","2,040","2,130","1,960","41,81M","-0,50%"
"09.03.2020","2,000","2,100","2,110","1,970","45,52M","-8,26%"
"06.03.2020","2,180","2,190","2,210","2,140","45,15M","-2,68%"
"05.03.2020","2,240","2,360","2,360","2,210","56,97M","-3,86%"
"04.03.2020","2,330","2,420","2,460","2,300","37,59M","-3,72%"
"03.03.2020","2,420","2,360","2,510","2,340","51,89M","3,86%"
"02.03.2020","2,330","2,360","2,370","2,240","27,85M","0,43%"
"28.02.2020","2,320","2,360","2,380","2,270","35,12M","-4,53%"
"27.02.2020","2,430","2,480","2,500","2,400","16,46M","-3,57%"
"26.02.2020","2,520","2,530","2,550","2,470","21,13M","-0,40%"
"25.02.2020","2,530","2,620","2,620","2,530","22,18M","-3,44%"
"24.02.2020","2,620","2,640","2,660","2,580","25,03M","-2,96%"
"21.02.2020","2,700","2,680","2,710","2,670","18,54M","0,00%"
"20.02.2020","2,700","2,750","2,770","2,700","15,99M","-1,82%"
"19.02.2020","2,750","2,760","2,770","2,730","13,45M","0,73%"
"18.02.2020","2,730","2,810","2,840","2,730","16,63M","-2,85%"
"17.02.2020","2,810","2,820","2,830","2,800","9,91M","0,00%"
"14.02.2020","2,810","2,870","2,880","2,800","18,12M","-2,09%"
"13.02.2020","2,870","2,850","2,870","2,800","13,25M","-0,35%"
"12.02.2020","2,880","2,780","2,900","2,780","20,21M","4,35%"
"11.02.2020","2,760","2,940","2,940","2,760","32,54M","-5,15%"
"10.02.2020","2,910","2,900","2,920","2,880","18,44M","0,00%"
"07.02.2020","2,910","2,860","2,910","2,850","21,00M","1,04%"
"06.02.2020","2,880","2,820","2,890","2,800","28,08M","2,86%"
"05.02.2020","2,800","2,670","2,800","2,660","48,20M","4,87%"
"04.02.2020","2,670","2,690","2,710","2,660","12,22M","0,38%"
"03.02.2020","2,660","2,670","2,700","2,640","9,39M","0,76%"
"31.01.2020","2,640","2,680","2,770","2,620","20,55M","0,00%"
"30.01.2020","2,640","2,590","2,660","2,580","17,81M","1,15%"
"29.01.2020","2,610","2,620","2,650","2,610","12,84M","-0,38%"
"28.01.2020","2,620","2,630","2,650","2,590","13,89M","0,38%"
"27.01.2020","2,610","2,620","2,650","2,600","14,24M","-1,51%"
"24.01.2020","2,650","2,700","2,730","2,650","31,47M","-0,75%"
"23.01.2020","2,670","2,700","2,760","2,650","14,02M","-1,11%"
"22.01.2020","2,700","2,720","2,740","2,690","11,34M","-0,37%"
"21.01.2020","2,710","2,760","2,790","2,710","25,94M","-3,21%"
"20.01.2020","2,800","2,770","2,810","2,740","9,92M","1,08%"
"17.01.2020","2,770","2,750","2,800","2,750","10,82M","1,09%"
"16.01.2020","2,740","2,710","2,750","2,690","9,73M","1,11%"
"15.01.2020","2,710","2,740","2,750","2,710","10,48M","-1,09%"
"14.01.2020","2,740","2,790","2,790","2,710","15,81M","-1,44%"
"13.01.2020","2,780","2,780","2,790","2,740","12,95M","0,00%"
"10.01.2020","2,780","2,890","2,890","2,770","13,86M","-2,46%"
"09.01.2020","2,850","2,910","2,920","2,850","12,86M","-1,38%"
"08.01.2020","2,890","2,860","2,900","2,850","11,09M","0,35%"
"07.01.2020","2,880","2,870","2,900","2,850","11,09M","0,70%"
"06.01.2020","2,860","2,850","2,870","2,810","9,50M","-0,35%"
"03.01.2020","2,870","2,860","2,880","2,850","12,77M","-1,03%"
"02.01.2020","2,900","2,840","2,900","2,820","13,22M","3,57%"
"31.12.2019","2,800","2,790","2,800","2,760","8,84M","0,00%"
"30.12.2019","2,800","2,820","2,830","2,800","17,97M","-0,71%"
"27.12.2019","2,820","2,830","2,870","2,820","7,22M","-0,35%"
"24.12.2019","2,830","2,830","2,840","2,820","2,69M","0,00%"
"23.12.2019","2,830","2,850","2,870","2,820","7,97M","-1,39%"
