fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"13,56","0,12","4,02",0,"0,4",0,772
2020-06-02,"13,56","0,12","3,86",0,"0,4",0,772
2020-06-03,"13,56","0,12","3,65",0,"0,4",0,772
2020-06-04,"13,56","0,12","3,67",0,"0,4",0,772
2020-06-05,"13,56","0,12","3,41",0,"0,4",0,772
2020-06-08,"16,55","0,12","3,41",0,"0,49",0,"782,63"
2020-06-09,"16,55","0,12","3,57",0,"0,49",0,"782,63"
2020-06-10,"16,55","0,12","3,61",0,"0,49",0,"782,63"
2020-06-11,"16,55","0,12","3,76",0,"0,49",0,"782,63"
2020-06-12,"16,55","0,12","3,77",0,"0,49",0,"782,63"
2020-06-15,,,"3,72",,,,
2020-06-16,"15,01","0,12","3,59",0,"0,44",0,772
2020-06-17,"15,01","0,12","3,59",0,"0,44",0,772
2020-06-18,"15,01","0,12","3,62",0,"0,44",0,772
2020-06-19,"15,01","0,12","3,65",0,"0,44",0,772
2020-06-22,"15,98","0,12","3,70",0,"0,46",0,750
2020-06-23,"15,98","0,12","3,63",0,"0,46",0,750
2020-06-24,"15,98","0,12","3,77",0,"0,46",0,750
2020-06-25,"15,98","0,12","3,71",0,"0,46",0,750
2020-06-26,"15,98","0,12","3,79",0,"0,46",0,750
2020-06-29,"14,92","0,12","3,65",0,"0,44",0,757
2020-06-30,"14,92","0,12","3,68",0,"0,44",0,757
