"Año";"Periodo";"Tasa de paro"
"2002";"Trimestre 2";"11,15"
"2002";"Trimestre 3";"11,49"
"2002";"Trimestre 4";"11,61"
"2003";"Trimestre 1";"11,99"
"2003";"Trimestre 2";"11,28"
"2003";"Trimestre 3";"11,3"
"2003";"Trimestre 4";"11,37"
"2004";"Trimestre 1";"11,5"
"2004";"Trimestre 2";"11,09"
"2004";"Trimestre 3";"10,74"
"2004";"Trimestre 4";"10,53"
"2005";"Trimestre 1";"10,17"
"2005";"Trimestre 2";"9,32"
"2005";"Trimestre 3";"8,41"
"2005";"Trimestre 4";"8,7"
"2006";"Trimestre 1";"9,03"
"2006";"Trimestre 2";"8,44"
"2006";"Trimestre 3";"8,08"
"2006";"Trimestre 4";"8,26"
"2007";"Trimestre 1";"8,42"
"2007";"Trimestre 2";"7,93"
"2007";"Trimestre 3";"8,01"
"2007";"Trimestre 4";"8,57"
"2008";"Trimestre 1";"9,6"
"2008";"Trimestre 2";"10,36"
"2008";"Trimestre 3";"11,23"
"2008";"Trimestre 4";"13,79"
"2009";"Trimestre 1";"17,24"
"2009";"Trimestre 2";"17,77"
"2009";"Trimestre 3";"17,75"
"2009";"Trimestre 4";"18,66"
"2010";"Trimestre 1";"19,84"
"2010";"Trimestre 2";"19,89"
"2010";"Trimestre 3";"19,59"
"2010";"Trimestre 4";"20,11"
"2011";"Trimestre 1";"21,08"
"2011";"Trimestre 2";"20,64"
"2011";"Trimestre 3";"21,28"
"2011";"Trimestre 4";"22,56"
"2012";"Trimestre 1";"24,19"
"2012";"Trimestre 2";"24,4"
"2012";"Trimestre 3";"24,79"
"2012";"Trimestre 4";"25,77"
"2013";"Trimestre 1";"26,94"
"2013";"Trimestre 2";"26,06"
"2013";"Trimestre 3";"25,65"
"2013";"Trimestre 4";"25,73"
"2014";"Trimestre 1";"25,93"
"2014";"Trimestre 2";"24,47"
"2014";"Trimestre 3";"23,67"
"2014";"Trimestre 4";"23,7"
"2015";"Trimestre 1";"23,78"
"2015";"Trimestre 2";"22,37"
"2015";"Trimestre 3";"21,18"
"2015";"Trimestre 4";"20,9"
"2016";"Trimestre 1";"21"
"2016";"Trimestre 2";"20"
"2016";"Trimestre 3";"18,91"
"2016";"Trimestre 4";"18,63"
"2017";"Trimestre 1";"18,75"
"2017";"Trimestre 2";"17,22"
"2017";"Trimestre 3";"16,38"
"2017";"Trimestre 4";"16,55"
"2018";"Trimestre 1";"16,74"
"2018";"Trimestre 2";"15,28"
"2018";"Trimestre 3";"14,55"
"2018";"Trimestre 4";"14,45"
"2019";"Trimestre 1";"14,7"
"2019";"Trimestre 2";"14,02"
"2019";"Trimestre 3";"13,92"
"2019";"Trimestre 4";"13,78"
"2020";"Trimestre 1";"14,41"
"2020";"Trimestre 2”;”14,81”
;;
;;
"Métrica":"Tasa de paro"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-tasa-paro-espana/7c16eeb2-b201-450b-b56c-e00df71ee371/espana/106"
"Titulo":"Evolución de la tasa de paro "
"Subtitulo":""
