"Año";"Periodo";"IPC general"
"2003";"Enero";"3,71"
"2003";"Febrero";"3,84"
"2003";"Marzo";"3,71"
"2003";"Abril";"3,15"
"2003";"Mayo";"2,68"
"2003";"Junio";"2,75"
"2003";"Julio";"2,82"
"2003";"Agosto";"2,99"
"2003";"Septiembre";"2,92"
"2003";"Octubre";"2,59"
"2003";"Noviembre";"2,77"
"2003";"Diciembre";"2,6"
"2004";"Enero";"2,3"
"2004";"Febrero";"2,13"
"2004";"Marzo";"2,14"
"2004";"Abril";"2,7"
"2004";"Mayo";"3,4"
"2004";"Junio";"3,5"
"2004";"Julio";"3,36"
"2004";"Agosto";"3,35"
"2004";"Septiembre";"3,22"
"2004";"Octubre";"3,58"
"2004";"Noviembre";"3,51"
"2004";"Diciembre";"3,23"
"2005";"Enero";"3,08"
"2005";"Febrero";"3,3"
"2005";"Marzo";"3,4"
"2005";"Abril";"3,47"
"2005";"Mayo";"3,06"
"2005";"Junio";"3,14"
"2005";"Julio";"3,29"
"2005";"Agosto";"3,28"
"2005";"Septiembre";"3,73"
"2005";"Octubre";"3,51"
"2005";"Noviembre";"3,41"
"2005";"Diciembre";"3,74"
"2006";"Enero";"4,19"
"2006";"Febrero";"3,97"
"2006";"Marzo";"3,89"
"2006";"Abril";"3,86"
"2006";"Mayo";"4,03"
"2006";"Junio";"3,95"
"2006";"Julio";"3,96"
"2006";"Agosto";"3,72"
"2006";"Septiembre";"2,92"
"2006";"Octubre";"2,51"
"2006";"Noviembre";"2,61"
"2006";"Diciembre";"2,67"
"2007";"Enero";"2,39"
"2007";"Febrero";"2,41"
"2007";"Marzo";"2,46"
"2007";"Abril";"2,43"
"2007";"Mayo";"2,35"
"2007";"Junio";"2,38"
"2007";"Julio";"2,24"
"2007";"Agosto";"2,17"
"2007";"Septiembre";"2,68"
"2007";"Octubre";"3,59"
"2007";"Noviembre";"4,07"
"2007";"Diciembre";"4,22"
"2008";"Enero";"4,28"
"2008";"Febrero";"4,37"
"2008";"Marzo";"4,5"
"2008";"Abril";"4,19"
"2008";"Mayo";"4,6"
"2008";"Junio";"5,01"
"2008";"Julio";"5,27"
"2008";"Agosto";"4,9"
"2008";"Septiembre";"4,54"
"2008";"Octubre";"3,56"
"2008";"Noviembre";"2,38"
"2008";"Diciembre";"1,43"
"2009";"Enero";"0,81"
"2009";"Febrero";"0,66"
"2009";"Marzo";"-0,06"
"2009";"Abril";"-0,16"
"2009";"Mayo";"-0,86"
"2009";"Junio";"-1"
"2009";"Julio";"-1,37"
"2009";"Agosto";"-0,81"
"2009";"Septiembre";"-1,03"
"2009";"Octubre";"-0,66"
"2009";"Noviembre";"0,3"
"2009";"Diciembre";"0,79"
"2010";"Enero";"1,03"
"2010";"Febrero";"0,83"
"2010";"Marzo";"1,42"
"2010";"Abril";"1,5"
"2010";"Mayo";"1,77"
"2010";"Junio";"1,5"
"2010";"Julio";"1,91"
"2010";"Agosto";"1,82"
"2010";"Septiembre";"2,13"
"2010";"Octubre";"2,33"
"2010";"Noviembre";"2,33"
"2010";"Diciembre";"2,99"
"2011";"Enero";"3,27"
"2011";"Febrero";"3,59"
"2011";"Marzo";"3,6"
"2011";"Abril";"3,78"
"2011";"Mayo";"3,51"
"2011";"Junio";"3,18"
"2011";"Julio";"3,09"
"2011";"Agosto";"2,96"
"2011";"Septiembre";"3,14"
"2011";"Octubre";"3,01"
"2011";"Noviembre";"2,87"
"2011";"Diciembre";"2,38"
"2012";"Enero";"2"
"2012";"Febrero";"1,97"
"2012";"Marzo";"1,9"
"2012";"Abril";"2,06"
"2012";"Mayo";"1,94"
"2012";"Junio";"1,9"
"2012";"Julio";"2,21"
"2012";"Agosto";"2,66"
"2012";"Septiembre";"3,41"
"2012";"Octubre";"3,47"
"2012";"Noviembre";"2,93"
"2012";"Diciembre";"2,87"
"2013";"Enero";"2,68"
"2013";"Febrero";"2,75"
"2013";"Marzo";"2,43"
"2013";"Abril";"1,39"
"2013";"Mayo";"1,72"
"2013";"Junio";"2,06"
"2013";"Julio";"1,78"
"2013";"Agosto";"1,52"
"2013";"Septiembre";"0,34"
"2013";"Octubre";"-0,1"
"2013";"Noviembre";"0,23"
"2013";"Diciembre";"0,25"
"2014";"Enero";"0,2"
"2014";"Febrero";"-0,02"
"2014";"Marzo";"-0,15"
"2014";"Abril";"0,37"
"2014";"Mayo";"0,21"
"2014";"Junio";"0,09"
"2014";"Julio";"-0,34"
"2014";"Agosto";"-0,49"
"2014";"Septiembre";"-0,15"
"2014";"Octubre";"-0,09"
"2014";"Noviembre";"-0,37"
"2014";"Diciembre";"-1,04"
"2015";"Enero";"-1,32"
"2015";"Febrero";"-1,07"
"2015";"Marzo";"-0,66"
"2015";"Abril";"-0,64"
"2015";"Mayo";"-0,18"
"2015";"Junio";"0,06"
"2015";"Julio";"0,07"
"2015";"Agosto";"-0,42"
"2015";"Septiembre";"-0,88"
"2015";"Octubre";"-0,71"
"2015";"Noviembre";"-0,27"
"2015";"Diciembre";"0,02"
"2016";"Enero";"-0,29"
"2016";"Febrero";"-0,84"
"2016";"Marzo";"-0,84"
"2016";"Abril";"-1,05"
"2016";"Mayo";"-0,99"
"2016";"Junio";"-0,8"
"2016";"Julio";"-0,59"
"2016";"Agosto";"-0,13"
"2016";"Septiembre";"0,18"
"2016";"Octubre";"0,68"
"2016";"Noviembre";"0,67"
"2016";"Diciembre";"1,57"
"2017";"Enero";"2,97"
"2017";"Febrero";"2,97"
"2017";"Marzo";"2,29"
"2017";"Abril";"2,55"
"2017";"Mayo";"1,94"
"2017";"Junio";"1,51"
"2017";"Julio";"1,55"
"2017";"Agosto";"1,62"
"2017";"Septiembre";"1,79"
"2017";"Octubre";"1,57"
"2017";"Noviembre";"1,67"
"2017";"Diciembre";"1,11"
"2018";"Enero";"0,57"
"2018";"Febrero";"1,07"
"2018";"Marzo";"1,21"
"2018";"Abril";"1,08"
"2018";"Mayo";"2,05"
"2018";"Junio";"2,27"
"2018";"Julio";"2,25"
"2018";"Agosto";"2,19"
"2018";"Septiembre";"2,26"
"2018";"Octubre";"2,26"
"2018";"Noviembre";"1,69"
"2018";"Diciembre";"1,18"
"2019";"Enero";"0,98"
"2019";"Febrero";"1,09"
"2019";"Marzo";"1,34"
"2019";"Abril";"1,52"
"2019";"Mayo";"0,81"
"2019";"Junio";"0,43"
"2019";"Julio";"0,53"
"2019";"Agosto";"0,33"
"2019";"Septiembre";"0,08"
"2019";"Octubre";"0,13"
"2019";"Noviembre";"0,41"
"2019";"Diciembre";"0,79"
"2020";"Enero";"1,1"
"2020";"Febrero";"0,73"
"2020";"Marzo";"-0,02"
"2020";"Abril";"-0,72"
"2020";"Mayo";"-0,92"
"2020";"Junio";"-0,34"
"2020";"Julio";"-0,60"
"2020";"Agosto";"-0,60"
"2020";"Septiembre";"-0,60"
"2020";"Octubre";"-0,60"
