fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-06-30,"23,700","24,010","24,150","23,590","1,55M","-1,13%"
2020-06-29,"23,970","24,110","24,410","23,900","1,47M","-1,15%"
2020-06-26,"24,250","24,670","24,900","24,210","1,27M","-1,42%"
2020-06-25,"24,600","24,470","24,690","24,130","2,90M","0,29%"
2020-06-24,"24,530","24,920","25,200","24,530","989,15K","-2,35%"
2020-06-23,"25,120","25,330","25,500","24,810","2,51M","0,20%"
2020-06-22,"25,070","24,940","25,370","24,760","907,98K","-0,12%"
2020-06-19,"25,100","25,120","25,400","25,090","2,40M","-0,24%"
2020-06-18,"25,160","25,100","25,510","25,020","1,34M","-0,12%"
2020-06-17,"25,190","25,600","25,650","24,980","2,66M","-1,76%"
2020-06-16,"25,640","25,510","26,000","25,400","1,35M","3,30%"
2020-06-15,"24,820","24,080","25,020","23,940","2,12M","0,89%"
2020-06-12,"24,600","24,550","24,970","24,160","4,54M","-0,12%"
2020-06-11,"24,630","25,080","25,080","24,550","3,11M","-3,37%"
2020-06-10,"25,490","25,730","26,070","25,400","1,80M","-1,28%"
2020-06-09,"25,820","26,000","26,180","25,560","2,31M","-0,77%"
2020-06-08,"26,020","25,720","26,260","25,690","2,07M","0,08%"
2020-06-05,"26,000","25,800","26,220","25,750","3,34M","1,36%"
2020-06-04,"25,650","25,610","26,100","25,520","2,01M","-1,08%"
2020-06-03,"25,930","25,750","26,010","25,600","1,75M","1,81%"
2020-06-02,"25,470","24,930","25,520","24,910","1,39M","2,78%"
