fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-16,"19,405","20,030","20,245","18,490",,"-8,38%"
2020-03-13,"21,180","20,570","23,750","20,540","3,21M","4,85%"
2020-03-12,"20,200","20,360","21,900","19,750","9,66M","-12,48%"
2020-03-11,"23,080","23,900","24,180","22,970","6,49M","-2,41%"
2020-03-10,"23,650","24,310","25,390","23,620","2,39M","-2,39%"
2020-03-09,"24,230","24,200","25,500","24,000","6,26M","-8,29%"
2020-03-06,"26,420","27,660","27,670","26,140","3,33M","-5,88%"
2020-03-05,"28,070","28,290","28,670","27,850","6,76M","-0,28%"
2020-03-04,"28,150","27,700","28,300","27,550","2,28M","1,44%"
2020-03-03,"27,750","27,150","28,140","27,020","12,09M","3,31%"
2020-03-02,"26,860","26,490","26,990","26,240","3,96M","3,79%"
2020-02-28,"25,880","26,000","26,300","25,660","3,78M","-3,68%"
2020-02-27,"26,870","27,500","27,770","26,660","1,79M","-3,83%"
2020-02-26,"27,940","27,770","28,090","27,070","3,97M","-0,43%"
2020-02-25,"28,060","28,800","28,920","28,060","2,47M","-2,20%"
2020-02-24,"28,690","29,130","29,220","28,540","1,08M","-3,69%"
2020-02-21,"29,790","29,710","29,810","29,380","1,96M","0,10%"
2020-02-20,"29,760","30,360","30,430","29,680","1,36M","-2,27%"
2020-02-19,"30,450","30,390","30,500","30,210","975,20K","0,86%"
2020-02-18,"30,190","30,120","30,380","30,120","683,80K","-0,20%"
2020-02-17,"30,250","29,910","30,250","29,830","911,91K","1,27%"
2020-02-14,"29,870","29,480","29,870","29,460","2,40M","1,29%"
2020-02-13,"29,490","29,520","29,670","29,300","1,33M","-0,20%"
2020-02-12,"29,550","29,750","29,750","29,450","1,09M","-0,44%"
2020-02-11,"29,680","29,250","29,710","29,250","833,72K","1,82%"
2020-02-10,"29,150","28,880","29,310","28,750","1,55M","0,66%"
2020-02-07,"28,960","29,000","29,010","28,630","3,74M","0,14%"
2020-02-06,"28,920","29,140","29,220","28,860","1,08M","-0,65%"
2020-02-05,"29,110","28,750","29,390","28,730","6,99M","0,97%"
2020-02-04,"28,830","28,740","28,830","28,580","1,12M","0,77%"
2020-02-03,"28,610","28,730","28,860","28,550","1,34M","-0,17%"
2020-01-31,"28,660","28,960","29,140","28,410","1,56M","-0,83%"
2020-01-30,"28,900","29,000","29,160","28,620","3,31M","-1,10%"
2020-01-29,"29,220","28,970","29,350","28,950","1,05M","0,41%"
2020-01-28,"29,100","29,110","29,280","28,850","1,45M","-0,07%"
2020-01-27,"29,120","29,320","29,320","28,870","888,78K","-1,62%"
2020-01-24,"29,600","29,540","29,720","29,480","914,07K","0,99%"
2020-01-23,"29,310","29,230","29,480","29,020","1,14M","-0,07%"
2020-01-22,"29,330","29,400","29,490","29,250","1,32M","0,03%"
2020-01-21,"29,320","28,900","29,320","28,820","4,63M","0,86%"
2020-01-20,"29,070","28,930","29,110","28,880","1,34M","0,45%"
2020-01-17,"28,940","28,500","28,990","28,410","2,98M","1,90%"
2020-01-16,"28,400","28,490","28,540","28,310","655,61K","-0,56%"
2020-01-15,"28,560","28,140","28,560","27,950","942,68K","1,35%"
2020-01-14,"28,180","27,900","28,180","27,700","5,31M","1,33%"
2020-01-13,"27,810","27,740","28,010","27,700","529,96K","0,18%"
2020-01-10,"27,760","27,680","27,810","27,470","704,86K","0,54%"
2020-01-09,"27,610","27,760","27,850","27,460","1,37M","-0,18%"
2020-01-08,"27,660","27,300","27,730","27,290","1,43M","0,58%"
2020-01-07,"27,500","27,150","27,500","27,130","1,31M","1,51%"
2020-01-06,"27,090","26,950","27,180","26,730","872,09K","-0,04%"
2020-01-03,"27,100","27,180","27,220","26,840","1,13M","-0,70%"
2020-01-02,"27,290","27,150","27,340","26,980","1,08M","1,19%"
2019-12-31,"26,970","26,550","26,970","26,500","1,13M","0,86%"
2019-12-30,"26,740","27,050","27,050","26,670","705,08K","-1,47%"
2019-12-27,"27,140","27,350","27,350","26,950","980,23K","-0,15%"
2019-12-24,"27,180","27,000","27,350","26,640","868,32K","0,55%"
2019-12-23,"27,030","26,700","27,210","26,680","1,51M","0,93%"
2019-12-20,"26,780","26,840","26,920","26,550","4,52M","-0,07%"
2019-12-19,"26,800","27,010","27,110","26,730","3,91M","-0,92%"
2019-12-18,"27,050","27,130","27,420","26,970","1,61M","-0,26%"
2019-12-17,"27,120","27,160","27,210","26,800","3,84M","-0,33%"
2019-12-16,"27,210","26,900","27,270","26,770","3,26M","0,11%"
2019-12-13,"27,180","27,480","27,540","27,100","1,15M","0,07%"
2019-12-12,"27,160","27,100","27,530","27,060","5,56M","0,44%"
2019-12-11,"27,040","27,130","27,200","26,900","855,75K","-0,33%"
2019-12-10,"27,130","27,030","27,220","26,720","813,96K","0,07%"
2019-12-09,"27,110","26,870","27,190","26,750","1,28M","1,27%"
2019-12-06,"26,770","26,590","26,830","26,440","990,11K","0,71%"
2019-12-05,"26,580","26,650","26,780","26,580","3,55M","-0,23%"
2019-12-04,"26,640","26,160","26,740","26,140","2,49M","2,54%"
2019-12-03,"25,980","26,030","26,450","25,980","1,90M","0,12%"
2019-12-02,"25,950","26,870","26,990","25,870","3,63M","-3,71%"
2019-11-29,"26,950","26,880","27,080","26,760","851,69K","-0,11%"
2019-11-28,"26,980","26,780","26,980","26,610","2,62M","0,71%"
2019-11-27,"26,790","26,610","26,880","26,450","1,37M","0,68%"
2019-11-26,"26,610","26,410","26,670","26,150","2,57M","0,60%"
2019-11-25,"26,450","26,300","26,480","26,140","1,46M","1,22%"
2019-11-22,"26,130","26,420","26,480","26,080","1,62M","-0,87%"
2019-11-21,"26,360","26,450","26,510","26,120","985,22K","-0,60%"
2019-11-20,"26,520","26,350","26,740","26,310","2,04M","0,23%"
2019-11-19,"26,460","26,210","26,640","26,190","1,10M","1,15%"
2019-11-18,"26,160","26,030","26,240","25,890","1,62M","0,11%"
2019-11-15,"26,130","25,960","26,190","25,910","3,54M","0,77%"
2019-11-14,"25,930","26,030","26,230","25,790","746,70K","-0,23%"
2019-11-13,"25,990","26,100","26,150","25,770","1,78M","-0,46%"
2019-11-12,"26,110","26,220","26,260","25,960","3,12M","-0,08%"
2019-11-11,"26,130","25,990","26,150","25,950","1,17M","0,08%"
2019-11-08,"26,110","25,760","26,110","25,620","1,30M","1,01%"
2019-11-07,"25,850","26,420","26,430","25,790","2,83M","-1,75%"
2019-11-06,"26,310","26,490","26,530","25,930","1,05M","-0,49%"
2019-11-05,"26,440","26,580","26,660","26,430","2,17M","-0,56%"
2019-11-04,"26,590","26,720","26,760","26,510","2,24M","0,00%"
2019-11-01,"26,590","26,040","26,650","26,040","1,75M","2,07%"
2019-10-31,"26,050","25,890","26,080","25,810","1,52M","0,81%"
2019-10-30,"25,840","25,890","26,070","25,720","1,77M","0,19%"
2019-10-29,"25,790","25,890","25,940","25,520","8,88M","-0,50%"
2019-10-28,"25,920","25,780","25,990","25,550","2,07M","-1,26%"
2019-10-25,"26,250","25,930","26,330","25,930","4,23M","1,23%"
2019-10-24,"25,930","25,880","25,980","25,830","2,38M","0,12%"
