"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","19,405","20,030","20,245","18,490","-","-8,38%"
"13.03.2020","21,180","20,570","23,750","20,540","3,21M","4,85%"
"12.03.2020","20,200","20,360","21,900","19,750","9,66M","-12,48%"
"11.03.2020","23,080","23,900","24,180","22,970","6,49M","-2,41%"
"10.03.2020","23,650","24,310","25,390","23,620","2,39M","-2,39%"
"09.03.2020","24,230","24,200","25,500","24,000","6,26M","-8,29%"
"06.03.2020","26,420","27,660","27,670","26,140","3,33M","-5,88%"
"05.03.2020","28,070","28,290","28,670","27,850","6,76M","-0,28%"
"04.03.2020","28,150","27,700","28,300","27,550","2,28M","1,44%"
"03.03.2020","27,750","27,150","28,140","27,020","12,09M","3,31%"
"02.03.2020","26,860","26,490","26,990","26,240","3,96M","3,79%"
"28.02.2020","25,880","26,000","26,300","25,660","3,78M","-3,68%"
"27.02.2020","26,870","27,500","27,770","26,660","1,79M","-3,83%"
"26.02.2020","27,940","27,770","28,090","27,070","3,97M","-0,43%"
"25.02.2020","28,060","28,800","28,920","28,060","2,47M","-2,20%"
"24.02.2020","28,690","29,130","29,220","28,540","1,08M","-3,69%"
"21.02.2020","29,790","29,710","29,810","29,380","1,96M","0,10%"
"20.02.2020","29,760","30,360","30,430","29,680","1,36M","-2,27%"
"19.02.2020","30,450","30,390","30,500","30,210","975,20K","0,86%"
"18.02.2020","30,190","30,120","30,380","30,120","683,80K","-0,20%"
"17.02.2020","30,250","29,910","30,250","29,830","911,91K","1,27%"
"14.02.2020","29,870","29,480","29,870","29,460","2,40M","1,29%"
"13.02.2020","29,490","29,520","29,670","29,300","1,33M","-0,20%"
"12.02.2020","29,550","29,750","29,750","29,450","1,09M","-0,44%"
"11.02.2020","29,680","29,250","29,710","29,250","833,72K","1,82%"
"10.02.2020","29,150","28,880","29,310","28,750","1,55M","0,66%"
"07.02.2020","28,960","29,000","29,010","28,630","3,74M","0,14%"
"06.02.2020","28,920","29,140","29,220","28,860","1,08M","-0,65%"
"05.02.2020","29,110","28,750","29,390","28,730","6,99M","0,97%"
"04.02.2020","28,830","28,740","28,830","28,580","1,12M","0,77%"
"03.02.2020","28,610","28,730","28,860","28,550","1,34M","-0,17%"
"31.01.2020","28,660","28,960","29,140","28,410","1,56M","-0,83%"
"30.01.2020","28,900","29,000","29,160","28,620","3,31M","-1,10%"
"29.01.2020","29,220","28,970","29,350","28,950","1,05M","0,41%"
"28.01.2020","29,100","29,110","29,280","28,850","1,45M","-0,07%"
"27.01.2020","29,120","29,320","29,320","28,870","888,78K","-1,62%"
"24.01.2020","29,600","29,540","29,720","29,480","914,07K","0,99%"
"23.01.2020","29,310","29,230","29,480","29,020","1,14M","-0,07%"
"22.01.2020","29,330","29,400","29,490","29,250","1,32M","0,03%"
"21.01.2020","29,320","28,900","29,320","28,820","4,63M","0,86%"
"20.01.2020","29,070","28,930","29,110","28,880","1,34M","0,45%"
"17.01.2020","28,940","28,500","28,990","28,410","2,98M","1,90%"
"16.01.2020","28,400","28,490","28,540","28,310","655,61K","-0,56%"
"15.01.2020","28,560","28,140","28,560","27,950","942,68K","1,35%"
"14.01.2020","28,180","27,900","28,180","27,700","5,31M","1,33%"
"13.01.2020","27,810","27,740","28,010","27,700","529,96K","0,18%"
"10.01.2020","27,760","27,680","27,810","27,470","704,86K","0,54%"
"09.01.2020","27,610","27,760","27,850","27,460","1,37M","-0,18%"
"08.01.2020","27,660","27,300","27,730","27,290","1,43M","0,58%"
"07.01.2020","27,500","27,150","27,500","27,130","1,31M","1,51%"
"06.01.2020","27,090","26,950","27,180","26,730","872,09K","-0,04%"
"03.01.2020","27,100","27,180","27,220","26,840","1,13M","-0,70%"
"02.01.2020","27,290","27,150","27,340","26,980","1,08M","1,19%"
"31.12.2019","26,970","26,550","26,970","26,500","1,13M","0,86%"
"30.12.2019","26,740","27,050","27,050","26,670","705,08K","-1,47%"
"27.12.2019","27,140","27,350","27,350","26,950","980,23K","-0,15%"
"24.12.2019","27,180","27,000","27,350","26,640","868,32K","0,55%"
"23.12.2019","27,030","26,700","27,210","26,680","1,51M","0,93%"
"20.12.2019","26,780","26,840","26,920","26,550","4,52M","-0,07%"
"19.12.2019","26,800","27,010","27,110","26,730","3,91M","-0,92%"
"18.12.2019","27,050","27,130","27,420","26,970","1,61M","-0,26%"
"17.12.2019","27,120","27,160","27,210","26,800","3,84M","-0,33%"
"16.12.2019","27,210","26,900","27,270","26,770","3,26M","0,11%"
"13.12.2019","27,180","27,480","27,540","27,100","1,15M","0,07%"
"12.12.2019","27,160","27,100","27,530","27,060","5,56M","0,44%"
"11.12.2019","27,040","27,130","27,200","26,900","855,75K","-0,33%"
"10.12.2019","27,130","27,030","27,220","26,720","813,96K","0,07%"
"09.12.2019","27,110","26,870","27,190","26,750","1,28M","1,27%"
"06.12.2019","26,770","26,590","26,830","26,440","990,11K","0,71%"
"05.12.2019","26,580","26,650","26,780","26,580","3,55M","-0,23%"
"04.12.2019","26,640","26,160","26,740","26,140","2,49M","2,54%"
"03.12.2019","25,980","26,030","26,450","25,980","1,90M","0,12%"
"02.12.2019","25,950","26,870","26,990","25,870","3,63M","-3,71%"
"29.11.2019","26,950","26,880","27,080","26,760","851,69K","-0,11%"
"28.11.2019","26,980","26,780","26,980","26,610","2,62M","0,71%"
"27.11.2019","26,790","26,610","26,880","26,450","1,37M","0,68%"
"26.11.2019","26,610","26,410","26,670","26,150","2,57M","0,60%"
"25.11.2019","26,450","26,300","26,480","26,140","1,46M","1,22%"
"22.11.2019","26,130","26,420","26,480","26,080","1,62M","-0,87%"
"21.11.2019","26,360","26,450","26,510","26,120","985,22K","-0,60%"
"20.11.2019","26,520","26,350","26,740","26,310","2,04M","0,23%"
"19.11.2019","26,460","26,210","26,640","26,190","1,10M","1,15%"
"18.11.2019","26,160","26,030","26,240","25,890","1,62M","0,11%"
"15.11.2019","26,130","25,960","26,190","25,910","3,54M","0,77%"
"14.11.2019","25,930","26,030","26,230","25,790","746,70K","-0,23%"
"13.11.2019","25,990","26,100","26,150","25,770","1,78M","-0,46%"
"12.11.2019","26,110","26,220","26,260","25,960","3,12M","-0,08%"
"11.11.2019","26,130","25,990","26,150","25,950","1,17M","0,08%"
"08.11.2019","26,110","25,760","26,110","25,620","1,30M","1,01%"
"07.11.2019","25,850","26,420","26,430","25,790","2,83M","-1,75%"
"06.11.2019","26,310","26,490","26,530","25,930","1,05M","-0,49%"
"05.11.2019","26,440","26,580","26,660","26,430","2,17M","-0,56%"
"04.11.2019","26,590","26,720","26,760","26,510","2,24M","0,00%"
"01.11.2019","26,590","26,040","26,650","26,040","1,75M","2,07%"
"31.10.2019","26,050","25,890","26,080","25,810","1,52M","0,81%"
"30.10.2019","25,840","25,890","26,070","25,720","1,77M","0,19%"
"29.10.2019","25,790","25,890","25,940","25,520","8,88M","-0,50%"
"28.10.2019","25,920","25,780","25,990","25,550","2,07M","-1,26%"
"25.10.2019","26,250","25,930","26,330","25,930","4,23M","1,23%"
"24.10.2019","25,930","25,880","25,980","25,830","2,38M","0,12%"
"23.10.2019","25,900","26,070","26,230","25,800","3,75M","-1,37%"
"22.10.2019","26,260","26,050","26,430","25,970","1,91M","0,19%"
"21.10.2019","26,210","26,100","26,360","25,860","2,47M","0,81%"
"18.10.2019","26,000","25,990","26,120","25,750","1,27M","0,12%"
"17.10.2019","25,970","25,500","26,040","25,330","1,38M","1,96%"
"16.10.2019","25,470","25,750","25,810","25,400","1,19M","-1,70%"
"15.10.2019","25,910","25,990","26,110","25,770","1,33M","-0,15%"
"14.10.2019","25,950","25,590","26,190","25,580","2,88M","0,97%"
"11.10.2019","25,700","25,850","25,850","25,450","3,39M","-0,43%"
"10.10.2019","25,810","25,860","25,920","25,550","681,61K","0,23%"
"09.10.2019","25,750","25,680","26,020","25,670","1,11M","0,55%"
"08.10.2019","25,610","25,870","26,030","25,500","972,25K","-1,12%"
"07.10.2019","25,900","25,870","26,000","25,630","1,05M","0,23%"
"04.10.2019","25,840","25,580","25,840","25,480","1,37M","1,33%"
"03.10.2019","25,500","25,360","25,890","25,340","1,31M","0,99%"
"02.10.2019","25,250","26,110","26,200","25,250","2,13M","-3,74%"
"01.10.2019","26,230","26,560","26,660","26,170","2,01M","-1,06%"
"30.09.2019","26,510","26,290","26,650","26,270","1,15M","0,65%"
"27.09.2019","26,340","26,750","26,830","26,180","1,31M","-1,16%"
"26.09.2019","26,650","26,110","26,780","26,110","1,15M","1,91%"
"25.09.2019","26,150","26,490","26,540","26,110","1,29M","-1,28%"
"24.09.2019","26,490","26,460","26,590","26,110","2,00M","0,72%"
"23.09.2019","26,300","26,470","26,520","26,280","1,00M","-0,68%"
"20.09.2019","26,480","26,170","26,590","26,170","2,51M","0,88%"
"19.09.2019","26,250","25,820","26,490","25,820","1,70M","1,16%"
"18.09.2019","25,950","25,680","26,110","25,630","1,82M","0,66%"
"17.09.2019","25,780","25,580","25,850","25,410","2,04M","1,06%"
"16.09.2019","25,510","25,530","25,780","25,400","2,69M","-0,93%"
"13.09.2019","25,750","25,800","25,800","25,570","835,66K","-0,50%"
"12.09.2019","25,880","25,470","26,040","25,450","1,62M","2,25%"
"11.09.2019","25,310","25,450","25,520","25,170","4,65M","-0,08%"
"10.09.2019","25,330","25,940","26,000","25,070","3,11M","-2,73%"
"09.09.2019","26,040","26,410","26,450","25,980","2,49M","-1,48%"
"06.09.2019","26,430","26,250","26,540","26,150","2,25M","1,26%"
"05.09.2019","26,100","26,380","26,500","26,070","2,13M","-0,38%"
"04.09.2019","26,200","26,200","26,300","25,980","1,97M","-0,34%"
"03.09.2019","26,290","26,100","26,440","26,020","3,34M","0,15%"
"02.09.2019","26,250","25,880","26,250","25,870","936,73K","1,47%"
"30.08.2019","25,870","26,050","26,080","25,780","10,14M","-0,81%"
"29.08.2019","26,080","25,970","26,100","25,810","1,44M","0,66%"
"28.08.2019","25,910","25,680","26,000","25,680","985,32K","0,19%"
"27.08.2019","25,860","25,540","25,860","25,450","1,43M","1,17%"
"26.08.2019","25,560","25,380","25,570","25,360","829,89K","0,31%"
"23.08.2019","25,480","25,550","25,830","25,480","1,04M","0,00%"
"22.08.2019","25,480","25,550","25,680","25,400","951,66K","-0,51%"
"21.08.2019","25,610","25,440","25,660","25,290","1,33M","1,15%"
"20.08.2019","25,320","25,400","25,710","25,270","1,65M","-0,39%"
"19.08.2019","25,420","25,450","25,480","25,200","2,15M","0,36%"
