fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-07-01,"169,82","0,14","3,06","60,38","4,74","414,85","- 15,82"
2020-07-02,"169,82","0,14","2,98","60,38","4,74","414,85","- 15,82"
2020-07-07,"68,86","- 0,01","2,99","45,2","4,71",388,"- 79,3"
2020-07-08,"68,86","- 0,01","3,08","45,2","4,71",388,"- 79,3"
2020-07-09,"68,86","- 0,01","3,11","45,2","4,71",388,"- 79,3"
2020-07-10,"68,86","- 0,01","3,10","45,2","4,71",388,"- 79,3"
2020-07-14,"66,31","- 0,01","3,11","43,53","4,54",388,"- 79,3"
2020-07-15,"66,31","- 0,01","3,07","43,53","4,54",388,"- 79,3"
2020-07-20,"65,51","- 0,04","3,16","57,1","4,43","424,9","- 97,6"
2020-07-21,"65,51","- 0,04","3,10","57,1","4,43","424,9","- 97,6"
2020-07-22,"65,51","- 0,04","3,08","57,1","4,43","424,9","- 97,6"
2020-07-23,"65,51","- 0,04","3,13","57,1","4,43","424,9","- 97,6"
2020-07-27,64,"- 0,04","3,27","55,78","4,32","424,9","- 97,6"
2020-07-28,64,"- 0,04","3,30","55,78","4,32","424,9","- 97,6"
2020-07-29,64,"- 0,04","3,27","55,78","4,32","424,9","- 97,6"
2020-07-31,64,"- 0,04","3,47","55,78","4,32","424,9","- 97,6"
